"Abandoned Carts","Carrinhos abandonados"
"Abandoned carts","Carrinhos Abandonados"
"Action","Ação"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar para Comparar"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Any","Qualquer"
"Applied Coupon","Cupom aplicado"
"Are you sure?","Você tem certeza?"
"Bestsellers","Mais Vendidos"
"Bought from wishlists","Comprados da lista de desejos"
"Carts","Carrinhos"
"Compared Products Grid Template","Template em Grade dos Produtos Comparados"
"Compared Products List Template","Template em Lista dos Produtos Comparados"
"Coupons","Cupons"
"Coupons Usage Report","Relatório de uso de cupons"
"Created At","Criado em"
"Current Month Starts","Começa do mês atual"
"Customer","Cliente"
"Customer Name","Nome do cliente"
"Customer Tags","Tags do cliente"
"Customers","Clientes"
"Customers Report","Relatórios de clientes"
"Customers Reviews","Avaliações de Clientes"
"Customers Tags","Tags dos clientes"
"Customers by Number of Orders","Clientes por Número de Pedidos"
"Customers by Orders Total","Clientes por Total de Pedidos"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que tem lista de desejos: %s%"
"Dashboard","Painel de Controle"
"Day","Dia"
"Default Recently Compared Products Count","Número de produtos recém-comparados por padrão"
"Default Recently Viewed Products Count","Número de Produtos Visualizados recentemente por padrão"
"Description","Descrição"
"Detail","Detalhe"
"Downloads","Transferências"
"Email","E-mail"
"Empty Rows","Linhas vazias"
"Enable Reports","Habilitar Relatórios"
"Excel XML","Excel, XML"
"Filter","Filtro"
"First Name","Nome"
"From","De"
"General","Geral"
"Guest","Visitante"
"Hits","Visitas"
"ID","Id."
"IP Address","Endereço IP"
"Invoiced","Faturado"
"Items in Cart","Itens no Carrinho"
"Last Name","Sobrenome"
"Last Review","Última revisão"
"List of Products Recently Viewed by Visitor","Lista de Produtos Recentemente Visualizados pelo Visitante"
"Low Stock","Estoque Mínimo"
"Low stock","Estoque Mínimo"
"Month","Mês"
"Most Viewed","Mais visitados"
"Name","Nome"
"New Accounts","Nova Conta"
"No","Não"
"Number Added","Número adicionado"
"Number Fulfilled","Número preenchido"
"Number Of Reviews","Número de opiniões"
"Number Purchased","Número comprado"
"Number Viewed","Número de visualizações"
"Number of Items","Número de Itens"
"Number of New Accounts","Número de novas contas"
"Number of Products to display","Número de Produtos a serem exibidos"
"Number of Reviews","Número de opiniões"
"Number of Total Tags","Número total de tags"
"Number of Unique Tags","Número de tags únicas"
"Number of Views","Número de visitas"
"Number of items bought from a wishlist: %s","Número de itens comprados da lista de desejos: %s"
"Number of times wishlists have been shared (emailed): %s","Número de vezes que a lista de desejos foi compartilhada (enviado por e-mail): %s"
"Number of wishlist conversions: %s","Número de conversões da lista de desejos: %s"
"Number of wishlist referrals: %s","Número de referências da lista de desejos: %s"
"Number of wishlists: %s","Número de listas de desejos: %s"
"Order Status","Situação do pedido"
"Order Taxes Report Grouped by Tax Rate","Relatório de impostos de pedido agrupado por Taxas de imposto"
"Orders","Pedidos"
"Out of stock","Fora de estoque"
"Period","Período"
"Poducts Report","Relatório dos produtos"
"Popular Tags","Tags populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Nome do produto"
"Product Reviews","Avaliações do Produto"
"Product SKU","ID do produto"
"Product Tags","Tags do produto"
"Products","Produtos"
"Products Ordered","Produtos comprados"
"Products Report","Relatório de Produtos"
"Products Reviews","Avaliações do Produto"
"Products Tags","Tags dos produtos"
"Products in carts","Produtos no Carrinho"
"Purchases","Compras"
"Quantity Ordered","Quantidade pedida"
"Quantity of Items","Quantidade de itens"
"Recently Compared","Recentemente Comparado"
"Recently Compared Products","Produtos Recentemente Comparados"
"Recently Viewed","Visualizados recentemente"
"Recently Viewed Products","Produtos Recentemente Visualizados"
"Recently Viewed/Compared Products","Produtos visualizados/comparados recentemente"
"Refresh Lifetime Statistics","Recarregar Estatísticas Desde Sempre"
"Refresh Statistics","Atualizar estatísticas"
"Refresh Statistics for the Last Day","Recarregar Estatísticas para o Último Dia"
"Refunds","Reembolsos"
"Report","Relatar"
"Reports","Relatórios"
"Results","Resultados"
"Revenue","Receita"
"Review","Avaliação"
"Reviews","Avaliações"
"Reviews for %s","Opiniões para %s"
"Sales","Vendas"
"Sales Report","Relatório de vendas"
"Search Query","Termos de Pesquisa"
"Search Terms","Termos de Pesquisa"
"Select day of the month.","Selecione o dia do mês."
"Shipping","Frete"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Price Rule","Regra de preço do carrinho de compras"
"Show Actual Values","Mostrar valores atuais"
"Show Report","Mostrar relatório"
"Show for Current","Mostrar por Atual"
"Specified","Especificado"
"Statistics","Estatísticas"
"Stock Qty","Quantidade em estoque"
"Submitted In","Enviado em"
"Submitted On","Enviado em"
"Subtotal","Sub-total"
"Tag ""%s"" details","Detalhes da tag ""%s"""
"Tag Detail","Detalhe da tag"
"Tag Name","Nome da tag"
"Tags submitted to %s","Tags enviadas para %s"
"Tax","Taxa"
"Title","Título"
"To","Até"
"Total Invoiced vs. Paid Report","Total Faturado vs Total Pago"
"Total Ordered Report","Relatório total de pedidos"
"Total Refunded Report","Relatório total de reembolso"
"Total Shipped Report","Relatório total de envios"
"Total Tags","Total de tags"
"Total invoiced","Total faturado"
"Total refunded","Total reembolsado"
"Updated At","Atualizado por"
"Viewed Products Grid Template","Template em Grade dos Produtos Visualizados"
"Viewed Products List Template","Template em Lista dos Produtos Visualizados"
"Visible In","Visível em"
"Wishlist Report","Relatório de lista de desejos"
"Wishlist vs. Regular Order","Lista de desejos x Pedido regular"
"Wishlists","Lista de desejos"
"Year","Ano"
"Year-To-Date Starts","Começa Ano-Para-Data"
"Yes","Sim"
"Your Recently Compared","Suas últimas comparações"
"Your Recently Viewed","Suas últimas visualizações"
