"Add Option","Adicionar opção"
"Attempt to add an invalid object","Tentativa de adicionar um objeto inválido"
"Attribute Code","Código do Atributo"
"Attribute Label","Rótulo do atributo"
"Attribute Properties","Propriedades do atributo"
"Attribute object is undefined","Atributo de objeto não definido"
"Attribute with the same code","Com o mesmo código de atributo"
"Catalog Input Type for Store Owner","Tipo de entrada no catálogo para o dono da loja"
"Data integrity: No header row found for attribute","Integridade de dados: nenhuma linha de cabeçalho encontrada para atributo"
"Date","Data"
"Decimal Number","Número decimal"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Ordenação Padrão Produto na Listagem não existe nas Opções Disponíveis para Ordenação do Produto na Listagem."
"Default Value","Valor Padrão"
"Default option value is not defined","Valor padrão de opção não está definido"
"Delete","Excluir"
"Dropdown","Menu suspenso"
"Email","E-mail"
"Entity is not initialized","Entity não foi inicializada"
"Entity object is undefined","O objeto da entidade é indefinido"
"Form Element with the same attribute","Elemento do formulário com o mesmo atributo"
"Form Fieldset with the same code","Elemento do formulário com o mesmo código"
"Form Type with the same code","Tipo de formulário com o mesmo código"
"Frontend label is not defined","Rótulo de frontend não foi definido"
"Input Validation for Store Owner","Campo de Validação para o dono da loja"
"Integer Number","Número inteiro"
"Invalid alias, already exists in joint attributes","Apelido inválido, já existe nos conjuntos de atributos"
"Invalid attribute name: %s","Nome inválido de atributo: %s"
"Invalid attribute requested: %s","Atributo solicitado inválido: %s"
"Invalid attribute type","Tipo inválido de atributo"
"Invalid character encountered in increment ID: %s","Caractere inválido encontrado no ID de incremento: %s"
"Invalid date","Data inválida"
"Invalid entity specified","Entidade especificada inválida"
"Invalid entity supplied: %s","Entidade fornecida inválida: %s"
"Invalid entity type","Tipo inválido de entidade"
"Invalid entity_type specified: %s","entity_type especificado inválido: %s"
"Invalid foreign key","Chave estrangeira inválida"
"Invalid joint fields","Conjunto de atributo inválido"
"Invalid store specified","Loja especificada inválida"
"Joined field with this alias is already declared","Campo associado com este apelido já foi declarado"
"Joint field or attribute expression with this alias is already declared","O campo de junção ou expressão de atributo com este apelido já foi declarado"
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou Números (0-9)"
"Loaded %d records","Carregados %d registros"
"Multiple Select","Múltipla Seleção"
"No","Não"
"No options found in config node %s","Nenhuma opção encontrada no nodo de configuração %s"
"None","Nenhum"
"Not shared with other products","Não compartilhado com outros produtos"
"Problem loading the collection, aborting. Error: %s","Problema ao carregar a coleção, abortando. Erro: %s"
"Problem saving the collection, aborting. Error: %s","Problema salvando a coleção, abortando. Erro: %s"
"Required","Obrigatório"
"System","Sistema"
"Text Area","Área de Texto"
"Text Field","Campo de Texto"
"URL","Url"
"Unique Value","Valor Único"
"Unique Value (not shared with other products)","Valor Único (não compartilhado com outros produtos)"
"Unknown parameter","Parâmetro desconhecido"
"Values Required","Valores necessários"
"Wrong attribute group ID","ID incorreto para grupo de atributos"
"Wrong attribute set ID","ID incorreto para grupo de atributos"
"Wrong entity ID","ID de entidade incorreto"
"Yes","Sim"
"Yes/No","Sim/Não"
