"* Required Fields","* Campos Obrigatórios"
"Comment","Comente"
"Contact Form","Formulário de contato"
"Contact Information","Informações de Contato"
"Contact Us","Fale Conosco"
"Contacts","Contatos"
"Contacts Section","Seção de contatos"
"Email","E-mail"
"Email Options","Opções de e-mail"
"Email Sender","Remetente do e-mail"
"Email Template","Template de E-mail"
"Enable Contact Us","Habilitar 'Fale conosco'"
"Name","Nome"
"Send Emails To","Enviar E-mails para"
"Submit","Enviar"
"Telephone","Telefone"
"Unable to submit your request. Please, try again later","Não foi possível enviar sua mensagem. Por favor, tente novamente mais tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Sua dúvida foi enviada e será respondida o mais rápido possível. Obrigado por entrar em contato."
