"Add","Adicionar"
"Add New Row","Adicionar Nova Linha"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Alfanuméricos, caracteres de traço e sublinhado são recomendadas para nomes de arquivo. Caracteres impróprios são substituídos por '_'."
"An error occurred while saving the file(s).","Ocorreu um erro ao salvar o(s) arquivo(s)."
"Availability:","Disponibilidade:"
"Back","Voltar"
"Canceled","Cancelado"
"Category API","API da categoria"
"Date","Data"
"Default Link Title","Título do Link padrão"
"Default Maximum Number of Downloads","Número máximo padrão de Downloads"
"Default Sample Title","Título de Amostra Pré-definido"
"Delete","Excluir"
"Disable Guest Checkout if Cart Contains Downloadable Items","Desativar Checkout para Utilizadores Não Registrados se o Carrinho Contiver Itens com Download"
"Downloadable Information","Informações de Download"
"Downloadable Product","Produto disponível para baixar"
"Downloadable Product Options","Opções de produtos para download"
"Edit","Editar"
"Edit item parameters","Editar parâmetros do item"
"Excl. Tax","Excl. Impostos"
"File","Arquivo"
"From:","De:"
"Gift Message","Mensagem do presente"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir para <a href=""%s"">meus produtos disponíveis para baixar</a>"
"Guest checkout will only work with shareable.","O checkout para utilizadores não registrados apenas funcionará com conteúdo partilhável."
"In stock","Em estoque"
"Incl. Tax","Imposto Incl."
"Invalid download link type.","Tipo de link do download inválido."
"Invoiced","Faturado"
"Links can be purchased separately","Links podem ser comprados separadamente"
"List","Lista"
"Max. Downloads","Máx. Downloads"
"Message:","Mensagem:"
"Move","Mover"
"My Downloadable Products","Meus produtos para download"
"Open Links in New Window","Abrir Links em nova janela"
"Order #","Pedido #"
"Order Item Status to Enable Downloads","Status do Item pedido para permitir Downloads"
"Order id cannot be null","Id de ordem não pode ser nulo"
"Order item id cannot be null","Item do Id do pedido não pode ser nulo"
"Ordered","Comprado"
"Out of stock","Fora de estoque"
"Pending","Pendente"
"Please log in to download your product.","Por favor, entre para baixar seu protuto."
"Please set resource file and link type.","Por favor, defina o arquivo de recurso e tipo de link."
"Please specify product link(s).","Por favor, especifique o(s) link(s) do produto."
"Price","Preço"
"Qty","Qtd"
"Refunded","Reembolsado"
"Remaining Downloads","Downloads Restantes "
"Remove","Remover"
"Remove Item","Remover Item"
"SKU","Código de Produto:"
"Sample","Exemplo"
"See price before order confirmation.","Ver preço antes de confirmar pedido."
"Shareable","Compartilhável"
"Shipped","Enviado"
"Sorry, there was an error getting requested content. Please contact the store owner.","Desculpa, ocorreu um erro ao solicitar o conteúdo que desejava. Entre em contato com o dono da loja."
"Sort Order","Ordenação"
"Start Download","Iniciar Download"
"Status","Situação"
"Subtotal","Sub-total"
"The link has expired.","O link expirou."
"The link is not available.","O link não está disponível."
"Title","Título"
"To:","Para:"
"Unlimited","Ilimitado"
"Update","Atualizar"
"Use Content-Disposition","Usar Disposição de Conteúdo"
"Use Default Value","Utilizar Valor Padrão"
"View Order","Visualizar pedido"
"What's this?","O que é isto?"
"You have not purchased any downloadable products yet.","Você ainda não comprou qualquer produto para download."
"attachment","anexo"
"download","baixar"
"sample","amostra"
