" Copy"," Copiar"
"Action","Ação"
"Add New Template","Adicionar novo template"
"Add to Queue","Adicionar à Fila"
"Allow Guest Subscription","Permitir Assinatura a Utilizadores Não Registrados"
"Are you sure that you want to delete this template?","Você tem certeza que deseja excluir este modelo?"
"Are you sure that you want to strip all tags?","Tem a certeza que pretende remover as tags?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Confirmation Email Sender","Remetente do e-mail de confirmação"
"Confirmation Email Template","Template do e-mail de confirmação"
"Convert to Plain Text","Converter para texto sem formatação"
"Create Newsletter Template","Novo Template de Newsletter"
"Customer","Cliente"
"Customer First Name","Nome do cliente"
"Customer Last Name","Sobrenome do cliente"
"Date Added","Data de inclusão"
"Date Updated","Data atualizada"
"Delete","Excluir"
"Delete Selected Problems","Excluir os problemas selecionados"
"Delete Template","Excluir Template"
"Do you really want to cancel the queue?","Você realmente quer cancelar a fila?"
"Edit Newsletter","Editar newsletter"
"Edit Newsletter Template","Editar modelo de newsletter"
"Edit Queue","Editar Fila"
"Edit Template","Editar Template"
"Email","E-mail"
"Enter your email address","Digite seu e-mail"
"Error Code","Código de erro"
"Error Text","Texto de erro"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Siga este link para descadastrar <!..--Essa marca é para cancelar assinatura link--> <a href=""{{var subscriber.getUnsubscriptionLink()}}""> {{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Visitante"
"ID","Id."
"Message","Mensagem"
"Need to Confirm","Pedir Confirmação"
"New Newsletter Template","Novo modelo de newsletter"
"New Template","Novo template"
"Newsletter","Boletim informativo"
"Newsletter Message Preview","Pré-visualização da Mensagem da Newsletter"
"Newsletter Problem Reports","Relatórios de Problemas da Newsletter"
"Newsletter Queue","Fila de Newsletter"
"Newsletter Section","Secção da Newsletter"
"Newsletter Styles","Estilos de Newsletter"
"Newsletter Subscribers","Inscritos de Newsletter"
"Newsletter Subscription","Assinar Newsletter"
"Newsletter Subscriptions","Assinaturas da Newsletter"
"Newsletter Templates","Modelos de newsletter"
"Newsletter subscription confirmation","Confirmação de assinatura da Newsletter"
"Newsletter subscription success","Sucesso na assinatura da Newsletter"
"Newsletter unsubscription success","Sucesso de cancelamento da Newsletter"
"No Templates Found","Nenhum modelo foi encontrado"
"Not Activated","Não Ativado"
"Not Sent","Não Enviado"
"Pause","Pausar"
"Paused","Pausado"
"Please enter a valid email address.","Por favor, insira um endereço de e-mail válido."
"Please enter new template name","Por favor, insira nome do novo modelo"
"Please select subscriber(s)","Por favor, selecione assinante(s)"
"Preview","Pré-visualização"
"Preview Template","Visualizar template"
"Processed","Processado"
"Queue Date Start","Data de Início da Fila"
"Queue Finish","Término da fila"
"Queue Information","Informações da fila"
"Queue Start","Início da Fila"
"Queue Subject","Assunto da Fila"
"Recipients","Destinatários"
"Reset","Reiniciar"
"Resume","Resumir"
"Return HTML Version","Retornar a versão HTML"
"Save As","Salvar como"
"Save Newsletter","Salvar newsletter"
"Save Template","Salvar Template"
"Save and Resume","Save e Continuar"
"Security","Segurança"
"Sender","Remetente"
"Sender Email","E-mail do remetente"
"Sender Name","Nome do remetente"
"Sending","Enviando"
"Sent","Enviado"
"Sign Up for Our Newsletter:","Inscreva-se na nossa Newsletter:"
"Sign up for our newsletter","Assine nosso boletim informativo"
"Start","Ínicio"
"Status","Situação"
"Store","Loja"
"Store View","Visão de Loja"
"Subject","Assunto"
"Submit","Enviar"
"Subscribe","Assinar"
"Subscribed","Inscrito"
"Subscriber","Assinante"
"Subscribers","Inscritos"
"Subscribers From","Assinantes de"
"Subscription Options","Opções de assinaturas"
"Success Email Sender","Remetente do E-mail de Sucesso"
"Success Email Template","Template do E-mail de Sucesso"
"Template Content","Conteúdo do Template"
"Template Information","Informações do template"
"Template Name","Nome do template"
"Template Styles","Estilos de template"
"Template Subject","Assunto do Template"
"Template Type","Tipo de modelo"
"Thank you for your subscription.","Obrigado por sua assinatura."
"There was a problem with the subscription: %s","Ocorreu um problema com a assinatura: %s"
"There was a problem with the un-subscription.","Ocorreu um problema com o cancelamento da assinatura."
"This email address is already assigned to another user.","Este endereço de e-mail já está associado a outra conta."
"Type","Tipo"
"Unconfirmed","Não confirmados"
"Unsubscribe","Cancelar Assinatura"
"Unsubscribe Selected","Remover Assinatura dos Selecionados"
"Unsubscribed","Não Inscrito"
"Unsubscription Email Sender","Remetente do E-mail de Cancelamento"
"Unsubscription Email Template","Template do E-mail de Cancelamento"
"View Newsletter","Ver newsletter"
"Website","Site"
"Your subscription has been confirmed.","A sua inscrição foi confirmada."
