"Access Key","Chave de acesso"
"Authorize Only","Apenas Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"Continue Shopping","Continuar Comprando"
"Debug","Depurar"
"Email Sender","Remetente do e-mail"
"Enable","Habilitado"
"Merchant ID","ID do Comerciante"
"Merchant Login","Usuário do comerciante"
"New Order Status","Novo status do pedido"
"Payment Action","Ação de Pagamento"
"Secret Key","Chave secreta"
"Thank you for your purchase!","Obrigado por sua compra!"
"Title","Título"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Você receberá um e-mail de confirmação de compra com mais detalhes e um link para rastreá-lo."
