"Active","Ativo"
"Add Attribute Mapping","Adicionar atributo de mapeamento"
"Add New Attribute","Adicionar Novo Atributo"
"Add to Google Base","Adicionar ao Google Base"
"Are you sure?","Você tem certeza?"
"Attribute","Atributo"
"Attribute Set","Conjuntos de Atributo"
"Attribute Set and Item Type","Grupo de atributos e tipo de item"
"Attributes","Atributos"
"Attributes Set","Grupo de atributos"
"AuthSub","Co-autor"
"Available Products","Produtos disponíveis"
"Cannot update Google Base Item for Store '%s'","Não foi possível atualizar o item do Google Base para loja '%s'"
"Captcha confirmation error: %s","Erro de confirmação de CAPTCHA: %s"
"Catalog","Catálogo"
"Clicks","Cliques"
"ClientLogin","Nome de usuário do cliente"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","Mapeamento atual será recarregado. Continuar?"
"Custom attribute, no mapping","Atributo personalizado, sem mapeamento"
"Delete","Excluir"
"Delete Mapping","Excluir mapeamento"
"Edit Item Type","Editar tipo do item"
"Edit Item Type ""%s""","Editar tipo do item ""%s"""
"Error: %s","Erro: %s"
"Expires","Expira"
"Google Base","Base do Google"
"Google Base Attribute","Atributo do Google Base"
"Google Base ID","ID do Google Base"
"Google Base Item Type","Tipo de item do Google Base"
"Google Base Item type","Tipo de item do Google Base"
"Google Base Items","Itens da base do Google"
"Hide","Esconder"
"Impr.","Impressões"
"Invalid Product Model for Google Base Item","Modelo de produto inválido para item do Google Base"
"Item Type was deleted","Tipo do item foi excluído"
"Item Types","Tipo dos itens"
"Items","Itens"
"Manage Attribute Mapping","Gerenciar mapeamento de atributo"
"Manage Attributes","Gerenciar atributos"
"Manage Items","Gerenciar itens"
"New Item Type","Novo tipo de item"
"No","Não"
"No items were deleted from Google Base","Nenhum item foi excluído do Google Base"
"No items were published","Nenhum item foi publicado"
"No products were added to Google Base","Nenhum produto foi adicionado no Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, selecione o grupo de atributos e o tipo de item do Google para carregar os atributos"
"Product Name","Nome do produto"
"Publish","Publicar"
"Published","Publicado"
"Remove","Remover"
"Save Mapping","Salvar mapeamento"
"Synchronize","Sincronizar"
"Target Country","País de destino"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Esta ação irá atualizar as estatísticas dos itens e remover os itens que não estão disponíveis no Google Base. Continuar?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Não foi possível conectar ao Google Base. Por favor, verifique as configurações da conta em configurações."
"View Available Products","Visualizar produtos disponíveis"
"View Item in Google Base","Ver item no Google Base"
"Yes","Sim"
