"* Required Fields","* Campos Obrigatórios"
"ALL GROUPS","TODOS OS GRUPOS"
"Account Dashboard","Painel da conta"
"Account Information","Informações de Conta"
"Account Sharing Options","Opções de compartilhamento de conta"
"Action","Ação"
"Add New Address","Adicionar Novo Endereço"
"Add New Customer","Adicionar Novo Cliente"
"Add New Customer Group","Adicionar novo grupo de cliente"
"Added From","Adicionado de"
"Additional Address Entries","Endereço Adicional"
"Address","Endereço"
"Address Book","Catálogo de Endereços"
"Address Information","Informações de Endereço"
"Address Templates","Modelo de Endereço"
"Addresses","Endereços"
"Admin","Administrador"
"All","Todos"
"All Store Views","Todas as Visões de Loja"
"All countries","Todos os Países"
"Always optional.","Sempre opcional."
"Amount","Quantidade"
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Você tem certeza que deseja remover este item?"
"Are you sure you want to cancel adding of this address?","Você tem certeza que deseja cancelar a inserção deste endereço?"
"Are you sure you want to delete this address?","Você tem certeza que deseja excluir este endereço?"
"Are you sure?","Você tem certeza?"
"Assign a Customer Group","Atribuir um grupo de cliente"
"Average Sale","Venda média"
"Back","Voltar"
"Back to Login","Voltar para entrar"
"Bad request.","Pedido ruim."
"Bill to Name","Cobrar do nome"
"Bought From","Comprado de"
"By Email","Por E-mail"
"By IP","Por IP"
"By IP and Email","Por IP e E-mail"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você será capaz de finalizar sua compra com mais agilidade, registrar múltiplos endereços de envio, ver e rastrear seus pedidos e muito mais"
"Cancel","Cancelar"
"Change Account Password","Alterar senha da conta"
"Change Billing Address","Alterar endereço de cobrança"
"Change Password","Alterar senha"
"Change Shipping Address","Altere seu endereço de entrega"
"City","Cidade"
"Company","Empresa"
"Configure","Configurar"
"Confirm New Password","Confirmar nova senha"
"Confirm Password","Confirmar Senha"
"Confirmation Link Email","Link de Confirmação de E-mail"
"Confirmed","Confirmado"
"Contact Information","Informações de Contato"
"Continue Shopping","Continuar Comprando"
"Country","País"
"Create","Criar"
"Create New Account Options","Criar Novas Opções de Conta"
"Create New Customer Account","Criar nova conta de cliente"
"Create Order","Criar Pedido"
"Create an Account","Criar uma Conta"
"Create customer","Criar cliente"
"Create customer address","Criar endereço do cliente"
"Current Password","Senha atual"
"Customer","Cliente"
"Customer Addresses","Endereços de cliente"
"Customer Configuration","Configurações de cliente"
"Customer Group","Grupo de clientes"
"Customer Groups","Grupos de Cliente"
"Customer Information","Informações do cliente"
"Customer Login","Nome de usuário do cliente"
"Customer Since","Cliente desde"
"Customer View","Visão do cliente"
"Customer will stay on the current page if ""No"" is selected.","Clientes permanecerão na página corrente se ""Não"" estiver selecionado."
"Customers","Clientes"
"Customers Only","Apenas clientes"
"Customers Section","Seção de clientes"
"Date","Data"
"Date Added","Data de inclusão"
"Date of Birth","Data de Nascimento"
"Day","Dia"
"Days in Wishlist","Dias na lista de desejos"
"Default Addresses","Endereços de padrão"
"Default Billing Address","Endereço de cobrança padrão"
"Default Email Domain","Domínio do Email Padrão"
"Default Group","Grupo padrão"
"Default Shipping Address","Endereço de entrega padrão"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor Pré-definido para Desativar Mudanças de Grupo Automáticas Baseadas em NIF"
"Default Welcome Email","E-mail padrão de boas vindas"
"Delete","Excluir"
"Delete Address","Excluir endereço"
"Delete Customer","Remover Cliente"
"Delete Customer Group","Excluir Grupo de Cliente"
"Delete customer","Excluir cliente"
"Delete customer address","Excluir endereço do cliente"
"Deleted Stores","Lojas excluídas"
"Details","Detalhes"
"Disabled","Desabilitado"
"Edit","Editar"
"Edit Account Info","Editar informações da conta"
"Edit Account Information","Editar informações da conta"
"Edit Address","Editar o Endereço"
"Edit Address Entry","Editar entrada de endereço"
"Edit Customer Group ""%s""","Editar grupo de clientes ""%s"""
"Edit Customer Groups","Editar Grupo de Clientes"
"Edit Customer's Address","Editar endereço de cliente"
"Edit Group","Editar Grupo"
"Edit Newsletters","Editar boletim informativos"
"Email","E-mail"
"Email Address","Endereço de e-mail"
"Email Sender","Remetente do e-mail"
"Email:","E-mail:"
"Enable Automatic Assignment to Customer Group","Ativar a Atribuição Automática para Grupo de Clientes"
"Excel XML","Excel, XML"
"Failed to confirm customer account.","Falha ao confirmar conta do cliente"
"Fax","Celular"
"First Name","Nome"
"Forgot Email Template","Modelo de E-mail de Recuperação de Senha"
"Forgot Password","Esqueci a senha"
"Forgot Your Password?","Esqueceu a sua senha?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","No painel da sua conta você pode ver uma fotografia das atividades recentes da sua conta e atualizar suas informações. Selecione o link abaixo para ver ou editar suas informações."
"Gender","Gênero"
