"-- Please Select --","-- Selecione uma opção --"
"Add Block Names to Hints","Adicionar nomes de blocos para dicas"
"Add Secret Key to URLs","Adicionar Chaves Secretas às URLs"
"Add Store Code to Urls","Adicionar o Código da Loja aos Url's"
"Admin","Administrador"
"Admin Base URL","URL Base do Admin"
"Admin User Emails","E-mails de Usuários Administrativos"
"Advanced","Avançado"
"Allow Countries","Permitir Países"
"Allow Symlinks","Permitir Symlinks"
"Allowed IPs (comma separated)","IPs Permitidos (separados por vírgula)"
"Anchor Text for Next","Texto de âncora para página seguinte"
"Anchor Text for Previous","Texto de âncora para página anterior"
"Are you sure?","Você tem certeza?"
"Auto-redirect to Base URL","Redirecionar Automaticamente para o URL Base"
"Back","Voltar"
"Backup Options","Opções de Backup"
"Base JavaScript URL","URL base do JavaScript"
"Base Link URL","URL Base do Link"
"Base Media URL","URL base de media"
"Base Skin URL","URL base de skin"
"Base URL","URL Base"
"Block with name ""%s"" already exists","Já existe bloqueio com o nome ""%s"""
"Browser Capabilities Detection","Detecção de Recursos do Browser"
"CSS Settings","Configurações de CSS"
"Cache Storage Management","Gerenciamento de Cache"
"Can't retrieve request object","Não é possível obter objeto solicitado"
"Can't retrieve entity config: %s","Não foi possível obter a configuração da entidade: %s"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","Esta operação não pode ser completada de uma área diferente da administração."
"Card type does not match credit card number.","Tipo de cartão não coincide com o número de cartão de crédito."
"Code","Código"
"Controller file was loaded but class does not exist","Arquivo de controle foi carregado mas a classe não existe"
"Cookie Domain","Domínio do cookie"
"Cookie Lifetime","Tempo de Vida do Cookie"
"Cookie Path","Caminho do Cookie"
"Cookie Restriction Mode","Modo de Restrição de Cookies"
"Copyright","Direitos autorais"
"Country","País"
"Create Store","Criar Loja"
"Create Store View","Criar Visão de Loja"
"Create Website","Criar Website"
"Credit card number does not match credit card type.","Número de cartão de crédito não coincide com o tipo de cartão de crédito."
"Custom Admin Path","Caminho de Admin Personalizado"
"Custom Admin URL","URL Personalizada do Admin"
"Custom Design","Design Personalizado"
"Custom Email 1","E-mail Personalizado 1"
"Custom Email 2","E-mail Personalizado 2"
"Custom Variables","Variáveis personalizadas"
"Customer Support","Suporte ao cliente"
"Dashboard","Painel de Controle"
"Date From","Data De"
"Date To","Data Até"
"Date/time format ""%s"" is not supported.","Formato de data/hora ""%s"" não é suportado."
"Debug","Depurar"
"Default","Padrão"
"Default Country","País Padrão"
"Default Description","Descrição padrão"
"Default Keywords","Palavras-chave padrões"
"Default No-route URL","URL No-route Pré-definido"
"Default Pages","Páginas pré-definidas"
"Default Robots","Robôs padrão"
"Default Store","Loja Padrão"
"Default Store View","Frente de Loja Padrão"
"Default Title","Título padrão"
"Default Web URL","URL Web Pré-definido"
"Delete","Excluir"
"Delete Store","Apagar Loja"
"Delete Store View","Apagar Visão de Loja"
"Delete Website","Excluir website"
