"-- Please Select --","-- Selecione uma opção --"
"Actions","Ações"
"Add Layout Update","Adicionar Atualização de Layout"
"All","Todos"
"All Pages","Todas as Páginas"
"All Product Types","Todos os tipos de produto"
"Anchor Categories","Categorias âncora"
"Apply","Aplicar"
"Assign to Store Views","Atribuir à Frentes de Loja"
"Big Image","Imagem Grande"
"Categories","Categorias"
"Choose...","Escolha..."
"Close","Fechar"
"Continue","Próximo"
"Default Template","Modelo padrão"
"Delete","Excluir"
"Design Package/Theme","Design Tema"
"Export to:","Exportar para:"
"Frontend Properties","Propriedades de frontend"
"Generic Pages","Páginas genéricas"
"Images","Imagens"
"Insert Widget","Inserir Widget"
"Layout Updates","Atualizações de Layout"
"New Widget Instance","Nova Instância de Widget"
"Next page","Próxima página"
"Non-Anchor Categories","Categorias não âncora"
"Not Selected","Não selecionado"
"Open Chooser","Abrir Seletor"
"Page","Página"
"Previous page","Página anterior"
"Products","Produtos"
"Remove Layout Update","Remover Atualização de Layout"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Select All","Selecionar Todos"
"Select Visible","Selecionar Todos da Página"
"Settings","Configurações"
"Sort Order","Ordenação"
"Specified Page","Página Especificada"
"Template","Modelo"
"The information in this tab has been changed.","A informação nessa aba foi alterada."
"The widget instance has been deleted.","A instância do widget foi removida."
"The widget instance has been saved.","A instância do widget foi gravada."
"This tab contains invalid data. Please solve the problem before saving.","Esta aba contém dados inválidos. Por favor, resolva o problema antes de salvar."
"Thumbnail","Miniatura"
"Total %d records found","Total %d registros encontrados"
"Type","Tipo"
"Unselect All","Desmarcar Todos"
"Unselect Visible","Desmarcar Todos da Página"
"View","Visualizar"
"Widget ID","ID do Widget"
"Widget Insertion","Inserção de Widget"
"Widget Options","Opções do Widget"
"Widget Type","Tipo de Widget"
"items selected","itens selecionados"
"of %s pages","de %s páginas"
"per page","por página"
