"API Password","API kodeord"
"API Signature","API signatur"
"Address","Adresse"
"Advanced Settings","Avancerede indstillinger"
"Allowed Credit Card Types","Tilladte kreditkort"
"Authorization","Autorisation"
"Billing Information","Faktureringsoplysninger"
"City","By"
"Close","Luk"
"Company","Firma"
"Complaint","Klage"
"Configure","Konfigurer"
"Continue","Fortsæt"
"Country","Land"
"Credit","Kredit"
"Custom","Brugerdefineret"
"Daily","Daglig"
"Discount","Rabat"
"Display","Vis"
"Display on Shopping Cart","Vis på indkøbskurv"
"Dispute","Uenighed"
"Don't have a PayPal account? Simply enter your email address.","Har du ikke en PayPal konto? Indtast din e-mail adresse."
"Dynamic","Dynamisk"
"Edit","Redigér"
"Edit Shopping Cart","Rediger indkøbskurv"
"Email Address","E-mail adresse"
"Enable this Solution","Aktivere denne løsning"
"Enabled","Aktiveret"
"Event","Begivenhed"
"Fax","Faxnummer"
"Fetch","Hent"
"Funding","Finansiering"
"Help","Hjælp"
"Home Page","Startside"
"Incentive","Tilskyndelse"
"Items in Your Shopping Cart","Varer i din indkøbskurv"
"Learn More","Læs mere"
"Login","Log ind"
"Never","Aldrig"
"No","Nej"
"No Logo","Ingen Logo"
"No match","Ingen match"
"Order","Bestil"
"Order ID","Ordre ID"
"Page Style","Sidestil"
"Password","Kodeord"
"PayPal Fee Information","PayPal gebyr oplysninger"
"Payer ID","Betaler ID"
"Payment Action","Betalingshandling"
"Payment Method","Betalingsmetode"
"Pending PayPal","Afventer PayPal"
"Place Order","Afgiv ordre"
"Please agree to all the terms and conditions before placing the order.","Venligst acceptere alle vilkår og betingelser før ordreafgivelsen."
"Please select a shipping method...","Vælg en leveringsmetode..."
"Please select region, state or province","Vælg region, stat eller provins"
"Position","Placering"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnavn"
"Proxy Host","Proxyvært"
"Proxy Port","Proxyport"
"Qty","Antal"
"Reports","Rapporter"
"Require Customer's Billing Address","Kræve kundens faktureringsadresse"
"Reversal","Tilbageførsel"
"Review Order","Gennemse ordre"
"Sale","Salg"
"Sales","Salg"
"Schedule","Tidsplan"
"Shipping","Levering"
"Shipping Address","Leveringsadresse"
"Shipping Information","Leveringsinformation"
"Shipping Method","Leveringsmetode"
"Shortcut","Genvej"
"Size","Størrelse"
"Sorry, no quotes are available for this order at this time.","Vi undskylder! Prisoverslag kan ikke gives for denne ordre."
"Sort Order","Sorteringsrækkefølge"
"State/Province","Stat eller Region"
"Static","Statisk"
"Street Address","Gade/vejnavn"
"Submitting order information...","Indsender ordreoplysninger..."
"Telephone","Telefonnummer"
"Test Mode","Testtilstand"
"There was an error processing your order. Please contact us or try again later.","Der opstod en fejl under behandlingen af din ordre. Kontakt os eller prøv igen senere."
"Title","Titel"
"Transaction ID","Transaktions-ID"
"Transaction Information","Transaktionsoplysninger"
"Update Shipping Method","Opdater leveringsform"
"Use Proxy","Brug Proxy"
"User","Bruger"
"VAT Number","CVR nummer"
"Vendor","Forhandler"
"View","Vis"
"View Demo","Se Demo"
"Void","Ugyldig"
"Yes","Ja"
"You will be redirected to the PayPal website.","Du vil blive omdirigeret til PayPal webstedet."
"Zip/Postal Code","Postnummer"
