"Active","Aktiv"
"Add Attribute Mapping","Tilføj egenskabsmapping"
"Add New Attribute","Tilføj ny attribut"
"Add to Google Base","Tilføj til Google Base"
"Are you sure?","Er du sikker?"
"Attribute","Egenskab"
"Attribute Set","Attributssæt"
"Attribute Set and Item Type","Egenskabssæt og produkttype"
"Attributes","Attributter"
"Attributes Set","Egenskabssæt"
"Available Products","Tilgængelige produkter"
"Captcha confirmation error: %s","Captcha bekræftelsesfejl: %s"
"Catalog","Katalog"
"Clicks","Klik"
"Confirm","Bekræft"
"Current Mapping will be reloaded. Continue?","Den nuværende mapping genindlæses. Fortsæt?"
"Custom attribute, no mapping","Tilpasset egenskab, ingen mapping"
"Delete","Slet"
"Delete Mapping","Slet mapping"
"Edit Item Type","Rediger produkttype"
"Edit Item Type ""%s""","Rediger varetype ""%s"""
"Error: %s","Fejl: %s"
"Expires","Udløber"
"Google Base Attribute","Google Base egenskab"
"Google Base Item Type","Google Base produkttype"
"Google Base Item type","Google Base produkttype"
"Google Base Items","Google Base-varer"
"Hide","Skjul"
"Invalid Product Model for Google Base Item","Ugyldig produktmodel for Google Base-produkt"
"Item Type was deleted","Produkttype slettet"
"Item Types","Produkttyper"
"Items","Varer"
"Manage Attribute Mapping","Administrer egenskabsmapping"
"Manage Attributes","Egenskaber"
"Manage Items","Administrer produkter"
"New Item Type","Ny produkttype"
"No","Nej"
"No items were deleted from Google Base","Ingen produkter blev slettet fra Google Base"
"No items were published","Ingen produkter blev udgivet"
"No products were added to Google Base","Ingen produkter blev tilføjet til Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","Vælg egenskabssæt og Google produkttype for at indlæse egenskaber"
"Product Name","Produktnavn"
"Publish","Udgiv"
"Published","Udgivet"
"Remove","Fjern"
"Save Mapping","Gem mapping"
"Synchronize","Synkronisér"
"Target Country","Målland"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Denne handling vil opdatere produktstatistik og fjerne de produkter, der ikke er tilgængelige i Google Base. Fortsæt?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kunne ikke forbinde til Google Base. Kontroller kontoindstillingerne."
"View Available Products","Vis tilgængelige produkter"
"View Item in Google Base","Vis produkt i Google Base"
"Yes","Ja"
