" Copy"," Kopier"
"Action","Handling"
"Add New Template","Tilføj ny skabelon"
"Add to Queue","Tilføj til kø"
"Allow Guest Subscription","Tillad gæst abonnement"
"Are you sure that you want to delete this template?","Er du sikker på, at skabelonen skal slettes?"
"Are you sure that you want to strip all tags?","Er du sikker på, at du ønsker at fjerne alle tags?"
"Back","Tilbage"
"Cancel","Annuller"
"Cancelled","Annulleret"
"Confirmation Email Sender","Bekræftelsesmail - afsender"
"Confirmation Email Template","Bekræftelsesmail - skabelon"
"Convert to Plain Text","Konverter til almindelig tekst"
"Create Newsletter Template","Opret Nyhedsbrevsskabelon"
"Customer","Kunde"
"Customer First Name","Kundens fornavn"
"Customer Last Name","Kundens efternavn"
"Date Added","Dato tilføjet"
"Date Updated","Opdateret den"
"Delete","Slet"
"Delete Selected Problems","Slet de valgte problemer"
"Delete Template","Slet skabelon"
"Do you really want to cancel the queue?","Er du sikker på at du vil annullere køen?"
"Edit Newsletter","Rediger nyhedsbrev"
"Edit Newsletter Template","Rediger nyhedsbrev template"
"Edit Queue","Rediger kø"
"Edit Template","Rediger skabelon"
"Email","E-mail"
"Enter your email address","Indtast din e-mailadresse"
"Error Code","Fejlkode"
"Error Text","Fejlbesked"
"Guest","Gæst"
"Message","Besked"
"Need to Confirm","Skal bekræftes"
"New Newsletter Template","Nyt nyhedsbrev template"
"New Template","Ny Skabelon"
"Newsletter","Nyhedsbrev"
"Newsletter Message Preview","Vis nyhedsbrev"
"Newsletter Problem Reports","Nyhedsbrevs Problemer Rapport"
"Newsletter Queue","Nyhedsbrev kø"
"Newsletter Section","Nyhedsbrev sektion"
"Newsletter Styles","Nyhedsbrev stilarter"
"Newsletter Subscribers","Nyhedsbrev abonnenter"
"Newsletter Subscription","Nyhedsbrev abonnement"
"Newsletter Subscriptions","Nyhedsbrev abonnementer"
"Newsletter Templates","Nyhedsbrevsskabeloner"
"Newsletter subscription confirmation","Nyhedsbrev abonnement bekræftelse"
"Newsletter subscription success","Nyhedsbrev abonnement succes"
"Newsletter unsubscription success","Nyhedsbrev opsigelse af abonnement succes"
"No Templates Found","Ingen skabeloner fundet"
"Not Activated","Ikke aktiv"
"Not Sent","Ikke sendt"
"Paused","På pause"
"Please enter a valid email address.","Angiv venligst en gyldig e-mail adresse."
"Please enter new template name","Indtast navn på skabelon"
"Please select subscriber(s)","Vælg venligst modtager(e)"
"Preview","Forhåndsvisning"
"Preview Template","Preview skabelon"
"Processed","Bearbejdet"
"Queue Date Start","Kø dato start"
"Queue Finish","Slutdato"
"Queue Information","Køoplysninger"
"Queue Start","Startdato"
"Queue Subject","Emne (kø)"
"Recipients","Modtagere"
"Reset","Nulstil"
"Resume","Genoptag"
"Return HTML Version","Returner HTML-Version"
"Save As","Gem som"
"Save Newsletter","Gem nyhedsbrev"
"Save Template","Gem skabelon"
"Save and Resume","Gem og fortsæt"
"Sender","Afsender"
"Sender Email","Afsender Email"
"Sender Name","Afsendernavn"
"Sending","Sender"
"Sent","Sendt"
"Sign Up for Our Newsletter:","Tilmeld dig vores nyhedsbrev:"
"Sign up for our newsletter","Tilmeld dig vores nyhedsbrev"
"Store","Butik"
"Store View","Butiksvisning"
"Subject","Emne"
"Submit","Send"
"Subscribe","Tilmeld"
"Subscribed","Tilmeldt"
"Subscriber","Abonnent"
"Subscribers","Abonnenter"
"Subscribers From","Abonnenter fra"
"Subscription Options","Abonnementsmuligheder"
"Success Email Sender","Tilmeldingsmail - afsender"
"Success Email Template","Tilmeldingsmail - skabelon"
"Template Content","Skabelon indhold"
"Template Information","Template information"
"Template Name","Skabelonnavn"
"Template Styles","Skabelonstil"
"Template Subject","Skabelon emne"
"Template Type","Skabelontype"
"Thank you for your subscription.","Tak for dit tilmelding."
"There was a problem with the subscription: %s","Et problem opstod under tilmelding: %s"
"There was a problem with the un-subscription.","Der opstod et problem ved afmeldelsen."
"Unconfirmed","(Ubekræftet)"
"Unsubscribe","Afmeld"
"Unsubscribe Selected","Afmeld Valgte"
"Unsubscribed","Afmeldt"
"Unsubscription Email Sender","Afmeldingsmail - afsender"
"Unsubscription Email Template","Afmeldingsmail - skabelon"
"View Newsletter","Se nyhedsbrev"
"Website","Hjemmeside"
