"""Remember Me"" Default Value","""Husk mig"" Standard værdi"
"* Required Fields","* Påkrævede felter"
"Address","Adresse"
"Address Information","Adresseoplysninger"
"Already registered?","Allerede oprettet?"
"Back","Tilbage"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved at oprette en konto i vores shop, vil du være i stand til at <br>(1) gennemføre dine køb meget hurtigere<br>(2) gemme flere leveringsadresser<br>(3) se og spore dine ordrer på din konto og meget mere."
"Checkout as Guest","Bestil som gæst"
"Checkout as a Guest or Register","Gå til bestilling som gæst eller opret dig som bruger"
"City","By"
"Close","Luk"
"Company","Firma"
"Confirm Password","Bekræft kodeord"
"Continue","Fortsæt"
"Country","Land"
"Create an Account","Opret en konto"
"Easy access to your order history and status","Nem adgang til din ordrehistorik og -status"
"Email Address","E-mail adresse"
"Enable ""Remember Me""","Aktivere ""Husk mig"""
"Fast and easy check out","Hurtig og nem betaling"
"Fax","Faxnummer"
"Forgot Your Password?","Glemt din adgangskode?"
"Forgot your password?","Glemt din adgangskode?"
"General Options","Generelt"
"If you have an account with us, please log in.","Har du allerede en konto hos os, kan du logge på her."
"Loading next step...","Henter data..."
"Login","Log ind"
"Login Information","Log-ind information"
"Login or Create an Account","Log ind eller opret konto"
"New Customers","Nye kunder"
"Password","Kodeord"
"Personal Information","Personlig informationer"
"Please log in below:","Log venligst ind nedenfor:"
"Please select region, state or province","Vælg region, stat eller provins"
"Register","Opret konto"
"Register and save time!","Opret konto og spar tid!"
"Register to Create an Account","Opret dig som bruger, hvis du ønsker en konto"
"Register with us for future convenience:","Opret konto hos os for at gøre det nemmere fremover:"
"Registered Customers","Eksisterende kunde"
"Remember Me","Husk mig"
"Save in address book","Gem i adressekartoteket"
"Select State/Province...","Vælg område..."
"Select a billing address from your address book or enter a new address.","Vælg en betalingsadresse fra dine adresser eller indtast en <a href=""#"" onclick=""billing.newAddress(true); return false;"">ny adresse</a>."
"Ship to different address","Levering til anden adresse"
"Ship to this address","Levering til denne adresse"
"Sign Up for Newsletter","Tilmeld nyhedsbrev"
"State/Province","Stat eller Region"
"Street Address","Gade/vejnavn"
"Submit","Send"
"Telephone","Telefonnummer"
"VAT Number","CVR nummer"
"Welcome, %s!","Velkommen, %s!"
"What's this?","Hvad er dette?"
"Zip/Postal Code","Postnummer"
