"-- Please Select --","-- Vælg venligst --"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Sletter du en %1$s bliver data forbundet med din %1$s ikke slettet (kategorier, produkter mv.), men det vil ikke være muligt at genskabe din %1$s. Det anbefales at tage backup af databasen før du sletter denne %1$s."
"Design Change","Designændring"
"Developer","Udvikler"
"Developer Client Restrictions","Udvikler klient-restriktioner"
"Disable Email Communications","Deaktivér e-mail kommunikation"
"Disable Modules Output","Slå Modul Output fra"
"Edit Design Change","Redigér designændringer"
"Edit Store","Rediger butik"
"Edit Store View","Rediger butiks visning"
"Edit Website","Rediger website"
"Empty identifier field name","Tomt feltnavn for identifikator"
"Empty main table name","Fejl: Navn på hovedtabel må ikke være tomt"
"Enable Charts","Aktivér diagrammer"
"Enabled","Aktiveret"
"Enabled for Admin","Aktiveret for Administrator"
"Enabled for Frontend","Aktiv for frontend"
"Error in file: ""%s"" - %s","Fejl i fil: ""%s"" - %s"
"European Union Countries","EU Lande"
"Exceptions Log File Name","Filnavn for exceptions log"
"File system","Filsystem"
"First Day of Week","Første dag i ugen"
"Flush Cache Storage","Rens Cache Lager"
"Flush OpenMage Cache","Rens OpenMage Cache"
"Footer","Sidefod"
"Forgot Password Email Sender","Glemt password e-mailafsender"
"Forgot Password Email Template","Glemt adgangskode e-mail-skabelon"
"General","Generelt"
"General Contact","Hoved kontakt"
"General Settings","Generelle indstillinger"
"Global","Globalt"
"Header","Sidehovede"
"Host","Vært"
"How many links to display at once.","Hvor mange links der kan vises på en gang."
"Incorrect credit card expiration date.","Forkert kreditkort udløbsdato."
"Invalid base url type","Ugyldig rod-URL-type"
"Invalid block type: %s","Ugyldig bloktype: %s"
"Invalid block: %s","Ugyldig blok: %s"
"Invalid date","Ugyldig dato"
"Invalid layout update handle","Ugyldig layout-opdatering"
"JavaScript Settings","JavaScript indstillinger"
"Layout","Opsætning"
"Locale","Lokal"
"Locale Options","Landestandard indstillinger"
"Log Settings","Logindstillinger"
"Login is Case Sensitive","Login er Case følsom"
"Logo Image","Logo billede"
"Logo Image Alt","Logo-billede alt"
"Logo Image Src","Logo-billede sti"
"Mail Sending Settings","Mail afsender indstillinger"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Sørg for, at base URL slutter med ' /' (skråstreg), fx http://yourdomain/magento/"
"Match expressions in the same order as displayed in the configuration.","Match udtryk i samme ordre som vist i konfigurationen."
"Media Storage","Medialager"
"Merge CSS Files","Sammenkæd CSS Filer"
"Merge JavaScript Files","Sammenlæg JavaScript Filer"
"Miscellaneous HTML","Diverse HTML"
"Name","Navn"
"New Design Change","Ny designændring"
"New Store","Ny butik"
"New Store View","Ny butiks visning"
"New Website","Nyt website"
"No","Nej"
"PHP SOAP extension is required.","PHP SOAP udvidelse er påkrævet."
"Package","Pakke"
"Pagination","Sidenummerering"
"Pagination Frame","Sidenummererings ramme"
"Pagination Frame Skip","Spring sidenummererings ramme over"
"Please define flag code.","Definer venligst flagkode."
"Please enter a number 0 or greater in this field.","Indtast venligst et tal, 0 eller større i dette felt."
"Please enter a number 1 or greater in this field.","Indtast 1 eller større i dette felt."
"Please enter a number greater than 0 in this field.","Angiv et tal større end 0 i feltet."
"Please enter a valid $ amount. For example $100.00.","Angiv et gyldigt $ beløb. For eksempel $100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Indtast venligst en gyldig hjemmesideadresse (URL), eks.http://www.mindemoshop.dk or www.mindemoshop.dk"
"Please enter a valid credit card number.","Indtast et gyldigt kreditkortnummer."
"Please enter a valid credit card verification number.","Angiv et gyldigt kreditkort verifikation tal."
"Please enter a valid date.","Angiv en gyldig dato."
"Please enter a valid email address. For example johndoe@domain.com.","Indtast venligst en gyldig e-mail-adresse, f.eks. johndoe@domain.com."
"Please enter a valid month (1-12).","Angiv en gyldig måned (1-12)."
"Please enter a valid number in this field.","Angiv et gyldigt tal i dette felt."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Indtast venligst et gyldigt telefonnummer. For eksempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Indtast venligst et gyldigt CPR-nummer, eks. 19051970-2369."
"Please enter a valid zip code.","Angiv et gyldigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Indtast venligst et gyldigt postnummer, eks. 6430 eller 8000."
"Please enter issue number or start date for switch/solo card type.","Angiv nummer eller startdato for switch/solo korttype."
"Please make sure your passwords match.","Kontroller at dine adgangskoder stemmer overens."
"Please select State/Province.","Vælg stat/region."
"Please select an option.","Foretag venligst et valg."
"Please select one of the above options.","Vælg venligst en af mulighederne ovenfor"
"Please select one of the options.","Vælg en af de givne muligheder."
"Please use letters only (a-z or A-Z) in this field.","Benyt kun bogstaver (a-z eller A-Z) i dette felt."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Brug kun bogstaver (a-z) eller heltal (0-9) eller underscore (_) i dette felt., første karakter skal være et bogstav."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Brug venligst dette datoformat: dd/mm/åååå. For eksempel 17/03/2006 for den 17. marts 2006."
"Please wait, loading...","Vent venligst, henter data..."
"Polls","Afstemninger"
"Recovery Link Expiration Period (hours)","Udløbsperiode for genskabelseslink (timer)"
"Requested invalid store ""%s""","Ugyldig butik ""%s"" ønsket"
"Return-Path Email","Retur-sti e-mail"
"Root Category","Rod Kategori"
"Sales Representative","Sælger"
"Save","Gem"
"Save Store","Gem butik"
"Save Store View","Gem butiks visning"
"Save Website","Gem website"
"Search Engines Optimization","Søgemaskineoptimering (SEO)"
"Secure","Sikker"
"Security","Sikkerhed"
"Select Date","Vælg dato"
"Sender Email","Afsender Email"
"Sender Name","Afsendernavn"
"Services","Tjenester"
"Session Validation Settings","Session Validerings Indstillinger"
"Set Return-Path","Indstil retur-sti"
"Set as Default","Sæt som standard"
"Skin (Images / CSS)","Skin (Billeder / CSS)"
"Sort Order","Sorteringsrækkefølge"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Det angivne dato/tidsformat ""%1$s"" matcher ikke formatet ""%2$s""."
"Startup Page","Opstartsside"
"Store","Butik"
"Store Email Addresses","Butiks e-mailadresser"
"Store Hours of Operation","Butiksåbningstider"
"Store Information","Butiks information"
"Store Name","Butiksnavn"
"Store View","Butiksvisning"
"Store View Information","Butiksvisnings Information"
"Store View Name","Navn på visning af forretning"
"Store view doesn't exist","Butiks visning findes ikke"
"Store with the same code","Forretning med samme kode"
"System Log File Name","Filnavn for systemlog"
"Template Path Hints","Skabelonsti (hints)"
"Template Settings","Skabelonindstillinger"
"Templates","Skabeloner"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Indtastede %s er ugyldig. Sørg for at følge formatet ""http://domain.com/""."
"The store does not exist","Butikken findes ikke"
"The value is not within the specified range.","Værdien er ikke inden for det angivne interval."
"The website does not exist.","Hjemmesiden findes ikke."
"Themes","Temaer"
"This category and all its child elements","Denne kategori og alle underelementer"
"This category and its child categories only","Denne kategori og kun dens underkategorier"
"This category and its products only","Denne kategori og kun dens produkter"
"This category only","Kun denne kategori"
"This is a required field.","Dette er et obligatorisk felt."
"This store cannot be deleted.","Denne butik kan ikke slettes."
"This store view cannot be deleted.","Denne butiks visning kan ikke slettes."
"This website cannot be deleted.","Dette websted kan ikke slettes."
"Timezone","Tidszone"
"Title Prefix","Titel præfix"
"Title Suffix","Titel suffix"
"Transactional Emails","E-mails"
"Translate Inline","Oversæt internt"
"Translations","Oversættelser"
"Unable to delete store view. Please, try again later.","Kunne ikke slette forretningsvisning. Prøv igen senere."
"Unable to delete store. Please, try again later.","Kunne ikke slette forretning. Prøv igen senere."
"Unable to delete website. Please, try again later.","Kunne ikke slette website. Prøv igen senere."
"Unable to proceed. Please, try again","Kan ikke fortsætte. Prøv igen"
"Unsecure","Usikker"
"Url Options","URL indstillinger"
"Use Custom Admin Path","Brug brugerdefineret Admin sti"
"Use Custom Admin URL","Brug brugerdefineret Admin URL"
"Use HTTP Only","Brug kun HTTP"
"None","Ingen"
"Use Secure URLs in Admin","Brug Sikre URLs i Administrator"
"Use Secure URLs in Frontend","Avend sikre URLs i frontend"
"Use Web Server Rewrites","Bruger Web Server Omskrivninger"
"VAT Number","CVR nummer"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Valider HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valider REMOTE_ADDR"
"Website","Hjemmeside"
"Website Information","Website-info"
"Website Name","Websitenavn"
"Website with the same code","Website med samme kode"
"Weekend Days","Weekenddage"
"Welcome Text","Velkomsttekst"
"Wrong number of arguments for %s","Fejl: Forkert antal parametre angivet for %s"
"Yes","Ja"
