"-- Please Select --","-- Vælg venligst --"
"Add Block Names to Hints","Tilføj bloknavne til hints"
"Add Secret Key to URLs","Tilføje hemmelige nøgle til URLer"
"Add Store Code to Urls","Tilføje butikskode til URL-adresser"
"Admin","Administrator"
"Admin Base URL","Admin rod-URL"
"Admin User Emails","Adminbruger e-mails"
"Advanced","Avanceret"
"Allow Countries","Tillad Lande"
"Allow Symlinks","Tillad Symlinks"
"Allowed IPs (comma separated)","Tilladte IP'er (kommasepareret)"
"Anchor Text for Next","Anker tekst for Næste"
"Anchor Text for Previous","Anker Tekst for foregående"
"Are you sure?","Er du sikker?"
"Auto-redirect to Base URL","Auto-omdirigér til Base URL"
"Back","Tilbage"
"Backup Options","Backup indstillinger"
"Base JavaScript URL","Base JavaScript-URL"
"Base Link URL","Base link-URL"
"Base Media URL","Base medie-URL"
"Base Skin URL","Base skin-URL"
"Base URL","Rod URL"
"Block with name ""%s"" already exists","Blok med navnet ""%s"" eksisterer allerede"
"Browser Capabilities Detection","Browser Capabilities påvisning"
"CSS Settings","CSS indstillinger"
"Cache Storage Management","Cache lager styring"
"Can't retrieve request object","Kan ikke hente det efterspurgte objekt"
"Can't retrieve entity config: %s","Kan ikke hente enhedskonfiguration: %s"
"Cancel","Annuller"
"Cannot complete this operation from non-admin area.","Kan ikke udføre denne handling fra et ikke-adminområde."
"Card type does not match credit card number.","Korttype svarer ikke kreditkortnummer."
"Code","Kode"
"Controller file was loaded but class does not exist","Controller-filen blev indlæst, men klassen findes ikke"
"Cookie Domain","Cookie domæne"
"Cookie Lifetime","Cookie levetid"
"Cookie Path","Cookie sti"
"Country","Land"
"Create Store","Lav Butik"
"Create Store View","Lav Butiks Design"
"Create Website","Lav Website"
"Credit card number does not match credit card type.","Kreditkortnummer svarer ikke kreditkorttype."
"Custom Admin Path","Brugerdefineret Admin sti"
"Custom Admin URL","Brugerdefineret Admin URL"
"Custom Design","Brugerdefineret Design"
"Custom Email 1","Brugedefineret E-mail 1"
"Custom Email 2","Brugerdefineret E-mail 2"
"Custom Variables","Tilpassede variabler"
"Customer Support","Kundeservice"
"Dashboard","Instrumentbræt"
"Date From","Dato fra"
"Date To","Dato til"
"Date/time format ""%s"" is not supported.","Dato/tidsformatet ""%s"" understøttes ikke."
"Debug","Fejlsøgning"
"Default","Standard"
"Default Country","Standard Land"
"Default Description","Standardbeskrivelse"
"Default Keywords","Standardnøgleord"
"Default No-route URL","Standard No-Route URL"
"Default Pages","Standard Sider"
"Default Robots","Standardrobotter"
"Default Store","Standard Butik"
"Default Store View","Standard Butiksvisning"
"Default Title","Standard overskrift"
"Default Web URL","Standard Web URL"
"Delete","Slet"
"Delete Store","Slet butik"
"Delete Store View","Slet Butiksvisning"
"Delete Website","Slet website"
