"%d Review(s)","%d bedømmelse(r)"
"%s Review(s)","%s bedømmelse(r)"
"(Posted on %s)","(Indsendt den %s)"
"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"Add New Review","Tilføj bedømmelse"
"Add Your Review","Tilføj din anmeldelse"
"All Reviews","Alle anmeldelser"
"Allow Guests to Write Reviews","Tillad gæster at skrive anmeldelser"
"Approved","Godkendt"
"Are you sure you want to do this?","Er du sikker på, at du vil gøre dette?"
"Are you sure?","Er du sikker?"
"Average Customer Rating","Gennemsnitlig kundebedømmelse"
"Average Customer Rating:","Gennemsnitlig kundebedømmelse:"
"Back","Tilbage"
"Back to Main Product Info","Tilbage til hoved produktinformation"
"Back to My Reviews","Tilbage til mine anmeldelser"
"Back to Product Reviews","Tilbage til Produktanmeldelser"
"Be the first to review this product","Vær den første til at anmelde dette produkt"
"Created On","Oprettet den"
"Customer","Kunde"
"Customer Reviews","Kunde anmeldelser"
"Customers Reviews","Kunders bedømmelser"
"Delete","Slet"
"Delete Review","Slet anmeldelse"
"Detailed Rating","Detaljeret bedømmelse"
"Edit Review '%s'","Rediger bedømmelsen '%s'"
"Guest","Gæst"
"How do you rate this product?","Giv produktet karakterer"
"My Product Reviews","Mine produktanmeldelser"
"My Recent Reviews","Mine seneste anmeldelser"
"Name","Navn"
"New Review","Ny anmeldelse"
"Nickname","Brugernavn"
"Not Approved","Ikke Godkendt"
"Pending","Afventer"
"Pending Reviews","Afventende anmeldelser"
"Please select a product","Vælg venligst et produkt"
"Please select one of each of the ratings above","Giv venligst din karakter til alle områder ovenfor"
"Posted By","Skrevet af"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnavn"
"Product Rating","Produktbedømmelse"
"Product Rating:","Produktbedømmelse:"
"Product Review (submitted on %s):","<strong>Bedømmelse</strong> (indsendt den %s):"
"Product Reviews","Produktanmeldelser"
"Product SKU","Produktets varenummer"
"Products Reviews","Produkters bedømmelser"
"Qty","Antal"
"Rating:","Karakter:"
"Review","Anmeldelse"
"Review Details","Gennemgå detaljer"
"Review by %s","Bedømt af <em>%s</em>"
"Reviews","Anmeldelser"
"Reviews and Ratings","Bedømmelser og karakterer"
"SKU","Varenummer"
"Save Review","Gem anmeldelse"
"Submit Review","Indsend anmeldelse"
"Summary Rating","Bedømmelse resumé"
"Summary of Review","Anmeldelses resumé"
"Summary of Your Review","Overskrift"
"Title","Titel"
"Update Status","Opdatér status"
"View All Reviews","Vis alle"
"View Details","Vis detaljer"
"Visible In","Synlig i"
"Websites","Hjemmesider"
"Write Your Own Review","Skriv din egen anmeldelse"
"You have submitted no reviews.","Du har ikke anmeldt et produkt."
"You're reviewing:","Du anmelder:"
"Your Rating:","Dine karakterer:"
"Your Review (submitted on %s):","<strong>Din bedømmelse</strong> (indsendt den %s):"
