" for more information or "," for mere information eller "
"# of Items (and above)","# af varer (og derover)"
"# of Items vs. Destination","# Varer vs leveringssted"
"Calculate Handling Fee","Beregner ekspeditionsgebyr"
"Carrier:","Distributør:"
"City","By"
"Close Window","Luk vindue"
"Condition","Tilstand"
"Country","Land"
"Custom Value","Brugerdefineret værdi"
"Date","Dato"
"Delivered on:","Leveret på:"
"Delivered to:","Leveret til:"
"Description","Beskrivelse"
"Displayed Error Message","Vises fejlmeddelelsen"
"Enabled","Aktiveret"
"Error:","Fejl:"
"Export","Eksportér"
"Fixed","Fast"
"Flat Rate","Porto"
"Free Shipping","Fri fragt"
"Handling Fee","Ekspeditionsgebyr"
"Import","Importer"
"Include Virtual Products in Price Calculation","Omfat virtuelle produkter i prisberegningen"
"Info:","Information:"
"Invalid Table Rate code for type %s: %s","Ugyldig kode for typen %s: %s"
"Invalid Table Rate code type: %s","Ugyldig kode: %s"
"Invalid Table Rates File Format","Ugyldigt filformat"
"Local Time","Lokal tid"
"Location","Lokation"
"Method Name","Metodenavn"
"Minimum Order Amount","Minimum ordre mængde"
"None","Ingen"
"Options","Valgmuligheder"
"Order Subtotal (and above)","Ordre subtotal (og derover)"
"Origin","Oprindelse"
"Per Order","Per ordre"
"Per Package","Per pakke"
"Percent","Procent"
"Price","Pris"
"Price vs. Destination","Pris vs destination"
"Region/State","Region/stat"
"Service Type:","Servicetype:"
"Ship to Applicable Countries","Send til gældende lande"
"Ship to Specific Countries","Send til bestemte lande"
"Shipment #","Levering #"
"Shipped or billed on:","Leveret eller afregnet til:"
"Shipping Methods","Leveringsmetoder"
"Shipping Settings","Leveringsindstillinger"
"Show Method if Not Applicable","Vis metode, hvis ikke gældende"
"Signed by:","Underskrevet af:"
"Sort Order","Sorteringsrækkefølge"
"Store Pickup","Afhentning i butik"
"Street Address","Gade/vejnavn"
"Street Address Line 2","Adresselinje 2"
"Table Rates","Fragtmand"
"The shipping module is not available.","Leverings-modulet er ikke tilgængeligt."
"There is no tracking available for this shipment.","Der er ingen trackingnummer for denne leverance."
"There is no tracking available.","Der findes ingen tracking."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Denne leveringsmetode er i øjeblikket ikke tilgængelig. Kontakt os venligst hvis du gerne vil bruge denne metode."
"Title","Titel"
"Track:","Følg:"
"Tracking Information","Tracking information"
"Tracking Number:","Trackingnummer:"
"Tracking information is currently not available. Please ","Tracking oplysninger er i øjeblikket ikke tilgængelige. Vær så venlig "
"Tracking information is currently unavailable.","Tracking-information er i øjeblikket ikke tilgængelig."
"Weight (and above)","Vægt (og derover)"
"Weight vs. Destination","Vægt vs. destination"
"Weight:","Vægt:"
"ZIP/Postal Code","Postnummer"
"contact us","kontakt os"
"email us at ","email os på "
