" [deleted]"," [ slettet]"
" and "," og "
"(For US 2-letter state names)","(USA: navn på stat angives med 2 bogstaver)"
"(If left empty will be auto-generated)","(Hvis feltet ikke udfyldes, vil dets indhold blive auto-genereret)"
"(Leave empty for first spreadsheet)","(Udfyldes ikke for første regneark)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkter vil blive tilføjet/opdateret til denne butik hvis butikskolonnen er tom eller mangler i importfilen.)"
"(Shift-)Click or drag to change value","(Shift-)klik eller træk for at ændre værdien"
"(Starting with)","(Starter med)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Hvis 'Nej' vil kun mappede felter blive importeret. Under mapping brug 'kolonne1', 'kolonne2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Du skal forøge php memory_limit før denne værdi ændres)"
"(\t for tab)","(t for tab)"
"* Required Fields","* Påkrævede felter"
"- Click on any of the time parts to increase it","- Klik på en vilkårlig tidsdel for at forøge den"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold museknappen nede på en af de ovenstående knapper for at vælge hurtigere."
"- Use the %s buttons to select month","- Brug %s-knapperne for at vælge måned"
"- Use the %s, %s buttons to select year","- Brug %s, %s-knapperne for at vælge år"
"- or Shift-click to decrease it","- eller shift-klik for at formindske den"
"- or click and drag for faster selection.","- eller klik og træk for at vælge hurtigere."
"-- Please Select --","-- Vælg venligst --"
"-- Please Select Billing Agreement--","-- Vælg en faktureringsaftale --"
"-- Please Select a Category --","--Vælg en kategori--"
"-- Please select --","-- Vælg venligst --"
"--Please Select--","--Vælg--"
"1 Hour","1 time"
"12 Hours","12 timer"
"12h AM/PM","12t AM/PM"
"2 Hours","2 timer"
"24 Hours","24 timer"
"24h","24t"
"2YTD","2ÅTD"
"6 Hours","6 timer"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Fejl 404</h1><p>Side ikke fundet.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Vigtigt</strong>: Forskel på store og små bogstaver ved tastning af Captcha."
"A user with the same user name or email already exists.","Der findes allerede en bruger med dette brugernavn og/eller e-mail adresse."
"API Key","API-nøgle"
"About the calendar","Om kalenderen"
"Account Created in:","Konto oprettet i:"
"Account Created on (%s):","Konto oprettet d. (%s):"
"Account Created on:","Konto oprettet d.:"
"Account Information","Konto Information"
"Account Status","Kontostatus"
"Account status","Kontostatus"
"Action","Handling"
"Actions","Handlinger"
"Actions XML","Handlings-XML"
"Active","Aktiv"
"Add","Tilføj"
"Add Exception","Tilføj undtagelse"
"Add Field Mapping","Tilføj feltmapning"
"Add Field with URL:","Tilføj felt med URL:"
"Add New","Tilføj Ny"
"Add New Block","Tilføj ny blok"
"Add New Image","Tilføj Nyt Billede"
"Add New Profile","Tilføj ny profil"
"Add New Role","Tilføj ny rolle"
"Add New Template","Tilføj ny skabelon"
"Add New User","Tilføj ny bruger"
