"Actions","Handlinger"
"Are you sure?","Er du sikker?"
"Date Added","Dato tilføjet"
"Last Update","Sidst opdateret"
"Mark as Read","Marker som læst"
"Mark as read","Marker som læst"
"Message","Besked"
"Messages Inbox","Indbakke"
"Notifications","Meddelelser"
"Please select messages.","Vælg beskeder."
"Read Details","Læs detaljer"
"Remove","Fjern"
"Severity","Alvorlighed"
"Show List","Vis liste"
"Show Toolbar","Vis værktøjslinje"
"The message has been removed.","Beskeden er blevet slettet."
"Update Frequency","Opdater frekvens"
"Use HTTPS to Get Feed","Brug HTTPS for at hente et feed"
"Wrong message type","Forkert beskedtype"
"critical","kritisk"
"major","alvorlig"
"minor","mindre"
"notice","info"
