"%s's Wishlist","%s's ønskeseddel"
"* Required Fields","* Påkrævede felter"
"Add All to Cart","Tilføj alle til indkøbskurv"
"Add to Cart","Læg i kurv"
"Add to Compare","Sammenlign"
"Add to Wishlist","Føj til ønskeliste"
"Added From","Tilføjet fra"
"Are you sure you want to remove this product from your wishlist?","Er du sikker på, at du vil fjerne produktet fra din ønskeseddel?"
"Are you sure you would like to remove this item from the wishlist?","Er du sikker på at du vil fjerne dette produkt fra ønskesedlen?"
"Back","Tilbage"
"Can't save description %s","Kan ikke gemme beskrivelse %s"
"Cannot specify product.","Kan ikke angive produkt."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Sæt kryds her for at aktivere link til modtagelse af RSS-feed fra ønskeseddel."
"Click for price","Klik for pris"
"Comment","Kommenter"
"Comment:","Kommentar:"
"Date Added","Dato tilføjet"
"Days in Wishlist","Antal dage på ønskeseddel"
"Edit","Redigér"
"Email Sender","E-mail afsender"
"Email Template","Email skabelon"
"Email address can't be empty.","E-mail-adresse må ikke være tom."
"Email addresses, separated by commas","E-mailadresser, adskilt med komma"
"Enabled","Aktiveret"
"General Options","Generelt"
"Go to Wishlist","Se ønskeseddel"
"In stock","På lager"
"Last Added Items","Sidste tilføjet elementer"
"Message","Besked"
"My Wishlist","Min ønskeseddel"
"My Wishlist (%d item)","Min ønskeseddel (%d ønske)"
"My Wishlist (%d items)","Min ønskeseddel (%d ønsker)"
"Options Details","Detaljer for valgmuligheder"
"Out of stock","Udsolgt"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Indtast venligst valide e-mailadresser adskilt med kommaer. For eksempel: lottejensen@adresse.dk, soren@eksempel.dk."
"Please, enter your comments...","Skriv dine kommentarer her..."
"Price","Pris"
"Product","Produkt"
"Qty","Antal"
"RSS Feed","RSS-feed"
"RSS link to %s's wishlist","RSS link til %s's ønskeseddel"
"Remove Item","Fjern vare"
"Remove This Item","Fjern dette produkt"
"Remove item","Fjern vare"
"SKU","Varenummer"
"Share Wishlist","Del din ønskeseddel med andre"
"Share Your Wishlist","Del din ønskeseddel med andre"
"Sharing Information","Delingsinformation"
"Update Wishlist","Opdater ønskeseddel"
"View Details","Vis detaljer"
"View Product","Se produkt"
"What's this?","Hvad er dette?"
"Wishlist","Ønskeliste"
"Wishlist Section","Ønskeseddelsektion"
"Wishlist Sharing","Deling af ønskeseddel"
"Wishlist is empty now.","Ønskesedlen er tom."
"You have no items in your wishlist.","Ønskesedlen er tom."
