"Alert Email Sender","Overvågningsbesked - afsender"
"Alert subscription has been saved.","Tilmeldingen er blevet gemt."
"Allow Alert When Product Comes Back in Stock","Tillad notifikation når varen kommer tilbage på lager"
"Allow Alert When Product Price Changes","Tillad notifikation når prisen ændres"
"Click here not to receive alerts for this product","Klik her for at slå prisovervågning fra for dette produkt"
"Error Email Recipient","Fejl: e-mailmodtager"
"Error Email Sender","Fejl: e-mailafsender"
"Error Email Template","Fejl: e-mailskabelon"
"Frequency","Hyppighed"
"Price Alert Email Template","Pris notifikation email skabelon"
"Price:","Pris:"
"Product Alerts","Produktet alarmer"
"Product Alerts Run Settings","Produktovervågning - kørselsindstillinger"
"Product alerts Cron error","Produktovervågning - Cron-fejl"
"Product price alert","Prisovervågning"
"Product stock alert","Lagerovervågning"
"Regular Price:","Pris:"
"Sign up for price alert","ønsker du at modtage besked, når prisen på dette produkt ændrer sig?"
"Sign up to get notified when this product is back in stock","Ønsker du at modtage en besked, når vi igen har produktet på lager?"
"Special price:","Specialpris:"
"Start Time","Starttidspunkt"
"Stock Alert Email Template","Lager notifikation email skabelon"
"You will no longer receive price alerts for this product.","Du vil ikke længere modtage pris notifikationer for dette produkt."
"The product was not found.","Produktet kunne ikke findes."
"Unable to update the alert subscription.","Kunne ikke opdatere din notifikations tilmelding."
"Unsubscribe from all price alerts","Slå al prisovervågning fra"
"Unsubscribe from all stock alerts","Slå al lagerovervågning fra"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Følgende produkter er nu på lager igen:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Du modtager denne meddelelse, fordi du abonnerer på få besked, når priserne for de følgende produkter ændres:"
"You will no longer receive stock alerts for this product.","Du vil ikke længere modtage lager notifikationer for dette produkt."
"You will no longer receive stock alerts.","Du vil ikke længere modtage lager notifikationer."
