"* Required Fields","* Påkrævede felter"
"Comment","Kommenter"
"Contact Form","Kontaktformular"
"Contact Information","Kontaktinformation"
"Contact Us","Kontakt os"
"Contacts","Kontakter"
"Email","E-mail"
"Email Options","E-mail indstillinger"
"Email Sender","E-mail afsender"
"Email Template","Email skabelon"
"Enable Contact Us","Aktiver kontakt os"
"Name","Navn"
"Send Emails To","Send e-mails til"
"Submit","Send"
"Telephone","Telefonnummer"
"Unable to submit your request. Please, try again later","Kunne desværre ikke gennemføre den ønskede handling. Prøv venligst igen senere"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Din henvendelse er afsendt, og vil blive besvaret hurtigst muligt. Tak for forespørgslen."
