"* Required Fields","* Obavezna polja"
"-- Please Select --","-- Molim odaberite --"
"About Your Order","O vašoj porudžbini"
"About Your Shipment","O vašoj pošiljci"
"Account Information","Informacije o nalogu"
"Action","Akcija"
"Actions","Radnje"
"Activate","Aktiviraj"
"Active","Aktivan"
"Add","Dodaj"
"Add New Address","Dodajte novu adresu"
"Add Products","Dodaj proizvode"
"Add To Order","Dodaj u narudžbu"
"Add Tracking Number","Broj za praćenje"
"Add to Cart","Dodaj u korpu"
"Amount","Iznos"
"Apply","Primeni"
"Apply Coupon Code","Primeni kod kupona"
"Are you sure you want to do this?","Jeste li sigurni da želite da uradite ovo?"
"Are you sure?","Da li ste sigurni?"
"Back","Nazad"
"Back to My Orders","Povratak na Moje Narudžbe"
"Bestsellers","Najprodavaniji"
"Billing Address","Adresa za fakturisanje"
"Billing Last Name","Prezime za Naplatu"
"Cancel","Odustani"
"Canceled","Otkazano"
"Changing address information will not recalculate shipping, tax or other order amount.","Promenom podataka o adresi neće se preračunati iznos poštarine, poreza ili drugog naloga."
"City","Grad"
"Clear Shopping Cart","Isprazni korpu"
"Click to change shipping method","Kliknite da biste promenili način isporuke"
"Close","Zatvori"
"Comment Text","Tekst komentara"
"Company","Firma"
"Complete","Završeno"
"Configure","Podesi"
"Contents","Sadržaj"
"Continue","Nastavi"
"Country","Država"
"Create","Kreiraj"
"Create Order","Kreiranje narudžbine"
"Created At","Kreirano"
"Custom Price","Prilagođena cena"
"Custom Value","Prilagođene vrednosti"
"Customer","Kupac"
"Customer Group","Grupa kupaca"
"Customer Last Name","Prezime kupca"
"Date","Datum"
"Delete","Obrisati"
"Discount","Popust"
"Discount Amount","Iznos popusta"
"Edit","Izmeni"
"Email","E-pošta"
"Email Address","Adresa elektronske pošte"
"Enable","Omogući"
"Enabled","Omogućeno"
"Excl. Tax","Bez poreza"
"First Name","Ime"
"From","Od"
"From:","Od:"
"General","Opšte"
"General Information","Opšte informacije"
"Gift Message","Poklon poruka"
"Gift Message for This Order","Poklon poruka za ovu porudžbinu"
"Gift Message for the Entire Order","Poklon Opcije za Celu Porudžbinu"
"Girth","Obim"
"Go to Home Page","Idi na početnu stranicu"
"Grand Total","Ukupna vrednost"
"Guest","Gost"
"Height","Visina"
"Home","Početna"
"Incl. Tax","Iznos sa PDV"
"Invoiced","Faktura"
"Item","Artikal"
"Items","Stavke"
"Items in the Package","Predmeti u paketu"
"Items to Refund","Stavke za Povrat"
"Last Name","Prezime"
"Message","Poruka"
"Message:","Poruka:"
"Move to Shopping Cart","Dodaj u korpu"
"N/A","N/A - nije dostupno"
"Name","Ime"
"New Order Status","Novi status porudžbine"
"No","Ne"
"No Payment Methods","Način plaćanja"
"No ordered items","Nema porućenih artikala"
"Order","Porudžbina"
"Order #","Porudžbina #"
"Order Currency:","Osnovna Valuta:"
"Order Date","Datum porudžbine"
"Order History","Istorija porudžbine"
"Order ID","ID porudžbine"
"Order Status","Status porudžbine"
"Order Total","Ukupan iznos"
"Ordered","Porućeno"
"Orders","Porudžbine"
"Payment Information","Informacije o Plaćanju"
"Payment Method","Način plaćanja"
"Payment Method:","Način plaćanja:"
"Pending","Na čekanju"
"Price","Cena"
"Print","Ispišite"
"Print Order","Štampanje narudžbine"
"Product","Proizvod"
"Product Name","Naziv proizvoda"
"Products","Proizvodi"
"Qty","Kol"
"Qty Invoiced","Fakturisana kol."
"Qty Ordered","Naručena količina"
"Qty Shipped","Isporučena kol."
"Qty to Refund","Kol za Povrat"
"Qty to Ship","Količina za slanje"
"Recent Orders","Nedavne porudžbine"
"Refresh","Osveži"
"Refunded","Povraćen novac"
"Remove","Ukloni"
"Remove Coupon Code","Uklonite kod kupona"
"Reorder","Ponovo Naruči"
"Revenue","Prihod"
"Row Subtotal","Red međuzbira"
"Row Total","Red ukupno"
"SKU","Šifra"
"Sales","Prodaja"
"Same As Billing Address","Adresa je ista kao i za Fakturu"
"Save in address book","Sačuvaj u adresaru"
"Schedule","Raspored"
"Select All","Izaberi sve"
"Select from existing customer addresses:","Izaberite između postojećih adresa kupaca:"
"Send Tracking Information","Pošaljite informacije o praćenju"
"Ship To","Dostava Na"
"Shipment #","Isporuke #"
"Shipments","Isporuke"
"Shipped","Isporučeno"
"Shipping","Dostava"
"Shipping Address","Adresa za dostavu"
"Shipping Information","Informacije o dostavi"
"Shipping Method","Način Dostave"
"Shipping Method:","Način dostave:"
"Shopping Cart","Korpa"
"Size","Veličina"
"Sku","Šifra"
"State/Province","Region"
"Status Label","Oznaka statusa"
"Street Address","Adresa"
"Submit Shipment","Pošaljite pošiljku"
"Subscribe to Newsletter","Prijavi se na Newsletter"
"Subtotal","Međuzbir"
"Subtotal:","Međuzbir:"
"Tax","Porez"
"Tax Amount","Iznos poreza"
"Tier Pricing","Cenovnik za sloj"
"Title","Naslov"
"To","Do"
"To:","Za:"
"Total","Ukupno"
"Total Weight","Ukupna težina"
"Track your order","Pratite svoj paket"
"Tracking Number","Broj za praćenje"
"Tracking Number(s):","Broj za praćenje:"
"Transaction ID","ID тransakcije"
"Transaction Type","Vrsta transakcije"
"Type","Tip"
"View","Pregled"
"View All","Prikaži svе"
"View Another Order","Pogledajte još jednu porudžbinu"
"View Order","Pregledaj porudžbinu"
"Website","Web sajt"
"Weight","Težina"
"Width","Širina"
"Wishlist","Lista želja"
"Yes","Da"
"ZIP Code","Poštanski broj"
"Zip/Postal Code","Poštanski broj"
