"* Required Fields","* Obavezna polja"
"ALL GROUPS","SVE GRUPE"
"Account Information","Informacije o nalogu"
"Action","Akcija"
"Add New Address","Dodajte novu adresu"
"Additional Address Entries","Dodatni Unosi Adresa"
"Address Book","Adresar"
"Address Information","Informacija o Adresi"
"All","Sve"
"All Store Views","Svi pregledi prodavnica"
"Amount","Iznos"
"Are you sure you want to delete this address?","Jeste li sigurni da želite da obrišete ovu adresu?"
"Are you sure?","Da li ste sigurni?"
"Back","Nazad"
"Bad request.","Loš zahtev."
"Cancel","Odustani"
"City","Grad"
"Company","Firma"
"Configure","Podesi"
"Confirm New Password","Potvrdite novu lozinku"
"Confirm Password","Potvrda lozinke"
"Confirmation Link Email","Link za Potvrdu Emaila"
"Confirmed","Potvrđeno"
"Continue Shopping","Nastavite kupovinu"
"Country","Država"
"Create","Kreiraj"
"Create Order","Kreiranje narudžbine"
"Create an Account","Napravite Profil"
"Current Password","Trenutna lozinka"
"Customer","Kupac"
"Customer Group","Grupa kupaca"
"Customer Groups","Grupe kupaca"
"Customer View","Lista korisnika"
"Customers","Kupci"
"Date","Datum"
"Date Added","Datum Dodavanja"
"Date of Birth","Datum rođenja"
"Day","Dan"
"Delete","Obrisati"
"Delete Customer","Obriši Kupca"
"Deleted Stores","Obrisane Prodavnice"
"Details","Detalji"
"Disabled","Onemogućeno"
"Edit","Izmeni"
"Edit Address","Izmeni adresu"
"Email","E-pošta"
"Email Address","Adresa elektronske pošte"
"Email Sender","Pošiljalac Mejla"
"Email:","E-mail:"
"First Name","Ime"
"Forgot Email Template","Zaboravljeni predložak Emaila"
"Forgot Password","Zaboravili ste lozinku"
"Forgot Your Password?","Zaboravili ste lozinku?"
"General Subscription","Opšte Postavke"
"Global","Globalno"
"Guest","Gost"
"Last Date Subscribed","Poslednje Prijave na Datum"
"Last Date Unsubscribed","Poslednje Odjave na Datum"
"Last Name","Prezime"
"Lifetime Sales","Totalna rasprodaja"
"Login","Prijava"
"Manage Addresses","Upravljajte adresama"
"Manage Customers","Upravljanje Kupcima"
"Month","Mesec"
"My Account","Moj nalog"
"Name","Ime"
"Never","Nikada"
"New Address","Nova adresa"
"New Customer","Novi kupac"
"New Customers","Novi kupac"
"New Password","Nova lozinka"
"Newsletter","Bilten"
"Newsletter Information","Informacije o Biltenu"
"No Newsletter Found","Nije Pronađen Bilten"
"No item specified.","Nema označenih stavki."
"Not Sent","Nije Poslato"
"Offline","Van mreže"
"Online","Na vezi"
"Order #","Porudžbina #"
"Order Total","Ukupan iznos"
"Orders","Porudžbine"
"Password","Lozinka"
"Password Options","Izbori lozinke"
"Password:","Lozinka:"
"Paused","Pauzirano"
"Pending","Na čekanju"
"Per Website","Po Web sajtu"
"Please enter a number 1 or greater in this field.","U ovo polje unesite broj 1 ili veći."
"Please enter the last name.","Molimo upišite prezime."
"Please enter your email.","Molimo unesite Vaš email."
"Please make sure your passwords match.","Proverite da li se vaše lozinke podudaraju."
"Price","Cena"
"Product","Proizvod"
"Product Name","Naziv proizvoda"
"Qty","Kol"
"Recent Orders","Nedavne porudžbine"
"Recovery Link Expiration Period (hours)","Vreme isteka linka za oporavak (sati)"
"Refunded","Povraćen novac"
"Registered Customers","Registrovani Kupci"
"Remind Email Template","Zaboravljeni predložak Emaila"
"Remove","Ukloni"
"Require Emails Confirmation","Zahtevaj Potvrdu Mejla"
"SKU","Šifra"
"Save","Sačuvaj"
"Save Address","Sačuvaj adresu"
"Save Customer","Sačuvaj Kupca"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"Send confirmation link","Pošalji potvrdni link"
"Sending","Slanje"
"Sent","Poslato"
"Shopping Cart","Korpa"
"Sign Up for Newsletter","Prijavi se za Newsletter"
"State/Province","Region"
"Store","Prodavnica"
"Store View","Prikaz prodavnice"
"Street Address","Adresa"
"Subject","Predmet"
"Submit","Pošalji"
"Subscribe to Newsletter","Prijavi se na Newsletter"
"Text","Tekst"
"The VAT ID entered (%s) is not a valid VAT ID.","Uneti PDV ID (%s) nije važeći."
"The customer does not have default billing address.","Kupac nema podrazumevanu adresu za naplatu."
"This email does not require confirmation.","Ovaj mejl ne zahteva potvrdu."
"Total","Ukupno"
"Type","Tip"
"Unknown","Nepoznato"
"Update","Ažuriraj"
"Use as my default billing address","Koristi kao moju podrazumevanu adresu za naplatu"
"Use as my default shipping address","Koristi moju podrazumevanu adresu dostave"
"VAT Number","PDV broj"
"Validate VAT Number","Potvrdi PDV"
"View","Pregled"
"View Order","Pregledaj porudžbinu"
"Website","Web sajt"
"Welcome Email","Email Dobrodošlice"
"Wishlist","Lista želja"
"Wrong email.","Pogrešan e-mail."
"Year","Godina"
"You have not set a default billing address.","Niste podesili adresu za naplatu."
"You have not set a default shipping address.","Niste podesili Vašu adresu za dostavu."
"You will be charged tax.","Biće vam naplaćen porez."
"You will not be charged tax.","Neće vam biti naplaćen porez."
"Your Tax ID cannot be validated.","Vaš poreski ID ne može biti validiran."
"Your VAT ID was successfully validated.","Vaš PIB je uspešno validiran."
"Zip/Postal Code","Poštanski broj"
