"-- Please Select --","-- Molim odaberite --"
"Add Secret Key to URLs","Dodati tajni ključ za URL adresu"
"Add Store Code to Urls","Dodati kod prodavnice za ove URL-ove"
"Admin Base URL","Osnovni URL admina"
"Admin User Emails","E-mail admin korisnika"
"Advanced","Napredni"
"Allow Countries","Dopuštene države"
"Allow Symlinks","Dozvoli Symlinks"
"Anchor Text for Next","Povežite tekst sa narednim"
"Anchor Text for Previous","Povežite tekst sa prethodnim"
"Are you sure?","Da li ste sigurni?"
"Auto-redirect to Base URL","Auto - preusmeravanje na osnovu URL adrese"
"Back","Nazad"
"Backup Options","Opcije rezervnih kopija"
"Base Link URL","Veza ka osnovnoj URL adresi"
"Base URL","Osnovni URL"
"CSS Settings","CSS podešavanja"
"Cache Storage Management","Upravljanje skladištem keša"
"Cancel","Odustani"
"Code","Kod"
"Country","Država"
"Create Store","Napravi prodavnicu"
"Create Store View","Kreiranje prikaza prodavnice"
"Create Website","Kreiranje Web lokacija"
"Custom Admin Path","Prilagođena putanja admina"
"Custom Admin URL","Prilagođen URL admina"
"Custom Design","Prilagođeni dizajn"
"Custom Email 1","Email 1 za korisnika"
"Custom Email 2","Email 2 za korisnika"
"Customer Support","Podrška za korisnike"
"Dashboard","Kontrolna tabla"
"Date From","Datum od"
"Date To","Datum do"
"Debug","Otklanjanje grešaka"
"Default","Podrazumevani"
"Default Country","Podrazumevana država"
"Default No-route URL","Nema rute do podrazumevane rute URL"
"Default Pages","Podrazumevane stranice"
"Default Store","Podrazumevana prodavnica"
"Default Store View","Prikaz podrazumevane prodavnice"
"Default Title","Podrazumevani naslov"
"Default Web URL","Podrazumevana Web URL adresa"
"Delete","Obrisati"
"Delete Store","Brisanje prodavnice"
"Delete Store View","Brisanje prikaza prodavnice"
"Design","Dizajn"
"Design Change","Promena dizajna"
"Developer","Programеr"
"Disable Email Communications","Onemogući Email komunikaciju"
"Disable Modules Output","Onemogući izlazne module"
"Edit Design Change","Uredi promene dizajna"
"Edit Store","Uređivanje prodavnice"
"Edit Store View","Uredi prikaz prodavnice"
"Enable Charts","Omogući grafikone"
"Enabled","Omogućeno"
"Enabled for Admin","Omogućeno za Admin-a"
"European Union Countries","Zemlje Evropske unije"
"First Day of Week","Prvi dan u nedelji"
"Flush Cache Storage","Isprazni skladište keša"
"Flush Magento Cache","Isprazni Magento keš"
"Footer","Podnožje stranice"
"Forgot Password Email Template","Zaboravio lozinku e-pošte za šalon"
"General","Opšte"
"General Contact","Opšti kontakt"
"General Settings","Opšte postavke"
"Global","Globalno"
"Header","Zaglavlje"
"How many links to display at once.","Koliko je veza potrebno za istovremeni prikaz."
"JavaScript Settings","Podešavanje JavaScript"
"Locale","Lokalno"
"Locale Options","Lokalna podešavanja"
"Login is Case Sensitive","Prijava je osetljiva na mala i velika slova"
"Mail Sending Settings","Podešavanje slanja pošte"
