"* Required Fields","* Obavezna polja"
"--Please Select--","--- Molimo odaberite ---"
"Card Verification Number","Verifikacioni broj kartice"
"Credit Card Number","Broj kreditne kartice"
"Credit Card Type","Vrsta kreditne kartice"
"Credit Card Types","Vrsta kreditne kartice"
"Currency","Valuta"
"Day","Dan"
"Enabled","Omogućeno"
"Expiration Date","Datum isteka"
"Maximum Order Total","Maksimalna vrednost porudžbine"
"Merchant ID","ID trgovca"
"Minimum Order Total","Minimalna vrednost porudžbine"
"Month","Mesec"
"N/A","N/A - nije dostupno"
"New Order Status","Novi status porudžbine"
"Password","Lozinka"
"Payment Method","Način plaćanja"
"Payment from Applicable Countries","Plaćanja iz privaćenih zemalja"
"Payment from Specific Countries","Plaćanja iz određenih zemalja"
"Please enter a valid credit card verification number.","Molimo unesite važeći broj za verifikaciju kreditne kartice."
"Sort Order","Redosled porudžbina"
"Start Date","Početni datum"
"Tax Amount","Iznos poreza"
"Test Mode","Režim testa"
"Title","Naslov"
"What is this?","Šta je ovo?"
"Year","Godina"
