"* Required Fields","* Obavezna polja"
"Address Information","Informacija o Adresi"
"Back","Nazad"
"City","Grad"
"Close","Zatvori"
"Company","Firma"
"Confirm Password","Potvrda lozinke"
"Continue","Nastavi"
"Country","Država"
"Create an Account","Napravite Profil"
"Email Address","Adresa elektronske pošte"
"Forgot Your Password?","Zaboravili ste lozinku?"
"Login","Prijava"
"New Customers","Novi kupac"
"Password","Lozinka"
"Registered Customers","Registrovani Kupci"
"Save in address book","Sačuvaj u adresaru"
"Sign Up for Newsletter","Prijavi se za Newsletter"
"State/Province","Region"
"Street Address","Adresa"
"Submit","Pošalji"
"VAT Number","PDV broj"
"What's this?","Što je ovo?"
"Zip/Postal Code","Poštanski broj"
