"Action","Akcija"
"Add New Template","Dodajte novi šablon"
"Back","Nazad"
"Cancel","Odustani"
"Convert to Plain Text","Prebaci u običan tekst"
"Create Newsletter Template","Napravi novi šablon pisma novosti"
"Customer","Kupac"
"Customer First Name","Ime kupca"
"Customer Last Name","Prezime kupca"
"Date Added","Datum Dodavanja"
"Delete","Obrisati"
"Delete Selected Problems","Obriši odabrane probleme"
"Delete Template","Obriši šablon"
"Do you really want to cancel the queue?","Da li želite da otkažete red za čekanje?"
"Edit Newsletter","Izmeni pismo novosti"
"Edit Newsletter Template","Izmeni šablon pisma novosti"
"Edit Queue","Izmeni red za čekanje"
"Edit Template","Izmeni šablon"
"Email","E-pošta"
"Guest","Gost"
"Message","Poruka"
"New Newsletter Template","Novi šablon pisma novosti"
"New Template","Novi šablon"
"Newsletter","Bilten"
"Newsletter Problem Reports","Izveštaj problema pisma novosti"
"Newsletter Queue","Red za čekanje pisma novosti"
"Newsletter Styles","Stil pisma novosti"
"Newsletter Subscribers","Novinski pretplatnici"
"Newsletter Templates","Šablon pisma novosti"
"No Templates Found","Šabloni nisu pronađeni"
"Not Sent","Nije Poslato"
"Pause","Pauziraj"
"Paused","Pauzirano"
"Preview","Pregled"
"Preview Template","Pregled šablona"
"Queue Date Start","Datum pokretanja reda za čekanje"
"Queue Information","Informacije o redu za čekanje"
"Reset","Resetovati"
"Resume","Nastavi"
"Return HTML Version","Vrati verziju Html-a"
"Save As","Sačuvaj kao"
"Save Newsletter","Sačuvaj pismo novosti"
"Save Template","Snimi šablon"
"Save and Resume","Sačuvaj i nastavi"
"Sender","Pošiljalac"
"Sender Email","E-pošta pošaljioca"
"Sender Name","Ime pošaljioca"
"Sending","Slanje"
"Sent","Poslato"
"Start","Pokreni"
"Store","Prodavnica"
"Store View","Prikaz prodavnice"
"Subject","Predmet"
"Submit","Pošalji"
"Subscribers","Pretplatnici"
"Subscribers From","Pretplatnici od"
"Template Content","Sadržaj šablona"
"Template Information","Informacije o šablonu"
"Template Name","Naziv šablona"
"Template Styles","Stilovi šablona"
"Template Subject","Predmet šablona"
"Template Type","Tip šablona"
"Type","Tip"
"Unsubscribe Selected","Otkaži pretplatu za odabrane"
"View Newsletter","Pregledaj pismo novosti"
"Website","Web sajt"
