"(Excl. Tax)","(Eks. mva)"
"(Incl. Tax)","(Inkl. mva)"
"* Required Fields","* Nødvendige felt"
"Add New Address","Legg til ny adresse"
"Add New Condition","Legg til ny tilstand"
"Add to Cart","Legg i handlekurv"
"Add to Compare","Legg til sammenligning"
"Add to Wishlist","Legg i ønskelisten"
"Address","Adresse"
"After Adding a Product Redirect to Shopping Cart","Etter et produkt er lagt til omdiriger til handlekurv"
"Allow Guest Checkout","Tillat Gjeste-kasse"
"Apply","Anvend"
"Apply Coupon","Bruk rabattkode"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på at du ønsker å fjerne denne varen fra handlekurven?"
"Back","Tilbake"
"Back to Billing Information","Tilbake til faktureringsinformasjon"
"Back to Shipping Information","Tilbake til leveringsinformasjon"
"Back to Shopping Cart","Tilbake til handlekurv"
"Billing Address","Faktureringsadresse"
"Billing Information","Fakturainformasjon"
"Cancel","Avbryt"
"Cancel Coupon","Avbryt kupong"
"Cannot process the item.","Kan ikke behandle elementet."
"Change","Endre"
"Change Billing Address","Endre faktureringsadresse"
"Checkbox Text","Tekst for avmerkingsboks"
"Checkout","Kasse"
"Checkout Options","Kassevalg"
"Checkout Terms and Conditions","Utsjekking vilkår og betingelser"
"City","By"
"Clear Shopping Cart","Tøm handlekurv"
"Close","Lukk"
"Company","Bedrift"
"Condition Name","Betingelsesnavn"
"Configurable Product Image","Konfigurerbart produktbilde"
"Confirm Password","Bekreft passord"
"Content","Innhold"
"Content Height","Innhold høyde"
"Content Height (css)","Innhold høyde (css)"
"Continue","Fortsett"
"Continue Shopping","Fortsett å handle"
"Country","Land"
"Create Billing Address","Opprette faktureringsadresse"
"Create Shipping Address","Opprette leveringsadresse"
"Customer Information","Kundeinformasjon"
"Data saving problem","Data lagring problem"
"Default Billing","Standard fakturering"
"Default Shipping","Standard frakt"
"Delete Condition","Slett tilstand"
"Details","Detaljer"
"Disabled","Deaktivert"
"Display Cart Summary","Vis handlekurv sammendrag"
"Display item quantities","Vise vareantall"
"Display number of items in cart","Vis antall varer i handlevognen"
"Edit","Redigere"
"Edit Address","Rediger adresse"
"Edit Billing Address","Redigere leveringsadresse"
"Edit Condition","Endre betingelse"
"Edit Items","Rediger produkter"
"Edit Shipping Address","Redigere leveringsadresse"
"Edit Terms and Conditions","Redigere vilkår og betingelser"
"Edit Your Cart","Rediger din handlekurv"
"Edit item","Rediger produkt"
"Edit item parameters","Rediger parametere"
"Email Address","E-postadresse"
"Enable Onepage Checkout","Aktiver En-sides varekasse"
"Enable Terms and Conditions","Aktiver Vilkår og betingelser"
"Enabled","Aktivert"
"Enter a New Address","Angi en ny adresse"
"Enter your destination to get a shipping estimate.","Angi destinasjon for å beregne et fraktestimat."
"Estimate Shipping and Tax","Estimer frakt og avgifter"
"Excl. Tax","ex. moms"
"Fax","Faks"
"Forgot an Item?","Glemt et produkt?"
"Forgot your password?","Har du glemt passordet?"
"Gift Message","Gavemelding"
"Grand Total:","Totalsum:"
"ID","Id"
"Incl. Tax","Inkl. MVA"
"Items","Produkter"
"Load customer quote error","Last kunde sitat feil"
"Login","Logg inn"
"Terms and Conditions","Vilkår og betingelser"
"Move","Flytt"
"Move to Wishlist","Flytt til ønskeliste"
"My Cart","Min handlekurv"
"My Cart Link","Min handlekurv lenke"
"New Address","Ny adresse"
"New Condition","Ny betingelse"
"New Terms and Conditions","Nye vilkår og betingelser"
"No Payment Methods","Ingen betalingsmetoder"
"Order #","Ordre #"
"Order Review","Ordregjennomgang"
"Password","Passord"
"Payment Failed Email Sender","Betaling Feilet E-post Sender"
"Payment Failed Emails","Betaling Feilet E-poster"
"Payment Failed Template","Betaling Feilet Mal"
"Payment Information","Betalingsinformasjon"
"Payment Method","Betalingsmåte"
"Place Order","Bestill"
"Please agree to all Terms and Conditions before placing the order.","Vennligst godta alle vilkår og betingelser før bestilling."
"Please agree to all the terms and conditions before placing the order.","Vennligst godta alle vilkår og betingelser før bestilling."
"Please select region, state or province","Vennligst velg region, fylke eller sted"
"Price","Pris"
"Proceed to Checkout","Fortsett til kassen"
"Product","Produkt"
"Product Name","Produktnavn"
"Products","Produkter"
"Qty","Antall"
"Qty:","Antall:"
"Quantity","Antall"
"Quote Lifetime (days)","Levetid for sitat (dager)"
"Recently added item(s)","Vare(r) nylig lagt til"
"Remove Item","Fjern produkt"
"Remove This Item","Fjern denne varen"
"Remove item","Fjern produkt"
"Review Order","Gå igjennom ordren"
"SKU","Varenummer"
"Sales","Salg"
"Save Condition","Lagre tilstand"
"Save in address book","Lagre i adresseboken"
"See price before order confirmation.","Se priser før ordrebekreftelse."
"Select Address","Velg adresse"
"Select Addresses","Velg adresser"
"Select Shipping Method","Velg leveringsmåte"
"Select a shipping address from your address book or enter a new address.","Velg en leveringsadresse fra adresseboken eller angi en ny adresse."
"Send Payment Failed Email Copy Method","Send Betaling Feilet E-post Kopi Metode"
"Send Payment Failed Email Copy To","Send Betaling Feilet E-post Kopi Til"
"Send To","Send Til"
"Separate by "","".","Separer med "",""."
"Ship to Multiple Addresses","Send til flere adresser"
"Shipping Address","Leveringsadresse"
"Shipping Information","Leveringsinformasjon"
"Shipping Method","Forsendelsesmåte"
"Shipping Methods","Leveringsmåte"
"Shipping To","Frakt til"
"Shopping Cart","Handlekurv"
"Show Content as","Vis innhold som"
"State/Province","Stat/provins"
"Store View","Butikkvisning"
"Street Address","Gateadresse"
"Subtotal","Delsum"
"Terms and Conditions Information","Informasjon om vilkår og betingelser"
"Text","Tekst"
"Thank you for your purchase!","Takk for din bestilling!"
"The product does not exist.","Produktet finnes ikke."
"Total","Totalt"
"Total for this address","Totalt for denne adressen"
"Unit Price","Enhetspris"
"Update","Oppdater"
"Update Cart","Oppdater handlekurven"
"Update Shopping Cart","Oppdater handlekurv"
"VAT Number","Mva-nummer"
"View Shopping Cart","Se handlekurv"
"What's this?","Hva er dette?"
"You have no items in your shopping cart.","Du har ingen varer i handlekurven."
"Zip/Postal Code","Postnummer"
"or","eller"
