"* Required Fields","* Nødvendige felt"
"-- Please Select --","-Vennligst velg--"
"-- Please Select Billing Agreement--","-Vennligst velg faktureringsavtale--"
"About Your Order","Din bestilling"
"About Your Shipment","Om din forsendelse"
"Account Information","Kontoinformasjon"
"Action","Handling"
"Actions","Handlinger"
"Active","Aktiv"
"Add","Legg til"
"Add New Address","Legg til ny adresse"
"Add Package","Legg til pakke"
"Add Products","Legg til produkter"
"Add Selected Product(s) to Order","Legg valgte produkt(er) til ordre"
"Add Selected Product(s) to Package","Legger til valgte produkt(er) til pakken"
"Add Tracking Number","Legge til sporingsnummer"
"Add to Cart","Legg i handlekurv"
"Address","Adresse"
"Adjustment Fee","Justeringsavgift"
"Amount","Antall"
"An error occurred while creating shipping label.","Det oppstod en feil under oppretting av fraktetikett."
"Anchor Custom Title","Anker egendefinert tittel"
"Append Comments","Legg til kommentarer"
"Apply","Anvend"
"Apply Coupon Code","Bruk kupongkode"
"Are you sure you want to cancel this order?","Er du sikker på at du vil kansellere denne bestillingen?"
"Are you sure you want to delete all items from shopping cart?","Er du sikker på at du vil slette alle varer fra handlekurv?"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Are you sure?","Er du sikker?"
"Authorization","Autorisasjon"
"Back","Tilbake"
"Back to Billing Agreements","Tilbake til faktureringsavtaler"
"Back to My Orders","Tilbake til mine ordre"
"Bestsellers","Bestselgere"
"Billing","Fakturering"
"Billing Address","Faktureringsadresse"
"Billing Agreement","Faktureringsavtale"
"Billing Agreements","Faktureringsavtaler"
"Billing Last Name","Faktura etternavn"
"Cancel","Avbryt"
"Canceled","Avbrutt"
"Capture","Fange"
"Capture Offline","Fang Offline"
"Carrier","Transportør"
"Changing address information will not recalculate shipping, tax or other order amount.","Å endre adressen vil ikke beregne frakt eller andre beløp."
"City","By"
"Clear Shopping Cart","Tøm handlekurv"
"Click to change shipping method","Klikk for å endre shipping metode"
"Close","Lukk"
"Closed","Lukket"
"Comma-separated.","Kommadelt."
"Comment","Kommentar"
"Comment Text","Kommentar tekst"
"Comments","Kommentarer"
"Comments History","Kommentarer Historikk"
"Company","Bedrift"
"Complete","Ferdig"
"Configure","Konfigurer"
"Contents","Innholdet"
"Continue","Fortsett"
"Country","Land"
"Create","Opprett"
"Create New Customer","Opprett ny kunde"
"Create New Order","Opprette ny ordre"
"Create New Status","Lag ny status"
"Create Order","Opprette ordre"
"Create Packages","Lage pakker"
"Create Shipping Label","Opprette fraktetikett"
"Create Shipping Label...","Opprett fraktetikett..."
"Created At","Opprettet"
"Created:","Opprettet:"
"Credit Memo","Kreditnota"
"Credit Memos","Kreditnotaer"
"Custom Price","Egendefinert pris"
"Custom Value","Egendefinert verdi"
"Customer","Kunde"
"Customer Group","Kundegruppe"
"Customer Last Name","Kunde etternavn"
"Customer Name","Kundenavn"
"Customs Value","Egendefinerte verdi"
"Date","Dato"
"Delete","Slett"
"Delete Package","Slette pakke"
"Discount","Rabatt"
"Discount Amount","Rabattbeløp"
"Edit","Redigere"
"Edit Order Status","Endre ordrestatus"
"Email","E-post"
"Email Address","E-postadresse"
"Email Copy of Shipment","E-post kopi av forsendelsen"
"Enable","Aktivere"
"Enabled","Aktivert"
"Error to Show in Shopping Cart","Feil å vise i handlekurv"
"Excl. Tax","ex. moms"
"Expired","Utløpt"
"Explanation","Forklaring"
"First Name","Fornavn"
"From","Fra"
"From Name","Fra Navn"
"From:","Fra:"
"General","Generelt"
"General Information","Generell Informasjon"
"Get shipping methods and rates","Få leveringsmetoder og satser"
"Gift Message","Gavemelding"
"Gift Message for This Order","Gavemelding for denne bestillingen"
"Gift Message for the Entire Order","Gavemelding for hele bestillingen"
"Gift Message for this Order","Gavemelding for denne bestillingen"
"Gift Options","Gavealternativ"
"Girth","Omkrets"
"Go to Home Page","Gå til hjemmesiden"
"Grand Total","Totalsum"
"Guest","Gjest"
"Height","Høyde"
"Home","Hjem"
"Incl. Tax","Inkl. MVA"
"Information","Informasjon"
"Invalid item option format.","Ugyldig varevalg format."
"Invalid value(s) for Qty to Ship","Ugyldig(e) verdi(er) for antall forsendelser"
"Invoice","Faktura"
"Invoiced","Fakturert"
"Invoices","Fakturaer"
"Item","Produkt"
"Items","Produkter"
"Items Ordered","Bestilte produkter"
