"Catalog","Katalog"
"Click for price","Klikk for pris"
"Discount","Rabatt"
"Enable RSS","Aktiver RSS"
"From:","Fra:"
"Get Feed","Få Feed"
"Gift Message","Gavemelding"
"Grand Total","Totalsum"
"Low Stock Products","Lav lager produkter"
"Message:","Melding:"
"Miscellaneous Feeds","Diverse Feeder"
"New Orders","Nye bestillinger"
"New Products","Nye produkter"
"Order","Rekkefølge"
"RSS Feeds","RSS-feeds"
"Rss Config","RSS-konfigurasjon"
"Shipping &amp; Handling","Frakt &amp; håndtering"
"Special Products","Spesielle produkter"
"Subtotal","Delsum"
"Tax","Avgift"
"To:","Til:"
"Top Level Category","Topnivå kategori"
"Wishlist","Ønskeliste"
