"-- Please Select --","-Vennligst velg--"
"Add Secret Key to URLs","Legg hemmelig nøkkel til URLene"
"Add Store Code to Urls","Legge til Butikkoden til nettadresser"
"Admin Base URL","Admin Standard Nettadresse"
"Admin User Emails","Admin bruker e-post"
"Advanced","Avansert"
"Allow Countries","Tillatt land"
"Allow Symlinks","Tillate Symlinks"
"Anchor Text for Next","Anker test for neste"
"Anchor Text for Previous","Anker Tekst for Forrige"
"Are you sure?","Er du sikker?"
"Auto-redirect to Base URL","Auto-omdirigere til standard-URL"
"Back","Tilbake"
"Backup Options","Alternativer for sikkerhetskopiering"
"Base Link URL","Standard Link URL"
"Base URL","Standard URLer"
"CSS Settings","CSS innstillinger"
"Cache Storage Management","Cache lagringsadministrasjon"
"Cancel","Avbryt"
"Card type does not match credit card number.","Korttypen samsvarer ikke med kredittkortnummer."
"Code","Kode"
"Cookie Domain","Informasjonskapsel-domene"
"Cookie Lifetime","Informasjonskapsel levetid"
"Cookie Path","Informasjonskapselbane"
"Cookie Restriction Mode","Begrenset informasjonskapsel modus"
"Copyright","Opphavsrett"
"Country","Land"
"Create Store","Opprett butikk"
"Create Store View","Opprett butikkvisning"
"Create Website","Opprette nettsted"
"Credit card number does not match credit card type.","Kredittkortnummeret samsvarer ikke med type kredittkort."
"Custom Admin Path","Egendefinerte admin Sti"
"Custom Admin URL","Egendefinert Admin URL"
"Custom Design","Tilpasset design"
"Custom Email 1","Egendefinert epost 1"
"Custom Email 2","Egendefinert epost 2"
"Custom Variables","Tilpassede variabler"
"Customer Support","Kundestøtte"
"Dashboard","Kontrollpanel"
"Date From","Dato fra"
"Date To","Dato til"
"Debug","Feilsøk"
"Default","Standard"
"Default Country","Standardland"
"Default No-route URL","Standard No-rute URL-adresse"
"Default Pages","Standardsider"
"Default Robots","Standard roboter"
"Default Store","Standard butikk"
"Default Store View","Standard butikkvisning"
"Default Title","Standard tittel"
"Default Web URL","Standard URL-adresse"
"Delete","Slett"
"Delete Store","Slett butikk"
"Delete Store View","Slett butikkvisning"
"Design","Utforming"
"Design Change","Design-endring"
"Developer","Utvikler"
"Disable Email Communications","Deaktiver e-kommunikasjon"
"Disable Modules Output","Deaktiver modul output"
"Display Demo Store Notice","Vis Demo Butikken Varsel"
"Edit Design Change","Redigere designet"
"Edit Store","Rediger butikk"
"Edit Store View","Rediger butikkvisning"
"Enable Charts","Aktiver diagrammer"
"Enabled","Aktivert"
"Enabled for Admin","Aktivert for Admin"
"European Union Countries","EU-land"
"Favicon Icon","Favicon ikon"
"File not found","Finner ikke filen"
"File system","Filsystem"
"First Day of Week","Første dag i uken"
"Flush Cache Storage","Tømme Cache-lager"
"Footer","Bunntekst"
"Forgot Password Email Template","Glemt passord e-post mal"
"General","Generelt"
"General Contact","Generell kontakt"
"General Settings","Generelle innstillinger"
"Header","Overskrift"
"How many links to display at once.","Hvor mange linker som skal vises samtidig."
"Incorrect credit card expiration date.","Ugyldig utløpsdato for kredittkortet."
"JavaScript Settings","JavaScript-innstillinger"
"Layout","Oppsett"
"Leave empty for access from any location.","La stå tomt for tilgang fra hvor som helst."
"Locale","Lokal"
"Locale Options","Lokale alternativer"
"Login is Case Sensitive","Påloggingen må ha riktig små og store bokstaver"
"Logo Image","Logobilde"
"Logo Image Alt","Logobilde Alt"
"Mail Sending Settings","Epost sending alternativer"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Kontroller at standard-URLen slutter med ' /' (skråstrek), f.eks http://yourdomain/magento/"
"Media Storage","Lagringsmedier"
"Merge CSS Files","Flette CSS-filer"
"Merge JavaScript Files","Flette JavaScript-filer"
"Miscellaneous HTML","Diverse HTML"
"Name","Navn"
"New Store","Ny butikk"
"New Store View","Ny lagervisning"
"No","Nei"
"Offloader header","Avlaste header"
"PHP SOAP extension is required.","PHP SOAP utvidelse er nødvendig."
"Package","Pakke"
"Pagination","Paginering"
"Pagination Frame","Paginerings Ramme"
"Pagination Frame Skip","Paginerings Ramme Hopp over"
"Please enter a number 0 or greater in this field.","Angi et nummer 0 eller større i dette feltet."
"Please enter a number 1 or greater in this field.","Skriv inn et tall større 0 i dette feltet."
"Please enter a number greater than 0 in this field.","Skriv inn et tall større enn 0 i dette feltet."
"Please enter a valid credit card number.","Angi et gyldig kredittkortnummer."
"Please enter a valid date.","Vennligst angi en gyldig dato."
"Please enter a valid month (1-12).","Angi en gyldig måned (1-12)."
"Please enter a valid number in this field.","Vennligst skriv inn et gyldig tall i dette feltet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Skriv inn et gyldig telefonnummer. For eksempel (123) 456-7890 eller 123-456-7890."
"Please enter a valid zip code.","Vennligst skriv inn en gyldig zip-kode."
"Please make sure your passwords match.","Kontroller at passordene er like."
"Please select State/Province.","Vennligst angi Stat/Province."
"Please select an option.","Velg et alternativ."
"Please select one of the options.","Vennligst velg ett av alternativene."
"Please use letters only (a-z or A-Z) in this field.","Vennligst bruk bare bokstaver ( a-å eller A-Å) i dette feltet."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bruk dette formatet for dato: dd/mm/åååå. For eksempel 17/03/2006 for 17. Mars, 2006."
"Recovery Link Expiration Period (hours)","Gjenopprettingslink utløpsperiode (timer)"
"Request Path for Specified Store","Be om stien for angitt lager"
"Return-Path Email","Retur-adresse Email"
"Root Category","Rotkategori"
"Sales Representative","Salgsrepresentant"
"Save","Lagre"
"Save Store","Lagre butikk"
"Save Store View","Lagre butikkvisning"
"Security","Sikkerhet"
"Select Date","Velg dato"
"Sender Email","Avsender e-post"
"Sender Name","Avsenderens navn"
"Services","Tjenester"
"Session Validation Settings","Økt valideringsinnstillinger"
"Set Return-Path","Angi returadresse"
"Set as Default","Angi som standard"
"Sort Order","Sorteringsrekkefølge"
"Startup Page","Startsiden"
"Store","Butikk"
"Store Email Addresses","Butikk e-postadresser"
"Store Hours of Operation","Butikk Åpningstider"
"Store Information","Butikkinformasjon"
"Store Name","Butikknavn"
"Store View","Butikkvisning"
"Store View Information","Butikkvisningsinformasjon"
"Store view doesn't exist","Butikkvisningen eksisterer ikke"
"Store with the same code","Butikk med den samme koden"
"Template Settings","Mal alternativer"
"The store does not exist","Butikken finnes ikke"
"The value is not within the specified range.","Verdien er ikke innenfor det angitte området."
"The website does not exist.","Webområdet finnes ikke."
"Themes","Temaer"
"This is a required field.","Dette er et obligatorisk felt."
"This store cannot be deleted.","Denne butikken kan ikke slettes."
"This store view cannot be deleted.","Denne butikkvisningen kan ikke slettes."
"This website cannot be deleted.","Dette nettstedet kan ikke slettes."
"This will be included before head closing tag in page HTML.","Dette vil bli inkludert før den avsluttende head-taggen i HTML-siden."
"Timezone","Tidssone"
"Transactional Emails","Transaksjonsbaserte E-poster"
"Translate Inline","Oversette Inline"
"Translations","Oversettelser"
"Url Options","Url-alternativer"
"Use Custom Admin Path","Bruk egendefinert Admin Sti"
"Use Custom Admin URL","Bruk egendefinert Admin URL"
"Use HTTP Only","Bruk kun HTTP"
"None","Ingen"
"Use Secure URLs in Admin","Bruk sikre URLer i Admin"
"Use Web Server Rewrites","Bruke Web Server omskrivinger"
"VAT Number","Mva-nummer"
"Validate HTTP_USER_AGENT","Validere HTTP_USER_AGENT"
"Validate HTTP_VIA","Validere HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validere HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validere REMOTE_ADDR"
"Validation has failed.","Valideringen mislyktes."
"Variable Code must be unique.","Variabel kode må være unik."
"Website","Nettsted"
"Website with the same code","Nettsider med den samme koden"
"Weekend Days","Helgedager"
"Welcome Text","Velkommen tekst"
"Yes","Ja"
