"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Legg til ny regel"
"Apply","Anvend"
"Apply To","Søk på"
"Apply to Shipping Amount","Legg til fraktpris"
"Cart Attribute","Handlevognattributt"
"Catalog","Katalog"
"Code Prefix","Kodeprefiks"
"Conditions","Betingelser"
"Coupon","Kupong"
"Coupon Code","Kupongkode"
"Coupon Qty","Kupong Ant"
"Customer Groups","Kundegrupper"
"Default Label","Standardetikett"
"Description","Beskrivelse"
"Discount Amount","Rabattbeløp"
"Edit Rule","Rediger regel"
"FOUND","FUNNET"
"Fixed amount discount","Fast rabatt"
"Fixed amount discount for whole cart","Fast rabatt for hele handlekurven"
"For matching items only","Kun for matchede produkter"
"Free Shipping","Gratis frakt"
"General Information","Generell Informasjon"
"Generate","Generere"
"ID","Id"
"Inactive","Inaktiv"
"NOT LOGGED IN","IKKE PÅLOGGET"
"New Rule","Ny regel"
"No","Nei"
"Payment Method","Betalingsmåte"
"Period","Periode"
"Price in cart","Pris i handlevognen"
"Priority","Prioritet"
"Promotions","Kampanjer"
"Public In RSS Feed","Offentlig i RSS-Feed"
"Quantity in cart","Antall i handlevognen"
"Row total in cart","Rader totalt i handlevognen"
"Rule Information","Regel-informasjon"
"Rule Name","Regelnavn"
"Rule is not defined","Regel er ikke definert"
"Save and Continue Edit","Lagre og fortsett redigering"
"Shipping Country","Leveringsland"
"Shipping Method","Forsendelsesmåte"
"Special Price","Spesialpris"
"Subtotal","Delsum"
"This rule no longer exists.","Denne regelen finnes ikke lenger."
"To Fixed Value","Til fast verdi"
"To Percentage","Til prosent"
"Total","Totalt"
"Total Weight","Totalvekt"
"Update the Product","Oppdater dette produktet"
"Use Auto Generation","Bruk autogenerering"
"Uses per Coupon","Bruk per kupong"
"Uses per Customer","Antall bruk per kunde"
"Website","Nettsted"
"Websites","Nettsider"
"Yes","Ja"
"total quantity","totalt antall"
