"* Required Fields","* Nødvendige felt"
"ALL GROUPS","ALLE GRUPPER"
"Account Information","Kontoinformasjon"
"Account Sharing Options","Delingsalternativer for Konto"
"Action","Handling"
"Add New Address","Legg til ny adresse"
"Add New Customer","Legg til ny kunde"
"Add New Customer Group","Legge til ny kundegruppe"
"Additional Address Entries","Alternative adresser"
"Address","Adresse"
"Address Book","Adressebok"
"Address Information","Adresseinformasjon"
"Address Templates","Adressemal"
"Addresses","Adresser"
"All","Alle"
"All Store Views","Alle butikkvisninger"
"All countries","Alle land"
"Always optional.","Alltid valgfritt."
"Amount","Antall"
"Approved","Godkjent"
"Are you sure you want to delete this address?","Er du sikker på at du vil slette denne adressen?"
"Are you sure?","Er du sikker?"
"Assign a Customer Group","Tildel en kundegruppe"
"Average Sale","Gjennomsnittlig salg"
"Back","Tilbake"
"Bad request.","Ugyldig forespørsel."
"By Email","Via e-post"
"By IP","Ved IP"
"By IP and Email","Ved IP og epost"
"Cancel","Avbryt"
"Change Billing Address","Endre faktureringsadresse"
"Change Password","Endre passord"
"Change Shipping Address","Endre leveringsaddresse"
"City","By"
"Company","Bedrift"
"Configure","Konfigurer"
"Confirm New Password","Bekreft nytt passord"
"Confirm Password","Bekreft passord"
"Confirmation Link Email","E-post for bekreftelseslenke"
"Confirmed","Bekreftet"
"Contact Information","Kontaktinformasjon"
"Continue Shopping","Fortsett å handle"
"Country","Land"
"Create","Opprett"
"Create New Account Options","Opprette nye Konto alternativer"
"Create Order","Opprette ordre"
"Create an Account","Opprette en Konto"
"Current Password","Nåværende passord"
"Customer","Kunde"
"Customer Configuration","Kundekonfigurasjon"
"Customer Group","Kundegruppe"
"Customer Groups","Kundegrupper"
"Customer Information","Kundeinformasjon"
"Customer Since","Kunde siden"
"Customer View","Kundevisning"
"Customer will stay on the current page if ""No"" is selected.","Kunde vil bli på nåværende side hvis ""nei"" er valgt."
"Customers","Kunder"
"Customers Section","Kunde-delen"
"Date","Dato"
"Date Added","Dato lagt til"
"Date of Birth","Fødselsdato"
"Day","Dag"
"Default Addresses","Standard adresser"
"Default Billing Address","Standard faktureringsadresse"
"Default Group","Standard gruppe"
"Default Shipping Address","Standard leveringsadresse"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardverdien for Deaktiver automatisk endringer basert på mva-ID"
"Default Welcome Email","Standard velkomst e-post"
"Delete","Slett"
"Delete Customer","Slett kunde"
"Delete Customer Group","Slett kundegruppe"
"Deleted Stores","Slettede butikker"
"Details","Detaljer"
"Disabled","Deaktivert"
"Edit","Redigere"
"Edit Account Information","Rediger kontoinformasjon"
"Edit Address","Rediger adresse"
"Edit Customer Groups","Redigere kundegrupper"
"Edit Group","Endre gruppe"
"Email","E-post"
"Email Address","E-postadresse"
"Email Sender","E-post avsender"
"Email:","E-Post:"
"Enable Automatic Assignment to Customer Group","Aktiver automatisk tildeling til kundegruppe"
"Fax","Faks"
"First Name","Fornavn"
"Forgot Email Template","Glemt e-postmal"
"Forgot Password","Glemt passord"
"Forgot Your Password?","Glemt passordet ditt?"
"Gender","Kjønn"
"General Subscription","Generelt abonnement"
"Generate Human-Friendly Customer ID","Generer menneskelig-vennlig kunde-ID"
"Group","Gruppe"
"Group Information","Gruppeinformasjon"
"Group Name","Gruppenavn"
"Group for Invalid VAT ID","Gruppe for ugyldig mva-ID"
"Group for Valid VAT ID - Domestic","Gruppe for gyldig MVA-ID - innenlands"
"Group for Valid VAT ID - Intra-Union","Gruppe for gyldig MVA-ID - intra Union"
"Guest","Gjest"
"IP Address","IP-adresse"
"Invalid login or password.","Ugyldig pålogging eller passord."
"Last Activity","Siste aktivitet"
"Last Date Subscribed","Siste dato abonnert"
"Last Date Unsubscribed","Siste dato stoppet"
"Last Name","Etternavn"
"Leave empty for default (15 minutes).","La være tom for standard verdi (15 minutter)."
"Lifetime Sales","Total salg"
"Login","Logg inn"
"Login Options","Påloggingsvalg"
"Manage Addresses","Administrere adresser"
"Manage Customers","Administrer kunder"
"Month","Måned"
"My Account","Min konto"
"My Orders","Mine ordrer"
"Name","Navn"
"Name and Address Options","Navn og adresse alternativer"
"Never","Aldri"
"New Address","Ny adresse"
"New Customer","Ny kunde"
"New Customer Group","Ny kundegruppe"
"New Customer Groups","Ny kundegruppe"
"New Customers","Nye kunder"
"New Group","Ny gruppe"
"New Password","Nytt passord"
"Newsletter","Nyhetsbrev"
"Newsletter Information","Nyhetsbrev informasjon"
"Newsletter Subscription","Nyhetsbrev-abonnement"
"Newsletters","Nyhetsbrev"
"No Items Found","Ingen varer funnet"
"No Newsletter Found","Ingen nyhetsbrev funnet"
"No item specified.","Ingen elementer er angitt."
"Not Sent","Ikke sendt"
"Offline","Frakoblet"
"Online","Pålogget"
"Online Customers","Kunder pålogget nå"
"Online Customers Options","Online kunde alternativer"
"Online Minutes Interval","Online minutter interval"
"Order #","Ordre #"
"Order Total","Ordretotal"
"Orders","Ordrer"
"Password","Passord"
"Password Options","Passordalternativ"
"Password forgotten","Passord glemt"
"Password:","Passord:"
"Paused","Pauset"
"Pending","Ventende"
"Per Website","Per nettside"
"Personal Information","Personopplysninger"
"Please enter a number 1 or greater in this field.","Skriv inn et tall større 0 i dette feltet."
"Please enter the city.","Angi byen."
"Please enter the country.","Angi land."
