"""Remember Me"" Default Value","""Husk meg"" standardverdi"
"* Required Fields","* Nødvendige felt"
"Address","Adresse"
"Address Information","Adresseinformasjon"
"Back","Tilbake"
"City","By"
"Close","Lukk"
"Company","Bedrift"
"Confirm Password","Bekreft passord"
"Continue","Fortsett"
"Country","Land"
"Create an Account","Opprette en Konto"
"Email Address","E-postadresse"
"Fax","Faks"
"Forgot Your Password?","Glemt passordet ditt?"
"Forgot your password?","Har du glemt passordet?"
"General Options","Generelle alternativer"
"Login","Logg inn"
"New Customers","Nye kunder"
"Password","Passord"
"Personal Information","Personopplysninger"
"Please select region, state or province","Vennligst velg region, fylke eller sted"
"Registered Customers","Registrerte kunder"
"Remember Me","Husk meg"
"Save in address book","Lagre i adresseboken"
"Sign Up for Newsletter","Motta nyhetsbrev"
"State/Province","Stat/provins"
"Street Address","Gateadresse"
"Submit","Lagre"
"VAT Number","Mva-nummer"
"What's this?","Hva er dette?"
"Zip/Postal Code","Postnummer"
