" Copy"," Kopier"
"Action","Handling"
"Add New Template","Legg til ny mal"
"Add to Queue","Legg til i køen"
"Allow Guest Subscription","Tillat gjesteabonnering"
"Are you sure that you want to strip all tags?","Er du sikker på at du vil fjerne alle tagger?"
"Back","Tilbake"
"Cancel","Avbryt"
"Cancelled","Kansellert"
"Confirmation Email Template","Bekreftelse e-post mal"
"Convert to Plain Text","Konvertere til ren tekst"
"Create Newsletter Template","Opprett mal for nyhetsbrev"
"Customer","Kunde"
"Customer First Name","Kunden fornavn"
"Customer Last Name","Kunde etternavn"
"Date Added","Dato lagt til"
"Delete","Slett"
"Delete Selected Problems","Slett valgte problemer"
"Delete Template","Slett malen"
"Do you really want to cancel the queue?","Vil du virkelig avbryte køen?"
"Edit Newsletter","Redigere nyhetsbrev"
"Edit Newsletter Template","Rediger malen for nyhetsbrev"
"Edit Template","Endre mal"
"Email","E-post"
"Enter your email address","Skriv inn e-postadressen din"
"Error Code","Feilkode"
"Error Text","Feiltekst"
"Guest","Gjest"
"ID","Id"
"Message","Beskjed"
"Need to Confirm","Trenger å bekrefte"
"New Newsletter Template","Ny mal for nyhetsbrev"
"New Template","Ny mal"
"Newsletter","Nyhetsbrev"
"Newsletter Problem Reports","Nyhetsbrev problemrapport"
"Newsletter Section","Nyhetsbrev Seksjon"
"Newsletter Styles","Stil for nyhetsbrev"
"Newsletter Subscribers","Nyhetsbrevabonnenter"
"Newsletter Subscription","Nyhetsbrev-abonnement"
"Newsletter Subscriptions","Nyhetsbrev abonnement"
"Newsletter Templates","Mal for nyhetsbrev"
"Newsletter subscription confirmation","Nyhetsbrev abonnement bekreftelse"
"No Templates Found","Ingen mal funnet"
"Not Activated","Ikke aktivert"
"Not Sent","Ikke sendt"
"Paused","Pauset"
"Please enter a valid email address.","Vennligst skriv inn en gyldig e-postadresse."
"Preview","Forhåndsvis"
"Preview Template","Forhåndsvisning av mal"
"Processed","Behandlet"
"Recipients","Mottakere"
"Reset","Nullstill"
"Resume","Gjenoppta"
"Return HTML Version","Returner HTML versjon"
"Save As","Lagre som"
"Save Newsletter","Lagre nyhetsbrev"
"Save Template","Lagre mal"
"Save and Resume","Lagre og Fortsett"
"Security","Sikkerhet"
"Sender","Avsender"
"Sender Email","Avsender e-post"
"Sender Name","Avsenderens navn"
"Sending","Sender"
"Sent","Sendt"
"Store","Butikk"
"Store View","Butikkvisning"
"Subject","Emne"
"Submit","Lagre"
"Subscribe","Abonner"
"Subscribed","Startet abonnement"
"Subscribers","Abonnenter"
"Subscribers From","Abonnenter fra"
"Subscription Options","Abonnements-alternativer"
"Success Email Sender","Vellykket Epost Sender"
"Success Email Template","Vellykket Epost Mal"
"Template Content","Mal-innholdet"
"Template Information","Malinformasjon"
"Template Name","Malnavn"
"Template Styles","Stil for mal"
"Template Subject","Malemne"
"Template Type","Maltype"
"Thank you for your subscription.","Takk for at du meldte deg på vårt nyhetsbrev."
"This email address is already assigned to another user.","Denne e-postadressen er allerede tilordnet en annen bruker."
"Unconfirmed","Ubekreftet"
"Unsubscribe","Avslutt abonnementet"
"Unsubscribe Selected","Meld ut valgte"
"Unsubscribed","Avsluttet abonnement"
"View Newsletter","Vis nyhetsbrev"
"Website","Nettsted"
"Your subscription has been confirmed.","Abonnementet er bekreftet."
