"Actions","Акције"
"Are you sure?","Јесте ли сигурни?"
"Date Added","Датум додавања"
"Last Update","Последње ажурирање"
"Mark as Read","Означи као прочитано"
"Message","Порука"
"Messages Inbox","Примљене поруке"
"Notifications","Обавештења"
"Please select messages.","Молим да одаберете поруке."
"Read Details","Прочитајте детаље"
"Remove","Уклони"
"Severity","Тежина"
"Show List","Прикажи листу"
"Show Toolbar","Прикажи траку са алаткама"
"The message has been removed.","Порука је уклоњена."
"Update Frequency","Фреквенција ажурирања"
"Use HTTPS to Get Feed","Користите HTTPS за Get Feed"
"Wrong message type","Погрешан тип поруке"
"critical","критично"
"major","важно"
"minor","неважан(но)"
"notice","напомена"
