"Attributes","Атрибути"
"Back","Назад"
"Create Permanent Redirect for old URL","Креирање трајно преусмеравање за стари УРЛ адресу"
"Customer","Купац"
"Delete","Обриши"
"Discount","Попуст"
"Edit","Ажурирај"
"Email","Е-пошта"
"First Name","Име"
"Grand Total","Укупан износ"
"Guest","Гост"
"ID","ИД"
"Last Name","Презиме"
"Order","Редослед"
"Orders","Поруџбине"
"Position","Позиција"
"Price","Цена"
"Product","Производ"
"Qty","Количина"
"SKU","Шифра"
"Save","Сачувај"
"Subtotal","Међузбир"
"System","Систем"
