"Action","Радња"
"Add New","Додај нови"
"Add New Attribute","Додај нови атрибут"
"Add New Search Term","Додај нови термин за претраживање"
"Add Product","Додај производ"
"Add Root Category","Додај категорију корена"
"Add Subcategory","Додај поткатегорију"
"Add to Cart","Додати у корпу"
"Add to Compare","Додај за поређење"
"Add to Wishlist","Додај у листу жеља"
"All","Svi(е)"
"All Websites","Све Веб локације"
"Are you sure?","Јесте ли сигурни?"
"Attributes","Атрибути"
"Back","Назад"
"Cancel","Одустани"
"Category URL Suffix","Категорија УРЛ суфикс"
"Click for price","Кликните за цену"
"Create Permanent Redirect for URLs if URL Key Changed","Креирање трајно преусмеравање за УРЛ адресе уколико се промени УРЛ кључ"
"Create Permanent Redirect for old URL","Креирање трајно преусмеравање за стари УРЛ адресу"
"Delete","Обриши"
"Delete Attribute","Избриши атрибут"
"Description","Опис"
"Details","Детаљи"
"Disabled","Онемогућено"
"Edit","Ажурирај"
"Email","Е-пошта"
"Enabled","Омогућено"
"Failed","Неуспешно"
"First Name","Име"
"Home","Почетак"
"ID","ИД"
"Incl. Tax","ПДВ је укључен"
"Last Name","Презиме"
"My Account","Мој Налог"
"Name","Име"
"New Product Attribute","Нови производ атрибута"
"Next","Следеће"
"No","Не"
"None","Ниједно"
"Options","Опције"
"Position","Позиција"
"Previous","Претходно"
"Price","Цена"
"Product","Производ"
"Product Attributes","Атрибути производа"
"Product URL Suffix","УРЛ суфикс производа"
"Products","Производи"
"Qty","Количина"
"Quantity","Количина"
"Redirect URL","Преусмерите URL"
"Remove","Уклони"
"Reset","Ресетуј"
"Results","Резултати"
"Root","Корен"
"SKU","Шифра"
"Save","Сачувај"
"Save Attribute","Сачувај атрибут"
"Save and Continue Edit","Сачувај и настави уређивање"
"Search","Претрага"
"Search Query","Упит за претраживање"
"See price before order confirmation.","Погледајте цену пре потврде наруџбине."
"Settings","Подешавања"
"Sort Order","Редослед слагања"
"Status","Статус"
"Store","Продавница"
"Tax","Порез"
"Title","Наслов"
"Use Categories Path for Product URLs","Користите путању категорија за УРЛ адресу производа"
"Use Config Settings","Користити конфиг подешавања"
"View Details","Прикажи детаље"
"Visibility","Видљивост"
"WYSIWYG Editor","WYSIWYG Едитор"
"What's this?","Шта је ово?"
"Yes","Да"
