"Account Information","Информације о корисничком налогу"
"Action","Радња"
"Actions","Акције"
"Active","Активно"
"Add Products","Додај производе"
"Add to Cart","Додати у корпу"
"Apply","Примени"
"Apply Coupon Code","Примени код купона"
"Are you sure you want to do this?","Да ли сте сигурни да желите да урадите ово?"
"Are you sure?","Јесте ли сигурни?"
"Back","Назад"
"Bestsellers","Бестселера"
"Cancel","Одустани"
"Close","Затвори"
"Configure","Конфигуриши"
"Create Order","Направити наруџбину"
"Customer","Купац"
"Delete","Обриши"
"Discount","Попуст"
"Edit","Ажурирај"
"Email","Е-пошта"
"Enabled","Омогућено"
"Excl. Tax","ПДВ није укључен"
"First Name","Име"
"From","Од"
"Grand Total","Укупан износ"
"Guest","Гост"
"Home","Почетак"
"ID","ИД"
"Incl. Tax","ПДВ је укључен"
"Item","Артикал"
"Items","Артикли"
"Last Name","Презиме"
"Message","Порука"
"Name","Име"
"New Order Status","Нови статус поруџбине"
"No","Не"
"No ordered items","Нема поручених артикала"
"Order","Редослед"
"Orders","Поруџбине"
"Price","Цена"
"Print Order","Штампање наруџбину"
"Product","Производ"
"Products","Производи"
"Qty","Количина"
"Refresh","Освежи"
"Remove","Уклони"
"Remove Coupon Code","Уклоните код купона"
"Revenue","Приход"
"Row Subtotal","Ред међузбира"
"SKU","Шифра"
"Select All","Изабери све"
"Shipping","Испорука"
"Shopping Cart","Листа артикала за куповину"
"Sku","Шифра"
"Status","Статус"
"Subtotal","Међузбир"
"Subtotal:","Међузбир:"
"Tax","Порез"
"Title","Наслов"
"To","Коме"
"Total","Укупно"
"View Order","Приказ наруџбине"
"Wishlist","Листа жеља"
"Yes","Да"
