"--Please Select--","--Молим изабрати--"
"1 Hour","1 сат"
"12 Hours","12 сати"
"2 Hours","2 сата"
"24 Hours","24 сата"
"2YTD","2 године до датума"
"6 Hours","6 сати"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Грешка</h1><p>страница није пронађена.</p>"
"About the calendar","О календару"
"Account Information","Информације о корисничком налогу"
"Action","Радња"
"Actions","Акције"
"Active","Активно"
"Add New","Додај нови"
"Add New Image","Додај Слику"
"Add Products","Додај производе"
"All","Svi(е)"
"All Files","Све датотеке"
"All Store Views","Прегледи свих продавница"
"All Websites","Све Веб локације"
"All valid rates have been saved.","Све важеће стопе су сачуване."
"Amounts","Износи"
"An error occurred while clearing the JavaScript/CSS cache.","Појавила се грешка приликом брисање кеша ЈavaScript/CSS."
"An error occurred while clearing the image cache.","Појавила се грешка приликом брисање кеша слике."
"Any","Било који"
"Are you sure you want to do this?","Да ли сте сигурни да желите да урадите ово?"
"Attributes","Атрибути"
"Back","Назад"
"Bestsellers","Бестселера"
"Browse Files...","Прикажи датотеке..."
"Cache Management","Управљање кешом"
"Cache Type","Тип кеширања"
"Cancel","Одустани"
"Card Verification Number","Верификациони број картице"
"Catalog Rewrites","Поново написати каталог"
"Close","Затвори"
"Code","Kod"
"Configuration","Конфигурација"
"Credit Card Number","Број кредитне картице"
"Credit Card Type","Тип кредитне картице"
"Currency","Валута"
"Current Month","Текући месец"
"Custom","Корисник"
"Customer","Купац"
"Customer Groups","Групе купаца"
"Customers","Купци"
"Date Added","Датум додавања"
"Date selector","Избор датума"
"Day","Дан"
"Delete","Обриши"
"Description","Опис"
"Details","Детаљи"
"Disabled","Онемогућено"
"Edit","Ажурирај"
"Email","Е-пошта"
"Enabled","Омогућено"
"Error","Greška"
"Excl. Tax","ПДВ није укључен"
"Expiration Date","Датум истека"
"Export","Извоз"
"Failed","Неуспешно"
"File","Датотека"
"First Name","Име"
"From","Од"
"Go Today","Иди данас"
"Grand Total","Укупан износ"
"Guest","Гост"
"Home","Почетак"
"ID","ИД"
"Images (.gif, .jpg, .png)","Слике (.gif, .jpg, .png)"
"Images Cache","Кеш слике"
"Import","Увези"
"Import Service","Увоз услуга"
"Inactive","Неактивно"
"Incl. Tax","ПДВ је укључен"
"Incoming Message","Пристигле поруке"
"Invalid Form Key. Please refresh the page.","Неважећи кључ. Освежите страницу."
"Invalidated","Поништени"
"Items","Артикли"
"Last 24 Hours","Задња 24 сата"
"Last 7 Days","Задњих 7 дана"
"Last Name","Презиме"
"Lifetime Sales","Трајна продаја"
"Manage Currency Rates","Управљање валута"
"Media (.avi, .flv, .swf)","Медији (.avi, .flv, .swf)"
"Messages Inbox","Примљене поруке"
"Month","Месец"
"Most Viewed Products","Најчешће прегледани производи"
"My Account","Мој Налог"
"Name","Име"
"New Customers","Нови купци"
"New Password","Нова лозинка"
"No","Не"
"No Data Found","Ни један податак није пронађен"
"None","Ниједно"
"Notifications","Обавештења"
"Old rate:","Стара вредност:"
"Options","Опције"
"Order","Редослед"
"Orders","Поруџбине"
"Password","Лозинка"
"Password Confirmation","Potvrda lozinke"
"Please Select","Молим изабрати"
"Position","Позиција"
"Price","Цена"
"Product","Производ"
"Products","Производи"
"Quantity","Количина"
"Refresh","Освежи"
"Remove","Уклони"
"Reset","Ресетуј"
"Reset Filter","Поништавање филтера"
"Results","Резултати"
"Revenue","Приход"
"Root Category","Роот категорија"
"SKU","Шифра"
"Save","Сачувај"
"Save Account","Сачувај налог"
"Save Cache Settings","Сачувај поставке кеширања"
"Save Currency Rates","Сачувај валута"
"Save and Continue Edit","Сачувај и настави уређивање"
"Search","Претрага"
"Select All","Изабери све"
"Shipping","Испорука"
"Shopping Cart","Листа артикала за куповину"
"Start Date","Почетни Датум"
"Status","Статус"
"Store","Продавница"
"Stores","Продавнице"
"Submit","Пошаљи"
"Subtotal","Међузбир"
"System","Систем"
"Tags","Ознаке"
"Tax","Порез"
"The JavaScript/CSS cache has been cleaned.","Кеш JavaScrip/CSS кеш је очишћен."
"The Magento cache storage has been flushed.","Магенто кеш складишта је испражњен."
"The image cache was cleaned.","Слика кеша је очишћена."
"Time","Време"
"To","Коме"
"Tools","Алати"
"Total","Укупно"
"Upload File","Пошаљи датотеку"
"Use All Available Attributes","Користити све доступне атрибуте"
"Use Config Settings","Користити конфиг подешавања"
"Use Default","Користи подразумевано"
"User Email","Корисничка е-пошта"
"User Name","Корисничко име"
"View Statistics For:","Погледајте статистику за:"
"What is this?","Шта је ово?"
"YTD","ГОДИНА ДО ДАТУМА"
"Year","Година"
"Yes","Да"
"You have logged out.","Одјавили сте се."
"[ deleted ]","[избрисан]"
"close","затвори"
"critical","критично"
"major","важно"
"minor","неважан(но)"
"notice","напомена"
