"Action","Радња"
"Add to Cart","Додати у корпу"
"Add to Wishlist","Додај у листу жеља"
"Are you sure you want to do this?","Да ли сте сигурни да желите да урадите ово?"
"Are you sure?","Јесте ли сигурни?"
"Back","Назад"
"Customers","Купци"
"Delete","Обриши"
"Disabled","Онемогућено"
"Email","Е-пошта"
"First Name","Име"
"ID","ИД"
"Last Name","Презиме"
"Name","Име"
"Price","Цена"
"Products","Производи"
"Remove","Уклони"
"SKU","Шифра"
"Save and Continue Edit","Сачувај и настави уређивање"
"Status","Статус"
"Tags","Ознаке"
