"""Remember Me"" Default Value","""Muista minut"" -oletusarvo"
"* Required Fields","* Pakolliset kentät"
"Address","Katuosoite"
"Address Information","Osoitetiedot"
"Already registered?","Oletko jo rekisteröitynyt?"
"Back","Takaisin"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Asiakastilin luominen kauppaamme nopeuttaa tilauksen käsittelyä ja sallii useiden toimitusosoitteiden käytön, sekä antaa mahdollisuuden seurata tilaushistoriaa."
"Checkout as Guest","Osta vieraana"
"Checkout as a Guest or Register","Rekisteröidy tai osta vieraana"
"City","Paikkakunta"
"Close","Sulje"
"Company","Yritys"
"Confirm Password","Vahvista Salasana"
"Continue","Jatka"
"Country","Maa"
"Create an Account","Luo tili"
"Easy access to your order history and status","Tilausten seuranta ja tilaushistoria"
"Email Address","Sähköpostiosoite"
"Enable ""Remember Me""","Ota ""Muista minut"" käyttöön"
"Fast and easy check out","Nopea ja helppo tilaus"
"Fax","Faksi"
"Forgot Your Password?","Unohditko salasanasi?"
"Forgot your password?","Unohditko salasanasi?"
"General Options","Yleiset asetukset"
"If you have an account with us, please log in.","Jos sinulla on jo asiakastili, ole hyvä ja kirjaudu sisään."
"Loading next step...","Ladataan seuraavaa vaihetta..."
"Login","Kirjaudu"
"Login Information","Kirjautumisen tiedot"
"Login or Create an Account","Kirjaudu sisään tai luo uusi asiakastili"
"New Customers","Uudet asiakkaat"
"Password","Salasana"
"Personal Information","Henkilökohtaiset tiedot"
"Please log in below:","Kirjaudu sisään alla olevalla lomakkeella:"
"Please select region, state or province","Valitse alue, osavaltio tai provinssi"
"Register","Rekisteröidy"
"Register and save time!","Rekisteröidy ja säästä aikaa!"
"Register to Create an Account","Rekisteröidy luodaksesi Oman tilin"
"Register with us for future convenience:","Rekisteröidy verkkokauppamme ja helpota tulevaa asiointia:"
"Registered Customers","Rekisteröityneet asiakkaat"
"Remember Me","Muista minut"
"Save in address book","Tallenna osoitekirjaan"
"Select State/Province...","Valitse osavatio/provinssi..."
"Select a billing address from your address book or enter a new address.","Valitse osoite osoitekirjastasi tai syötä uusi osoite."
"Ship to different address","Lähetä eri osoitteeseen"
"Ship to this address","Lähetä samaan osoitteeseen"
"Sign Up for Newsletter","Tilaa uutiskirje"
"State/Province","Osavaltio/provinssi"
"Street Address","Katuosoite"
"Submit","Lähetä"
"Telephone","Puhelin"
"VAT Number","Y-tunnus"
"Welcome, %s!","Tervetuloa, %s!"
"What's this?","Mikä tämä on?"
"Zip/Postal Code","Postinumero"
