"%s's Wishlist","Asiakkaan %s toivelista"
"* Required Fields","* Pakolliset kentät"
"Add All to Cart","Lisää kaikki ostoskoriin"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to Wishlist","Lisää toivelistaan"
"Added From","Lisätty kohteesta"
"Are you sure you want to remove this product from your wishlist?","Haluatko varmasti poistaa tämän tuotteen toivelistaltasi?"
"Are you sure you would like to remove this item from the wishlist?","Haluatko varmasti poistaa tämän tuotteen toivelistaltasi?"
"Back","Takaisin"
"Can't save description %s","Ei voida tallentaa kuvausta %s"
"Cannot specify product.","Tuotetta ei voida määrittää."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Laita rasti ruutuun jos haluat lisätä linkin toivelistasi RSS-syötteeseen."
"Click for price","Klikkaa nähdäksesi hinnan"
"Comment","Kommentti"
"Comment:","Kommentti:"
"Date Added","Lisäyspäivämäärä"
"Days in Wishlist","Päiviä toivelistalla"
"Edit","Muokkaa"
"Email Sender","Sähköpostin Lähettäjä"
"Email Template","Sähköpostimalli"
"Email address can't be empty.","Sähköpostiosoite ei voi olla tyhjä"
"Email addresses, separated by commas","Sähköpostiosoitteet, pilkuin erotettu"
"Enabled","Käytössä"
"General Options","Yleiset asetukset"
"Go to Wishlist","Mene toivelistaan"
"In stock","Varastossa"
"Last Added Items","Viimeksi lisätyt kohteet"
"Message","Viesti"
"My Wishlist","Toivelistani"
"My Wishlist (%d item)","Toivelistani (%d tuote)"
"My Wishlist (%d items)","Toivelistani (%d tuotetta)"
"Options Details","Vaihtoehdot tiedot"
"Out of stock","Ei varastossa"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Anna toimiva sähköpostiosoite, eroteltuna pilkuin. Esimerkiksi mattimeikalainen@palvelin.fi, maijameikalainen@palvelin.fi."
"Please, enter your comments...","Lisää kommenttisi..."
"Price","Hinta"
"Product","Tuote"
"Product Details and Comment","Tuotetiedot ja kommentti"
"Qty","Määrä"
"RSS Feed","RSS-syöte"
"RSS link to %s's wishlist","RSS-linkki asiakkaan %s toivelistaan"
"Remove Item","Poista kohde"
"Remove This Item","Poista tämä nimike"
"Remove item","Poista kohde"
"SKU","Tuotenro"
"Share Options","Jakamisen asetukset"
"Share Wishlist","Jaa toivelista"
"Share Your Wishlist","Jaa toivelistasi"
"Sharing Information","Jakamisen tiedot"
"Update Wishlist","Päivitä toivelista"
"User Description","Käyttäjän kuvaus"
"View Details","Näytä yksityiskohdat"
"View Product","Tarkastele tuotetta"
"What's this?","Mikä tämä on?"
"Wishlist","Toivelista"
"Wishlist Sharing","Toivelistan jakamien"
"Wishlist is empty now.","Toivelista on tyhjä."
"You have no items in your wishlist.","Toivelistallasi ei ole tuotteita."
