"API Certificate","API-sertifikaatti"
"API Password","API:n salasana"
"API Signature","API-allekirjoitus"
"API Username","API-käyttäjänimi"
"Address","Katuosoite"
"Advanced Settings","Lisäasetukset"
"Allowed Credit Card Types","Sallitut luottokorttityypit"
"Authorization","Varmennus"
"Auto","Autom."
"Billing Information","Laskutustiedot"
"Buyer claims that he did not receive goods or service.","Ostaja väittää, ettei hän ole saanut tavaraa tai palvelua."
"Buyer claims that he/she did not authorize transaction.","Ostaja väittää, ettei hän ole valtuuttanut tapahtumaa."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Ostaja väittää, että vastaanotetut tavarat tai palvelu poikkeavat kauppiaan antamasta kuvauksesta."
"Checkout with PayPal","Siirry kassalle käyttäen PayPalia"
"City","Paikkakunta"
"Close","Sulje"
"Company","Yritys"
"Complaint","Valitus"
"Configure","Määritä"
"Continue","Jatka"
"Country","Maa"
"Coupon Redemption","Alennuskoodin lunastus"
"Credit","Saldo"
"Custom","Mukautettu"
"Daily","Päivittäinen"
"Discount","Alennus"
"Display","Näkymä"
"Display on Shopping Cart","Näytä ostoskorissa"
"Dispute","Kiista"
"Dynamic","Dynaaminen"
"Edit","Muokkaa"
"Edit Payment Information","Muokkaa maksutietoja"
"Edit Shopping Cart","Muokkaa ostoskoria"
"Email Address","Sähköpostiosoite"
"Enable this Solution","Ota lisäosa käyttöön"
"Enabled","Käytössä"
"Every 10 days","10 päivän välein"
"Every 14 days","14 päivän välein"
"Every 3 days","3 päivän välein"
"Every 30 days","30 päivän välein"
"Every 40 days","40 päivän välein"
"Every 7 days","7 päivän välein"
"Express Checkout and Order have been canceled.","Express Checkout ja tilaus on peruutettu."
"Express Checkout has been canceled.","Express Checkout on peruutettu."
"Fax","Faksi"
"Fetch","Hae"
"Fetch Updates","Hae päivityksiä"
"Help","Ohje"
"Home Page","Kotisivu"
"Items in Your Shopping Cart","Kohdetta ostoskorissasi"
"Learn More","Lisätietoja"
"Login","Kirjaudu"
"N/A","Ei tietoa"
"Never","Ei koskaan"
"No","Ei"
"No Logo","Ilman logoa"
"No match","Ei täsmää"
"Order","Tilaus"
"Order ID","Tilausnumero"
"Partner","Kumppani"
"Password","Salasana"
"PayPal Settlement Reports","PayPal-maksujen raportit"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal suosittelee, että määrität ylimääräisiä käyttäjän manager.paypal.com, pääkäyttäjätunnuksesi ja salasanasi sijasta. Tämä parantaa turvallisuutta ja estää palvelun keskeytyksiä, jos muutat myöhemmin salasanasi. Jos et halua perustaa ylimääräistä käyttäjää, voit syöttää Merchant-kirjautumisen tästä."
"Payer Email","Maksajan sähköposti"
"Payment Action","Maksutoiminto"
"Payment Method","Maksutapa"
"Pending PayPal","Odottaa PayPal-maksua"
"Place Order","Tee tilaus"
"Please agree to all the terms and conditions before placing the order.","Kaikki ehdot tulee hyväksyä ennen tilauksen tekemistä."
"Please select a shipping method...","Valitse toimitustapa..."
"Please select region, state or province","Valitse alue, osavaltio tai provinssi"
"Position","Sijainti"
"Price","Hinta"
"Product","Tuote"
"Product Name","Tuotenimi"
"Qty","Määrä"
"Reports","Raportit"
"Require Customer's Billing Address","Vaadi asiakkaan laskutusosoite"
"Review Order","Tarkastele tilausta"
"Sale","Alennusmyynti"
"Sales","Myynti"
"Schedule","Ajastus"
"Shipping","Toimitus"
"Shipping Address","Toimitusosoite"
"Shipping Information","Toimitustiedot"
"Shipping Method","Toimitustapa"
"Size","Koko"
"Sorry, no quotes are available for this order at this time.","Ei annettuja lainauksia tälle tuotteelle tällä hetkellä."
"Sort Order","Lajittelujärjestys"
"State/Province","Osavaltio/provinssi"
"Static","Staattinen"
"Street Address","Katuosoite"
"Submitting order information...","Lähetetään tilauksen tietoja..."
"Subtotal","Välisumma"
"Telephone","Puhelin"
"Test Mode","Testitila"
"There was an error processing your order. Please contact us or try again later.","Tilauksen lähetyksessä tapahtui virhe. Ole hyvä ja ota yhteyttä meihin tai yritä myöhemmin uudelleen."
"Title","Otsikko"
"Transaction ID","Maksun ID"
"Transaction Information","Tapahtumatiedot"
"Update Shipping Method","Päivitä toimitustapa"
"User","Käyttäjä"
"VAT Number","Y-tunnus"
"View","Katso"
"View Transaction","Tarkastele tapahtumaa"
"Void","Mitätön"
"What is PayPal?","Mikä on PayPal?"
"Yes","Kyllä"
"Yes (PayPal recommends this option)","Kyllä (PayPal suosittelee tätä vaihtoehtoa)"
"You will be redirected to the PayPal website.","Sinut ohjataan PayPal-verkkosivulle."
"Zip/Postal Code","Postinumero"
