"* Required Fields","* Pakolliset kentät"
"ALL GROUPS","KAIKKI RYHMÄT"
"Account Dashboard","Asiakastilin kojelauta"
"Account Information","Tilin tiedot"
"Account Sharing Options","Tilin jakamisen asetukset"
"Action","Toiminto"
"Add New Address","Lisää uusi osoite"
"Add New Customer","Lisää uusi asiakas"
"Add New Customer Group","Lisää uusi asiakasryhmä"
"Added From","Lisätty kohteesta"
"Additional Address Entries","Lisäosoitteet"
"Address","Katuosoite"
"Address Book","Osoitekirja"
"Address Information","Osoitetiedot"
"Addresses","Osoitteet"
"Admin","Ylläpito"
"All","Kaikki"
"All Store Views","Kaikki kauppanäkymät"
"All countries","Kaikki maat"
"Always optional.","Aina valinnainen."
"Amount","Summa"
"Approved","Hyväksytty"
"Are you sure that you want to remove this item?","Haluatko varmasti poistaa tämän tuotteen?"
"Are you sure you want to cancel adding of this address?","Haluatko varmasti peruuttaa tämän osoitelisäyksen?"
"Are you sure you want to delete this address?","Oletko varma, että haluat poistaa tämän osoitteen?"
"Are you sure?","Oletko varma?"
"Assign a Customer Group","Määritä asiakasryhmä"
"Average Sale","Myynnin keskiarvo"
"Back","Takaisin"
"Back to Login","Takaisin sisäänkirjautumiseen"
"Bad request.","Virheellinen pyyntö."
"Bought From","Ostettu kohteesta"
"By Email","Sähköpostitse"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Asiakastilin luominen kauppaamme nopeuttaa tilauksen käsittelyä ja sallii useiden toimitusosoitteiden käytön, sekä antaa mahdollisuuden seurata tilaushistoriaa."
"Cancel","Peruuta"
"Change Account Password","Vaihda asiakastilin salasana"
"Change Billing Address","Muuta laskutusosoite"
"Change Password","Vaihda salasana"
"Change Shipping Address","Muuta toimitusosoite"
"City","Paikkakunta"
"Company","Yritys"
"Config","Asetukset"
"Configure","Määritä"
"Confirm New Password","Vahvista uusi salasana"
"Confirm Password","Vahvista Salasana"
"Confirmed","Vahvistettu"
"Contact Information","Yhteystiedot"
"Continue Shopping","Jatka ostoksia"
"Country","Maa"
"Create","Luo"
"Create New Account Options","Uuden tilin luomisen vaihtoehdot"
"Create New Customer Account","Luo uusi asiakastili"
"Create Order","Luo tilaus"
"Create an Account","Luo tili"
"Current Password","Nykyinen salasana"
"Customer","Asiakas"
"Customer Addresses","Asiakkaiden osoitteet"
"Customer Configuration","Asiakkaiden hallinnointi"
"Customer Group","Asiakasryhmä"
"Customer Groups","Asiakasryhmät"
"Customer Information","Asiakstiedot"
"Customer Login","Asiakaskirjautuminen"
"Customer Since","Asiakas alkaen"
"Customer View","Asiakasnäkymä"
"Customers","Asiakkaat"
"Customers Only","Vain asiakkaille"
"Date","Päivämäärä"
"Date Added","Lisäyspäivämäärä"
"Date of Birth","Syntymäaika"
"Day","Päivä"
"Days in Wishlist","Päiviä toivelistalla"
"Default Addresses","Oletusosoitteet"
"Default Billing Address","Oletuslaskutusosoite"
"Default Email Domain","Oletussähköpostin domain"
"Default Group","Oletusryhmä"
"Default Shipping Address","Oletustoimitusosoite"
"Default Welcome Email","Oletustervetuliaisviesti"
"Delete","Poista"
"Delete Address","Poista osoite"
"Delete Customer","Poista asiakas"
"Delete Customer Group","Poista asiakasryhmä"
"Deleted Stores","Poistetut kaupat"
"Details","Yksityiskohdat"
"Disabled","Ei käytössä"
"Edit","Muokkaa"
"Edit Account Information","Muokkaa tilin tietoja"
"Edit Address","Muokkaa osoitetta"
"Edit Address Entry","Muokkaa osoitetietoa"
"Edit Customer Group ""%s""","Muokkaa asiakasryhmää ""%s"""
"Edit Customer Groups","Muokkaa asiakasryhmiä"
"Edit Customer's Address","Muokkaa asiakkaan osoitetta"
"Edit Group","Muokkaa ryhmää"
"Edit Newsletters","Muokkaa uutiskirjeitä"
"Email","Sähköposti"
"Email Address","Sähköpostiosoite"
"Email Sender","Sähköpostin Lähettäjä"
"Email:","Sähköposti:"
"Fax","Faksi"
"First Name","Etunimi"
"Forgot Email Template","Salasanan palautuksen sähköpostimalli"
"Forgot Password","Salasana unohtunut"
"Forgot Your Password?","Unohditko salasanasi?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Voit luoda pikakatsauksen kojelaudassa viimeisimmistä tapahtumista asiakastililläsi, sekä muuttaa tilisi tietoja. Pääset katselemaan tai muokkaamaan tietojasi seuraavasta linkistä."
"Gender","Sukupuoli"
"General Subscription","Yleinen tilaus"
"Global","Globaali"
"Group","Ryhmä"
"Group Information","Ryhmän tiedot"
"Group Name","Ryhmän nimi"
"Guest","Vieras"
"Hello, %s!","Hei, %s!"
"ID","Tunnus"
"IP Address","IP-osoite"
"If you have an account with us, please log in.","Jos sinulla on jo asiakastili, ole hyvä ja kirjaudu sisään."
"Invalid current password","Nykyinen salasana on väärä"
"Invalid customer data","Virheellinen asiakastieto"
"Invalid login or password.","Virheellinen sähköpostiosoite tai salasana."
"Last Activity","Viimeksi nähty"
"Last Date Subscribed","Viimeinen päivä jolloin tilattu"
"Last Date Unsubscribed","Viimeinen päivä jolloin peruttu"
"Last Name","Sukunimi"
"Lifetime Sales","Kaikki myynnit"
"Log In","Kirjaudu sisään"
"Log Out","Kirjaudu ulos"
"Login","Kirjaudu"
"Login Information","Kirjautumisen tiedot"
"Login or Create an Account","Kirjaudu sisään tai luo uusi asiakastili"
"MM","KK"
"Manage Addresses","Osoitteiden hallinta"
"Manage Customers","Hallinnoi asiakkaita"
"Month","Kuukausi"
"My Account","Oma tili"
"My Dashboard","Kojelautani"
"My Orders","Omat tilaukset"
"Name","Nimi"
"Never","Ei koskaan"
"New Address","Uusi osoite"
"New Address Entry","Uusi osoite"
"New Customer","Uusi asiakas"
"New Customer Address","Uusi asiakkaan osoite"
"New Customer Group","Uusi asiakasryhmä"
"New Customer Groups","Uudet asiakasryhmät"
"New Customers","Uudet asiakkaat"
"New Group","Uusi ryhmä"
"New Password","Uusi salasana"
"New account","Uusi asiakastili"
"New account confirmed","Uusi asiakastili vahvistettu"
