"(Excl. Tax)","(Veroton)"
"(Incl. Tax)","(Verollinen)"
"* Required Fields","* Pakolliset kentät"
"Add New Address","Lisää uusi osoite"
"Add New Condition","Lisää ehto"
"Add to Cart","Lisää ostoskoriin"
"Add to Compare","Lisää vertailuun"
"Add to Wishlist","Lisää toivelistaan"
"Address","Katuosoite"
"Address %s of %s","Osoite %s / %s"
"After Adding a Product Redirect to Shopping Cart","Lisättyäsi tuotteen, uudelleenohjaus ostoskoriin"
"Allow Guest Checkout","Salli tilaaminen rekisteröitymättä"
"Already registered?","Oletko jo rekisteröitynyt?"
"Apply","Käytä"
"Apply Coupon","Käytä alennuskoodi"
"Are you sure you would like to remove this item from the shopping cart?","Oletko varma, että haluat poistaa tämän tuotteen ostoskorista?"
"Back","Takaisin"
"Back to Billing Information","Takaisin laskutustietoihin"
"Back to Shipping Information","Takaisin toimitustietoihin"
"Back to Shopping Cart","Takaisin ostoskoriin"
"Based on your selection, you may be interested in the following items:","Voit olla kiinnostunut myös näistä kohteista:"
"Billing Address","Laskutusosoite"
"Billing Information","Laskutustiedot"
"Billing Information - %s","Laskutustiedot - %s"
"Cancel","Peruuta"
"Cancel Coupon","Peruuta kuponki"
"Cannot process the item.","Kohdetta ei voida käsitellä."
"Card Verification Number Visual Reference","Luottokortin tarkistustunnus"
"Cart Subtotal:","Ostoskorin välisumma:"
"Change","Vaihda"
"Change Billing Address","Muuta laskutusosoite"
"Checkbox Text","Valintaruudun teksti"
"Checkout","Kassa"
"Checkout Options","Tilausvaihtoehdot"
"Checkout as Guest","Osta vieraana"
"Checkout as a Guest or Register","Rekisteröidy tai osta vieraana"
"Checkout with Multiple Addresses","Siirry kassalle käyttäen useita osoitteita"
"City","Paikkakunta"
"Clear Shopping Cart","Tyhjennä ostoskori"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Tulosta tilausvahvistus</a>."
"Close","Sulje"
"Company","Yritys"
"Condition Name","Ehdon nimi"
"Confirm Password","Vahvista Salasana"
"Content","Sisältö"
"Content Height","Sisällön korkeus"
"Content Height (css)","Sisällön korkeus (css)"
"Continue","Jatka"
"Continue Shopping","Jatka ostoksia"
"Continue to Billing Information","Jatka laskutustietoihin"
"Continue to Review Your Order","Katsele tilaustasi"
"Continue to Shipping Information","Jatka lähetystietoihin"
