"Alert Email Sender","Hälytyssähköpostin lähettäjä"
"Click here not to receive alerts for this product","Klikkaa tästä jos et halua hälytyksiä tästä tuotteesta"
"Error Email Recipient","Virhesähköpostin vastaanottaja"
"Error Email Sender","Virhesähköpostin lähettäjä"
"Error Email Template","Virhesähköpostin pohja"
"Frequency","Tiheys"
"Price:","Hinta:"
"Product Alerts","Tuotehälytykset"
"Product Alerts Run Settings","Tuotehälytysten ajojen asetukset"
"Product alerts Cron error","Tuotehälytysten cron-virhe"
"Product price alert","Tuotteen hintahälytys"
"Product stock alert","Tuotteen varastohälytys"
"Regular Price:","Normaali hinta:"
"Sign up for price alert","Tilaa hintahälytys"
"Sign up to get notified when this product is back in stock","Tilaa hälytys, jossa ilmoitetaan kun tätä tuotetta on jälleen varastossa."
"Special price:","Tarjoushinta:"
"Start Time","Aloitusaika"
"The product was not found.","Tuotetta ei löytynyt."
"Unsubscribe from all price alerts","Lopeta kaikkien hintahälytysten tilaus"
"Unsubscribe from all stock alerts","Peru kaikki varastohälytykset"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Tämä viesti lähetettiin sinulle, koska olet tilannut hälytyksen kun seuraavat tuotteet ovat jälleen varastossamme:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Tämä viesti lähetettiin sinulle, koska olet tilannut hälytyksen kun seuraavien tuotteiden hinnat muuttuvat:"
