"Add","Lisää"
"Add New Role","Lisää uusi rooli"
"Admin","Ylläpito"
"Allow","Salli"
"Assigned","Osoitettu"
"Attribute Set","Attribuuttiryhmä"
"Attributes","Attribuutit"
"Back","Takaisin"
"Backorders","Jälkitoimitukset"
"Base Currency","Oletusvaluutta"
"Catalog","Katalogi"
"Category ID","Kategoria ID"
"City","Paikkakunta"
"Company","Yritys"
"Country","Maa"
"Coupon Code","Alennuskoodi"
"Create","Luo"
"Create Permanent Redirect for old URL","Luo pysyvä uudelleenohjaus vanhalle URL:lle"
"Customer","Asiakas"
"Customer Address","Asiakkaan osoite"
"Customer First Name","Asiakkaan etunimi"
"Customer Last Name","Asiakkaan sukunimi"
"Delete","Poista"
"Deny","Estä"
"Discount","Alennus"
"Discount Amount","Alennuksen määrä"
"Edit","Muokkaa"
"Edit Role","Muokkaa roolia"
"Email","Sähköposti"
"Enable Qty Increments","Ota porrastetut määrät käyttöön"
"Exclude","Rajaa pois"
"File Name","Tiedostonimi"
"First Name","Etunimi"
"Gift Message","Lahjaviesti"
"Grand Total","Loppusumma"
"Group","Ryhmä"
"Guest","Vieras"
"ID","Tunnus"
"Label","Nimike"
"Last Name","Sukunimi"
"Manage Stock","Varastonhallinta"
"Maximum Qty Allowed in Shopping Cart","Sallittu enimmäismäärä ostoskorissa"
"Minimum Qty Allowed in Shopping Cart","Pienin sallittu määrä ostoskorissa"
"New Role","Uusi rooli"
"Notify for Quantity Below","Ilmoita jos määrä on alle"
"Order","Tilaus"
"Order Comments","Tilauksen kommentit"
"Order Date","Tilauspäivämäärä"
"Order ID","Tilausnumero"
"Order Status","Tilauksen tila"
"Orders","Tilaukset"
"Original Price","Alkuperäinen hinta"
"Payment Method","Maksutapa"
"Phone Number","Puhelinnumero"
"Placed from IP","Tilaus tehty IP-osoitteesta"
"Position","Sijainti"
"Price","Hinta"
"Product","Tuote"
"Product ID","Tuotetunnus"
"Product Type","Tuotteen tyyppi"
"Qty","Määrä"
"Qty Increments","Määräporras"
"Qty Uses Decimals","Määrä käyttää desimaaleja"
"Role Info","Roolin tiedot"
"Role Information","Roolin tiedot"
"Role Name","Roolin nimi"
"Role Users","Roolikäyttäjät"
"Roles","Roolit"
"SKU","Tuotenro"
"Sales","Myynti"
"Save","Tallenna"
"Shipping Amount","Lähetyskulut"
"Shipping Method","Toimitustapa"
"State","Lääni"
"Stock Availability","Saatavuus varastossa"
"Stock Status","Varastotilanne"
"Store Name","Kaupan nimi"
"Subtotal","Välisumma"
"System","Järjestelmä"
"Tax Amount","Veron määrä"
"Tax Percent","Veroprosentti"
"Tax Rate","Veroprosentti"
"Total Due","Maksamatta yhteensä"
"Total Paid","Maksettu yhteensä"
"Total Refunded","Yhteensä hyvitetty"
"Type","Tyyppi"
"URL","Osoite"
"Update","Päivitä"
"ZIP/Postal Code","Postinumero"
