"Add Option","Lisää valinta"
"Attempt to add an invalid object","Yritit lisätä virheellisen kohteen"
"Attribute Code","Attribuuttikoodi"
"Attribute Label","Ominaisuuden nimike"
"Attribute Properties","Attribuutin ominaisuudet"
"Attribute with the same code","Ominaisuus samalla tunnuksella"
"Catalog Input Type for Store Owner","Katalogin syöttötyyppi kaupan omistajalle"
"Data integrity: No header row found for attribute","Tiedon yhteneväisyys: ominaisuudelle ei löytynyt otsikkoriviä"
"Date","Päivämäärä"
"Decimal Number","Desimaaliluku"
"Default Value","Oletusarvo"
"Default option value is not defined","Oletusasetusta ei määritelty"
"Delete","Poista"
"Dropdown","Pudotusvalikko"
"Email","Sähköposti"
"Entity is not initialized","Kokonaisuutta ei ole otettu käyttöön"
"Frontend label is not defined","Frontend label ei määritelty"
"Input Validation for Store Owner","Kauppiaan syötteen validointi"
"Integer Number","Kokonaisluku"
"Invalid attribute name: %s","Virheellinen ominaisuuden nimi: %s"
"Invalid attribute requested: %s","Pyydetty virheellistä ominaisuutta: %s"
"Invalid attribute type","Virheellinen ominaisuuden tyyppi"
"Invalid character encountered in increment ID: %s","Virheellinen merkki havaittu tunnuksessa: %s"
"Invalid date","Virheellinen päivämäärä"
"Invalid entity specified","Virheellinen kokonaisuus määritelty"
"Invalid entity supplied: %s","Virheellinen kokonaisuus toimitettu: %s"
"Invalid entity type","Virheellinen kokonaisuustyyppi"
"Invalid entity_type specified: %s","Väärä kokonaisuus-tyyppi määritelty: %s"
"Invalid foreign key","Virheelllinen vierasperäinen avain"
"Invalid store specified","Virheellinen kauppa määritetty"
"Joined field with this alias is already declared","Tällä nimellä on jo määritelty yhdistetty kenttä"
"Letters","Kirjaimet"
"Loaded %d records","Ladattu %d tietue(tta)"
"Multiple Select","Monivalinta"
"No","Ei"
"None","Poista valinnat"
"Not shared with other products","Ei jaeta toisten tuotteiden kanssa"
"Problem loading the collection, aborting. Error: %s","Ongelma kokoelman latauksessa, keskeytetään. Virhe: %s"
"Problem saving the collection, aborting. Error: %s","Virhe tallennettaessa kokoelmaa, keskeytetään. Virhe: %s"
"Required","Vaadittu"
"System","Järjestelmä"
"Text Area","Tekstialue"
"Text Field","Tekstikenttä"
"URL","Osoite"
"Unique Value","Yksilöllinen arvo"
"Unique Value (not shared with other products)","Yksilöllinen arvo (ei jaeta muiden tuotteiden kanssa)"
"Unknown parameter","Tuntematon parametri"
"Values Required","Vaaditut arvot"
"Wrong attribute group ID","Väärä ominaisuuden ryhmätunniste"
"Wrong attribute set ID","Väärä ominaiskokonaisuuden tunniste"
"Wrong entity ID","Väärä kokonaisuuden tunniste"
"Yes","Kyllä"
"Yes/No","Kyllä/Ei"
