" Copy"," Kopioi"
"Action","Toiminto"
"Add New Template","Lisää uusi malli"
"Add to Queue","Lisää jonoon"
"Allow Guest Subscription","Salli uutiskirjeen tilaus kirjautumatta"
"Are you sure that you want to delete this template?","Haluatko varmasti poistaa tämän pohjan?"
"Are you sure that you want to strip all tags?","Haluatko varmasti poistaa kaikki asiasanat?"
"Back","Takaisin"
"Cancel","Peruuta"
"Cancelled","Peruutettu"
"Confirmation Email Sender","Vahvistussähköpostin lähettäjä"
"Confirmation Email Template","Vahvistussähköpostin pohja"
"Convert to Plain Text","Muuta tekstimuotoon"
"Create Newsletter Template","Luo uutiskirjepohja"
"Customer","Asiakas"
"Customer First Name","Asiakkaan etunimi"
"Customer Last Name","Asiakkaan sukunimi"
"Date Added","Lisäyspäivämäärä"
"Date Updated","Päivämäärä päivitetty"
"Delete","Poista"
"Delete Selected Problems","Poista valitut ongelmat"
"Delete Template","Poista malli"
"Do you really want to cancel the queue?","Haluatko varmasti peruuttaa lähetysjonon?"
"Edit Newsletter","Muokkaa uutiskirjettä"
"Edit Newsletter Template","Muokkaa uutiskirjeen mallipohjaa"
"Edit Queue","Muokkaa jonoa"
"Edit Template","Muokkaa mallia"
"Email","Sähköposti"
"Enter your email address","Syötä sähköpostiosoitteesi"
"Error Code","Virhekoodi"
"Error Text","Virheteksti"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Voit perua uutiskirjeen tilauksesi tästä <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Vieras"
"ID","Tunnus"
"Message","Viesti"
"Need to Confirm","Vaatii vahvistuksen"
"New Newsletter Template","Uusi uutiskirjemalli"
"New Template","Uusi viestipohja"
"Newsletter","Uutiskirje"
"Newsletter Message Preview","Uutiskirjeen viestin esikatselu"
"Newsletter Problem Reports","Uutiskirjeen virheraportit"
"Newsletter Queue","Uutiskirjejono"
"Newsletter Styles","Uutiskirjeiden tyylit"
"Newsletter Subscribers","Uutiskirjeen tilaajat"
"Newsletter Subscription","Uutiskirjeen tilaus"
"Newsletter Subscriptions","Uutiskirjeen tilaukset"
"Newsletter Templates","Uutiskirjeiden mallipohjat"
"Newsletter subscription confirmation","Uutiskirjeen tilauksen vahvistus"
"Newsletter subscription success","Uutiskirjeen tilaaminen onnistui"
"Newsletter unsubscription success","Uutiskirjeen peruuttaminen onnistui"
"No Templates Found","Malleja ei löydy"
"Not Activated","Ei aktivoitu"
"Not Sent","Ei lähetetty"
"Pause","Pysäytä"
"Paused","Keskeytetty"
"Please enter a valid email address.","Syötä toimiva sähköpostiosoite."
"Please enter new template name","Anna uusi pohjan nimi"
"Please select subscriber(s)","Valitse tilaaja(t)"
"Preview","Esikatselu"
"Preview Template","Esikatsele mallia"
"Processed","Prosessoitu"
"Queue Date Start","Lähetysjonon aloituspäivämäärä"
"Queue Finish","Lähetysjonon loppu"
"Queue Information","Lähetysjonon tiedot"
"Queue Start","Lähetysjonon alku"
"Queue Subject","Lähetysjonon aihe"
"Recipients","Vastaanottajat"
"Reset","Tyhjennä"
"Resume","Jatka"
"Return HTML Version","Palauta HTML-versio"
"Save As","Tallenna nimellä"
"Save Newsletter","Tallenna uutiskirje"
"Save Template","Tallenna malli"
"Save and Resume","Tallenna ja jatka"
"Security","Turvallisuusasetukset"
"Sender","Lähettäjä"
"Sender Email","Lähettäjän sähköposti"
"Sender Name","Lähettäjän nimi"
"Sending","Lähettäminen"
"Sent","Lähetetty"
"Sign Up for Our Newsletter:","Tilaa uutiskirjeemme:"
"Sign up for our newsletter","Tilaa uutiskirjeemme"
"Start","Aloita"
"Status","Tila"
"Store","Kauppa"
"Store View","Kauppanäkymä"
"Subject","Aihe"
"Submit","Lähetä"
"Subscribe","Tilaa uutiskirje"
"Subscribed","Tilattu"
"Subscriber","Tilaaja"
"Subscribers","Tilaajat"
"Subscribers From","Tilaajat"
"Subscription Options","Tilaustiedot"
"Success Email Sender","Onnistumisilmoituksen sähköpostin lähettäjä-kenttä"
"Success Email Template","Onnistumisilmoituksen sähköpostin pohja"
"Template Content","Mallin sisältö"
"Template Information","Tietoja mallipohjasta"
"Template Name","Mallipohjan nimi"
"Template Styles","Mallipohjatyylit"
"Template Subject","Mallin aihe"
"Template Type","Mallityyppi"
"Thank you for your subscription.","Kiitos tilaamisesta."
"There was a problem with the subscription: %s","Tilaamisessa on ongelma: %s"
"There was a problem with the un-subscription.","Tilauksesi peruutuksessa on ongelma"
"This email address is already assigned to another user.","Antamasi sähköpostiosoite on jo käytössä."
"Type","Tyyppi"
"Unconfirmed","Ei vahvistettu"
"Unsubscribe","Lopeta tilaus"
"Unsubscribe Selected","Peruuta valittujen tilaus"
"Unsubscribed","Tilaus lopetettu"
"Unsubscription Email Sender","Perumisilmoituksen sähköpostin lähettäjä-kenttä"
"Unsubscription Email Template","Perumisilmoituksen sähköpostin pohja"
"View Newsletter","Tarkastele uutiskirjettä"
"Website","Sivusto"
"Your subscription has been confirmed.","Tilauksesi on vahvistettu."
