"-- Please Select --","--- Valitse ---"
"Add Secret Key to URLs","Lisää salausavain URL-osoitteisiin"
"Add Store Code to Urls","Lisää kaupan kielikoodi URL-osoitteisiin"
"Admin","Ylläpito"
"Admin Base URL","Järjestelmänvalvojan Base URL"
"Admin User Emails","Järjestelmänvalvojan sähköpostit"
"Advanced","Lisäasetukset"
"Allow Countries","Salli maat"
"Allow Symlinks","Salli symboliset linkit"
"Allowed IPs (comma separated)","Sallitut IP-osoitteet (pilkulla erotettuna)"
"Anchor Text for Next","Ankkuroi teksti tulevaan"
"Anchor Text for Previous","Ankkuroi teksti edelliseen"
"Are you sure?","Oletko varma?"
"Auto-redirect to Base URL","Automaattisesti uudelleenohjaa Base URL:ään"
"Back","Takaisin"
"Backup Options","Varmuuskopioinnin asetukset"
"Base JavaScript URL","JavaScript juuriosoite"
"Base Link URL","Linkkien juuriosoite"
"Base Media URL","Median juuriosoite"
"Base Skin URL","Ulkoasun tyylin osoite"
"Base URL","Juuriosoite"
"Block with name ""%s"" already exists","Sisältölohko nimellä ""%s"" on jo olemassa"
"CSS Settings","CSS-asetukset"
"Cache Storage Management","Välimuistitilan hallinta"
"Can't retrieve request object","Pyydettyä kohdetta ei voida noutaa"
"Can't retrieve entity config: %s","Ei voida noutaa kokonaisuuden kokoonpanoa: %s"
"Cancel","Peruuta"
"Card type does not match credit card number.","Korttityyppi ei vastaa luottokorttinumeroa."
"Code","Koodi"
"Controller file was loaded but class does not exist","Ohjaustiedosto latautui mutta luokkaa ei ole olemassa"
"Cookie Domain","Evästeen verkkotunnus"
"Cookie Lifetime","Evästeen elinikä"
"Cookie Path","Evästeen polku"
"Cookie Restriction Mode","Evästerajoitustila"
"Country","Maa"
"Create Store","Luo kauppa"
"Create Store View","Luo kauppanäkymä"
"Create Website","Luo sivusto"
"Credit card number does not match credit card type.","Luottokorttinumero ei vastaa luottokorttityyppi."
"Custom Admin Path","Mukautettu järjestelmänvalvojan osoitepolku"
"Custom Admin URL","Mukautettu järjestelmänvalvojan URL"
"Custom Design","Muokattu ulkoasu"
"Custom Email 1","Mukautettava sähköposti 1"
"Custom Email 2","Mukautettava sähköposti 2"
"Custom Variables","Muokatut muuttujat"
"Customer Support","Asiakastuki"
"Dashboard","Hallintasivu"
"Date From","Pvm alkaen"
"Date To","Pvm päättyen"
"Debug","Vianselvitys"
"Default","Oletus"
"Default Country","Oletusmaa"
"Default No-route URL","Oletusarvoinen No-route URL-osoite"
"Default Pages","Oletussivut"
"Default Robots","Oletusrobotit"
"Default Store","Oletuskauppa"
"Default Store View","Oletuskauppanäkymä"
"Default Title","Oletusotsikko"
"Default Web URL","Oletusarvoinen URL-osoite"
"Delete","Poista"
"Delete Store","Poista kauppa"
