"* Required Fields","* Pakolliset kentät"
"Comment","Kommentti"
"Contact Form","Yhteydenottolomake"
"Contact Information","Yhteystiedot"
"Contact Us","Ota yhteyttä"
"Contacts","Kontaktit"
"Contacts Section","Yhteystiedot"
"Email","Sähköposti"
"Email Options","Sähköpostiasetukset"
"Email Sender","Sähköpostin Lähettäjä"
"Email Template","Sähköpostimalli"
"Enable Contact Us","Ota yhteydenottolomake käyttöön"
"Name","Nimi"
"Send Emails To","Lähetä sähköpostit"
"Submit","Lähetä"
"Telephone","Puhelin"
"Unable to submit your request. Please, try again later","Pyyntöäsi ei voitu lähettää. Yritä myöhemmin uudestaan"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Viestisi lähetettiin. Vastaamme mahdollisimman pian. Kiitos yhteydenotostasi."
