" and ","ja"
"(For US 2-letter state names)","(Yhdysvaltojen osavaltioiden kaksikirjaimiset nimet)"
"(If left empty will be auto-generated)","(Muodostetaan automaattisesti jos jätetään tyhjäksi)"
"(Leave empty for first spreadsheet)","(Jätä tyhjäksi ensimmäiselle taulukolle)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Tuotteet lisätään/päivitettään tähän kauppaan jos 'kauppa-sarake' on tyhjä tai puuttuu tiedostosta.)"
"(Shift-)Click or drag to change value","Klikkaa (vaihtonäppäin pohjassa) tai raahaa vaihtaaksesi arvoa"
"(Starting with)","(Alkaen)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Kun 'Ei', vain kartoitetut kentät tuodaan. Kartoitettaessa käytä 'sarake1', 'sarake2', jne.)"
"(You have to increase php memory_limit before changing this value)","(PHP:n memory_limit-arvoa täytyy kasvattaa ennen tämän arvon muuttamista)"
"(\t for tab)","(t = sarkain)"
"* Required Fields","* Pakolliset kentät"
"- Click on any of the time parts to increase it","- Klikkaa ajan päällä kasvattaaksesi sitä"
"- Hold mouse button on any of the above buttons for faster selection.","- Pidä hiiren nappia pohjassa minkä tahansa yllä olevan painikkeen päällä valitaksesi nopeammin."
"- Use the %s buttons to select month","- Käytä %s -painikkeita valitaksesi kuukauden"
"- Use the %s, %s buttons to select year","- Käytä %s, %s -painikkeita valitaksesi vuoden"
"- or Shift-click to decrease it","- tai klikkaa vaihtonäppäin pohjassa vähentääksesi sitä"
"- or click and drag for faster selection.","- tai klikkaa ja raahaa valitaksesi nopeammin."
"-- Please Select --","--- Valitse ---"
"-- Please Select a Category --","--- Valitse kategoria ---"
"-- Please select --","--- Valitse ---"
"--Please Select--","---Valitse---"
"1 Hour","1 tunti"
"12 Hours","12 tuntia"
"2 Hours","2 tuntia"
"24 Hours","24 tuntia"
"24h","24t"
"2YTD","Tämä ja viime vuosi"
"6 Hours","6 tuntia"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading""> 404 virhe</h1> <p>Sivua ei löydy.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Huomio</strong>: Captchassa kirjainkoolla on väliä."
"A user with the same user name or email already exists.","Samalla käyttäjätunnuksella tai sähköpostiosoitteella varustettu käyttäjä on jo olemassa."
"API Key","API avain"
"Abandoned Carts","Hylätyt ostoskorit"
"About the calendar","Tietoja kalenterista"
"Account Created in:","Asiakastili luotu (missä):"
"Account Created on (%s):","Tili luotu (%s):"
"Account Created on:","Asiakastili luotu (milloin):"
"Account Information","Tilin tiedot"
"Account Status","Tilin tila"
"Account status","Asiakastilin tila"
"Action","Toiminto"
"Actions","Toiminnot"
"Actions XML","Toimintojen XML"
"Active","Aktiivinen"
"Add","Lisää"
"Add Exception","Lisää poikkeus"
"Add Field Mapping","Lisää tietokenttien kartoitus"
"Add Field with URL:","Lisää kenttä URL:lla:"
"Add New","Lisää uusi"
"Add New Block","Lisää uusi lohko"
"Add New Image","Lisää uusi kuva"
"Add New Profile","Lisää uusi profiili"
"Add New Role","Lisää uusi rooli"
"Add New Template","Lisää uusi malli"
"Add New URL Rewrite","Lisää uusi URL-uudelleenohjaus"
"Add New User","Lisää uusi käyttäjä"
"Add New Variable","Lisää uusi muuttuja"
"Add Products","Lisää tuotteita"
"Add URL Rewrite","Lisää URL-uudelleenohjaus"
"Add URL Rewrite for a Category","Lisää URL-uudelleenohjaus kategorialle"
"Add URL Rewrite for a Product","Lisää URL-uudelleenohjaus tuotteelle"
"Add after","Lisää jälkeen"
"Additional Cache Management","Lisävälimuistin hallinta"
"Address Type:","Osoitteen tyyppi:"
"Admin","Ylläpito"
"Advanced Profiles","Edistyneet profiilit"
"All","Kaikki"
"All Allowed Countries","Kaikki sallitut maat"
"All Cache","Kaikki välimuistit"
"All Files","Kaikki tiedostot"
"All Reviews","Kaikki arvostelut"
"All Store Views","Kaikki kauppanäkymät"
"All Tags","Kaikki asiasanat"
"All Websites","Kaikki sivustot"
"All countries","Kaikki maat"
"All fields","Kaikki kentät"
"Amounts","Määrät"
"An error occurred while clearing the JavaScript/CSS cache.","Tapahtui virhe JavaScript/CSS-välimuistia tyhjennettäessä."
"An error occurred while clearing the image cache.","Tapahtui virhe kuvavälimuistia tyhjennettäessä."
"An error occurred while deleting this role.","Virhe poistaessa tätä roolia."
"An error occurred while saving account.","Tapahtui virhe tiliä tallennettaessa."
"An error occurred while saving this role.","Virhe tallennettaessa tätä roolia."
"Any","Mikä tahansa"
"Any Attribute Set","Mikä tahansa ominaisuuksien kokoelma"
"Any Group","Mikä tahansa ryhmä"
"Any Status","Mikä tahansa tila"
"Any Store","Mikä tahansa kauppa"
