"* Required Fields","* Pakolliset kentät"
"--Please Select--","---Valitse---"
"<label>Make Check payable to:</label> %s","<label>Kirjoita maksuosoitus henkilölle:</label> %s"
"Bank Transfer Payment","Tilisiirto"
"Card Verification Number","Luottokortin tarkistenumero"
"Cash On Delivery Payment","Postiennakko"
"Check / Money Order","Shekki- / rahatilaus"
"Credit Card Number","Luottokortin numero"
"Credit Card Number: xxxx-%s","Luottokortin numero: xxxx-%s"
"Credit Card Type","Luottokorttityyppi"
"Credit Card Type: %s","Luottokortin tyyppi: %s"
"Credit Card Types","Luottokorttityypit"
"Credit card type is not allowed for this payment method.","Luottokorttityyppi ei ole sallittu tälle maksutavalle."
"Currency","Valuutta"
"Day","Päivä"
"Enabled","Käytössä"
"Expiration Date","Viimeinen voimassaolopäivä"
"Expiration Date: %s/%s","Erääntymispäivä: %s/%s"
"Incorrect credit card expiration date.","Väärä luottokortin vanhentumispäivämäärä."
"Instructions","Ohjeet"
"Invalid Credit Card Number","Virheellinen luottokorttinumero"
"Issue Number","Tapausnumero"
"Make Check payable to:","Tee shekki maksettavaksi:"
"Make Check payable to: %s","Kirjoita maksuosoitus henkilölle: %s"
"Maximum Order Total","Maksimitilausmäärä"
"Merchant ID","Kauppias-ID"
"Minimum Order Total","Vähimmäistilausmäärä"
"Month","Kuukausi"
"N/A","Ei tietoa"
"Name on Card","Kortissa oleva nimi"
"Name on the Card: %s","Kortissa oleva nimi: %s"
"New Order Status","Uuden tilauksen tila"
"Password","Salasana"
"Payment Method","Maksutapa"
"Payment Methods","Maksutavat"
"Payment Services","Maksupalvelut"
"Payment from Applicable Countries","Maksu mahdollisista maista"
"Payment from Specific Countries","Maksu mahdollisista maista"
"Please enter a valid credit card verification number.","Anna kelvollinen luottokortin tarkistenumero."
"Purchase Order","Ostotilaus"
"Purchase Order Number","Ostotilausnumero"
"Purchase Order Number: %s","Ostoksen tilausnumero: %s"
"Saved CC","Tallennettu luottokortti"
"Selected payment type is not allowed for billing country.","Valittu maksutapa ei ole sallittu laskutusmaalle."
"Send Check to","Lähetä maksuosoitus (kenelle)"
"Send Check to:","Lähetä shekki:"
"Shipping Amount","Lähetyskulut"
"Sort Order","Lajittelujärjestys"
"Start Date","Alkamispäivä"
"Tax Amount","Veron määrä"
"Test Mode","Testitila"
"The requested Payment Method is not available.","Valittu maksutapa ei ole käytettävissä."
"Title","Otsikko"
"What is this?","Mikä tämä on?"
"Year","Vuosi"
"Zero Subtotal Checkout","Tilauksen loppusumma"
