"All Websites","Kaikki sivustot"
"Display Prices In Emails","Näytä hinnat sähköposteissa"
"Display Prices In Product Lists","Näytä hinnat tuotelistassa"
"Display Prices In Sales Modules","Näytä hinnat myyntimoduuleissa"
"Display Prices On Product View Page","Näytä hinnat tuotesivulla"
"Enable FPT","Ota kiinteämääräinen vero käyttöön"
"Excluding FPT","Ilman kiinteää veroa"
"Excluding FPT, FPT description, final price","Sisältäen vain kuvauksen ja lopullisen hinnan"
"Fixed Product Tax","Kiinteä tuotevero"
"Fixed Product Taxes","Kiinteät tuoteverot"
"Include FPT In Subtotal","Sisällytä kiinteämääräinen vero välisummaan"
"Including FPT and FPT description [incl. FPT VAT]","Sisältäen kiinteän veron ja kuvauksen [sis. ALV]"
"Including FPT only","Sisältäen vain kiinteän veron"
"Total","Yhteensä"
"Total Incl. Tax","Verollinen yhteensä"
"Total incl. tax","Yhteensä verollinen"
"Total:","Yhteensä:"
