"%s - Discounts and Coupons","%s – Alennukset ja kupongit"
"%s has reached a quantity of %s.","%s on saavuttanut määrän %s."
"%s's Wishlist","Asiakkaan %s toivelista"
"Cannot retrieve the wishlist","Toivelistaa ei voida noutaa"
"Catalog","Katalogi"
"Click for price","Klikkaa nähdäksesi hinnan"
"Comment: %s<br/>","Kommentti: %s<br/>"
"Coupons/Discounts","Kupongit / alennukset"
"Current Status: %s<br/>","Nykyinen tila: %s<br/>"
"Customer Name: %s","Asiakkaan nimi: %s"
"Customer Order Status Notification","Asiakkaan tilauksen tilan tiedote"
"Details for %s #%s","Yksityiskohdat  %s #%s"
"Discount","Alennus"
"Discount (%s)","Alennus (%s)"
"Enable RSS","Ota RSS käyttöön"
"Error in processing xml. %s","Virhe prosessoidessa xml:ää %s"
"From:","Alkaen:"
"Get Feed","Hae syöte"
"Gift Message","Lahjaviesti"
"Grand Total","Loppusumma"
"Low Stock Products","Tuotteet, joilla on alhainen varastosaldo"
"Message:","Viesti:"
"Miscellaneous Feeds","Sekalaiset syötteet"
"New Orders","Uudet tilaukset"
"New Products","Uudet tuotteet"
"New Products from %s","%s:n uudet tuotteet"
"Notified Date: %s<br/>","Päivämäärä jolloin ilmoitettu: %s<br/>"
"Order","Tilaus"
"Order # %s Notification(s)","Tilauksen # %s ilmoitukset"
"Order #%s created at %s","Tilaus #%s luotu (missä) %s"
"Pending product review(s)","Odottavat arvostelut"
"Product: ""%s"" review By: %s","Tuote: ""%s"" arvostellut: %s"
"Product: <a href=""%s"">%s</a> <br/>","Tuote: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Tuotte jotka merkitty asiasanalla %s"
"Purchased From: %s","Ostettu (mistä): %s"
"RSS Feeds","RSS-syötteet"
"Review: %s <br/>","Arvostelu: %s <br/>"
"Rss Config","RSS-asetukset"
"Shipping &amp; Handling","Lähetys- ja käsittelykulut"
"Special Products","Erikoistuotteet"
"Store: %s <br/>","Kauppa: %s <br/>"
"Subtotal","Välisumma"
"Summary of review: %s <br/>","Arvostelun yhteenveto: %s <br/>"
"Tags Products","Asiasanatuotteet"
"Tax","Vero"
"To:","Vastaanottaja:"
"Top Level Category","Ylätason kategoria"
"Total: %s<br/>","Kokonaissumma: %s<br/>"
"Wishlist","Toivelista"
"click <a href=""%s"">here</a> to view the review","klikkaa <a href=""%s"">TÄTÄ</a> katsoaksesi arvostelu"
