"%d Review(s)","%d arvostelu(a)"
"%s Review(s)","%s arvostelu(a)"
"(Posted on %s)","(Lähetetty %s)"
"1 star","1 tähti"
"2 stars","2 tähteä"
"3 stars","3 tähteä"
"4 stars","4 tähteä"
"5 stars","5 tähteä"
"Add New Review","Lisää uusi arvostelu"
"Add Your Review","Lisää arviosi"
"Administrator","Ylläpitäjä"
"All Reviews","Kaikki arvostelut"
"Allow Guests to Write Reviews","Salli kirjautumattomien lähettää arvioita"
"Approved","Hyväksytty"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Are you sure?","Oletko varma?"
"Average Customer Rating","Arvioiden keskiarvo"
"Average Customer Rating:","Arvioiden keskiarvo:"
"Back","Takaisin"
"Back to My Reviews","Takaisin arvosteluihini"
"Back to Product Reviews","Takaisin tuotteiden arvosteluihin"
"Be the first to review this product","Ole ensimmäinen tuotteen arvostelija"
"Created On","Luotu"
"Customer","Asiakas"
"Customer Reviews","Asiakkaiden arvostelut"
"Customers Reviews","Asiakkaiden arvostelut"
"Delete","Poista"
"Delete Review","Poista arvostelu"
"Detailed Rating","Yksityiskohtainen arvio"
"Edit Review '%s'","Muokkaa arvostelua '%s'"
"Guest","Vieras"
"How do you rate this product?","Miten arvioisit tämän tuotteen?"
"ID","Tunnus"
"Manage Ratings","Hallinnoi arvioita"
"My Product Reviews","Omat tuotearvosteluni"
"My Recent Reviews","Viimeisimmät arvosteluni"
"Name","Nimi"
"New Review","Lisää arvostelu"
"Nickname","Nimimerkki"
"Not Approved","Ei hyväksytyt"
"Pending","Odottaa"
"Pending Reviews","Odottavat tuotearvostelut"
"Please select a product","Valitse tuote"
"Please select one of each of the ratings above","Valitse jokin yllä olevista arvioista"
"Posted By","Postittanut"
"Price","Hinta"
"Product","Tuote"
"Product Name","Tuotenimi"
"Product Rating","Tuotearvio"
"Product Rating:","Tuotearvio:"
"Product Review (submitted on %s):","Tuotearvostelu (lähetetty %s):"
"Product Reviews","Tuotteen arvostelut"
"Product SKU","Tuotteen tuotekoodi"
"Products Reviews","Tuotteiden arvostelut"
"Qty","Määrä"
"Rating:","Arvio:"
"Review","Arvostelu"
"Review Details","Näytä yksityiskohdat"
"Review by %s","Arvostellut %s"
"Reviews","Arvostelut"
"SKU","Tuotenro"
"Save Review","Tallenna arvostelu"
"Status","Tila"
"Submit Review","Lähetä arvostelu"
"Summary Rating","Arvion yhteenveto"
"Summary of Review","Arvostelun yhteenveto"
"Summary of Your Review","Arvostelusi yhteenveto"
"Title","Otsikko"
"Type","Tyyppi"
"View All Reviews","Katso kaikki arvostelut"
"View Details","Näytä yksityiskohdat"
"Visible In","Näkyvillä"
"Websites","Sivustot"
"Write Your Own Review","Kirjoita oma arvostelusi"
"You have submitted no reviews.","Et ole lähettänyt tuotearvosteluja."
"You're reviewing:","Olet arvostelemassa:"
"Your Rating:","Arviosi:"
"Your Review (submitted on %s):","Arvostelusi (lähetetty %s):"
