"Action","アクション"
"Are you sure you want to delete the selected backup(s)?","選択したバックアップを削除してもいいですか?"
"Backups","バックアップ"
"Create Backup","バックアップ作成"
"Database","データベース"
"Database Backup","データベースバックアップ"
"Database and Media","データベースとメディア"
"Database and Media Backup","データベースとメディアバックアップ"
"Database was successfuly backed up.","データベースはバックアップされました。"
"Download","ダウンロード"
"Enable Scheduled Backup","スケジュールバックアップを有効にする"
"Frequency","頻度"
"Maintenance Mode","メンテナンスモード"
"Name","名前"
"Rollback","ロールバック"
"Start Time","開始時間"
"System","システム"
"System (excluding Media)","システム (メディア以外)"
"System Backup","システムバックアップ"
"Time","時間"
"Type","種別"
"Unable to create backup. Please, try again later.","バックアップできませんでした。後でもう一度お試しください。"
