"Add Minimum Qty","最小個数を追加"
"Allow Qty Below 0","在庫数0個以下を許可する"
"Allow Qty Below 0 and Notify Customer","在庫数0個以下を許可し、顧客に通知する"
"Automatically Return Credit Memo Item to Stock","返金時に在庫数を更新する"
"Backorders","バックオーダー"
"By Fixed value","固定値"
"By Percentage","固定率"
"Catalog Inventory","カタログ在庫品"
"Decrease Stock When Order is Placed","注文を受けると在庫を減らす。"
"Display Out of Stock Products","在庫切れ商品を表示する"
"Enable Qty Increments","個数の増分を許可する"
"In Stock","在庫あり"
"Inventory","在庫"
"Inventory API","棚卸API"
"Manage Stock","在庫管理"
"Maximum Qty Allowed in Shopping Cart","カートの中で許可する最大個数"
"Minimum Qty","最小個数"
"Minimum Qty Allowed in Shopping Cart","カートの中で許可する最小個数"
"No Backorders","バックオーダーなし"
"Notify for Quantity Below","これ以下の数量になれば通知"
"Only X left Threshold","「X点在庫有り」と表記する閾値"
"Out of Stock","在庫切れ"
"Product Name","商品名"
"Product Stock Options","商品在庫オプション"
"Products will still be shown by direct product URLs.","商品は商品のURLで表示され続けます。"
"Qty","個数"
"Qty Increments","個数の増分"
"Retrieve stock data","回収ストックデータ"
"Retrieve stock data by product ids","商品IDを使って在庫情報を復元する"
"Rule price","値引き"
"Set Items' Status to be In Stock When Order is Cancelled","注文がキャンセルされたときにはセット商品の状態を在庫ありにする"
"Stock Options","ストックオプション"
"Stock Status","在庫状況"
"The maximum quantity allowed for purchase is %s.","購入可能な最大量は%sです。"
"The minimum quantity allowed for purchase is %s.","購入可能な最小量は%sです。"
"The requested quantity for ""%s"" is not available.","""%s""への要求された数量はご用意できません。"
"The stock item for Product in option is not valid.","オプション商品の在庫数が不正です。"
"This product is currently out of stock.","この商品は現在在庫切れです。"
"To Fixed Value","固定値"
"To Percentage","割合"
"Update","更新"
"Update product stock data","商品在庫データを更新する"
"Update the Product","商品を更新"
