"%s's Wishlist","%sのほしい物リスト"
"* Required Fields","* 必須項目"
"Add All to Cart","すべてをカートに入れる"
"Add to Cart","カートに入れる"
"Add to Compare","比較リストに入れる"
"Add to Wishlist","欲しい物リストに追加"
"Added From","から追加しました"
"Are you sure you want to remove this product from your wishlist?","本当にほしい物リストからこの商品を削除してよろしいですか？"
"Are you sure you would like to remove this item from the wishlist?","本当にほしい物リストから削除しますか？"
"Back","戻る"
"Can't save description %s","説明を保存できません %s"
"Cannot specify product.","商品を特定できません。"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","あなたのほしい物リストへのRSSフィードにリンクするなら、ここをチェックしてください"
"Click for price","クリックして価格を表示"
"Comment","コメント"
"Comment:","コメント:"
"Date Added","登録日"
"Days in Wishlist","ほしい物リストの日付"
"Edit","編集"
"Email Sender","メール送信者"
"Email Template","メールテンプレート"
"Email address can't be empty.","メールアドレスを入力してください。"
"Email addresses, separated by commas","メールアドレスは「,」で区切る必要があります"
"Enabled","有効"
"General Options","全般オプション"
"Go to Wishlist","ほしい物リストへいく"
"In stock","在庫あり"
"Last Added Items","最後に追加した商品"
"Message","メッセージ"
"My Wishlist","ほしい物リスト"
"My Wishlist (%d item)","ほしい物リスト(%dアイテム)"
"My Wishlist (%d items)","ほしい物リスト(%dアイテム)"
"Options Details","オプションの概要"
"Out of stock","在庫切れ"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","正しいメールアドレスを「,」で区切って入力してください。（例）johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","コメントの登録をお願いします"
"Price","価格"
"Product","商品"
"Product Details and Comment","商品の詳細とコメント"
"Qty","個数"
"RSS Feed","RSSフィード"
"RSS link to %s's wishlist","%sのほしい物リストへのRSSリンク"
"Remove Item","商品を削除"
"Remove This Item","この商品を削除する"
"Remove item","商品を削除"
"SKU","商品番号"
"Share Options","共有オプション"
"Share Wishlist","ほしい物リストを共有"
"Share Your Wishlist","ほしい物リストを共有"
"Sharing Information","共有している情報"
"Update Wishlist","ほしい物リスト更新"
"User Description","ユーザー概要"
"View Details","詳細を表示"
"View Product","商品を表示"
"What's this?","これは何ですか？"
"Wishlist","欲しいものリスト"
"Wishlist Sharing","ほしい物リストを共有しています"
"Wishlist is empty now.","ほしい物リストは空です。"
"You have no items in your wishlist.","あなたのほしい物リストには商品がありません"
