"-- Please Select --","-- 選択してください --"
"Add Block Names to Hints","ブロック名をヒントに追加する"
"Add Secret Key to URLs","URLにシークレットキーを付与"
"Add Store Code to Urls","店舗コードをURLに追加"
"Admin","管理者"
"Admin Base URL","管理ページベースURL"
"Admin User Emails","管理者メールアドレス"
"Advanced","高度な設定"
"Allow Countries","許可する国"
"Allow Symlinks","シンボリックリンクを許可する"
"Allowed IPs (comma separated)","許可されたIP(コンマ区切り)"
"Anchor Text for Next","次ページへのアンカーテキスト"
"Anchor Text for Previous","前ページへのアンカーテキスト"
"Are you sure?","よろしいですか？"
"Auto-redirect to Base URL","ベースURLに自動リダイレクトする"
"Back","戻る"
"Backup Options","バックアップオプション"
"Base JavaScript URL","JavascriptベースURL"
"Base Link URL","リンクベースURL"
"Base Media URL","メディアベースURL"
"Base Skin URL","スキンベースURL"
"Base URL","ベースURL"
"Block with name ""%s"" already exists","""%s""の名前のブロックはすでに存在します"
"Browser Capabilities Detection","ブラウザ互換性検出"
"CSS Settings","CSS設定"
"Cache Storage Management","キャッシュストレージ管理"
"Can't retrieve request object","リクエストオブジェクトを取得できません"
"Can't retrieve entity config: %s","エントリ属性を取得できませんでした: %s"
"Cancel","キャンセル"
"Cannot complete this operation from non-admin area.","管理者ではない場所からの操作を完了できませんでした。"
"Card type does not match credit card number.","カードブランドが番号と一致しません。"
"Code","コード"
"Controller file was loaded but class does not exist","コントローラはロードされていますがクラスがありません。"
"Cookie Domain","Cookieドメイン"
"Cookie Lifetime","Cookieの有効期限"
"Cookie Path","Cookieパス"
"Cookie Restriction Mode","Cookie制限モード"
"Copyright","コピーライト"
"Country","国"
"Create Store","店舗を作成"
"Create Store View","ストアビューを作成"
"Create Website","ウェブサイトを作成"
"Credit card number does not match credit card type.","カード番号がブランドと一致していません。"
"Custom Admin Path","カスタム管理者パス"
"Custom Admin URL","カスタム管理者URL"
"Custom Design","カスタムデザイン"
"Custom Email 1","カスタムメールアドレス１"
"Custom Email 2","カスタムメールアドレス２"
"Custom Variables","カスタム変数"
"Customer Support","顧客サポート"
"Dashboard","ダッシュボード"
"Date From","開始日"
"Date To","終了日"
"Date/time format ""%s"" is not supported.","日付のフォーマット ""%s"" はサポートされていません。"
"Debug","デバッグ"
"Default","標準"
"Default Country","標準の国"
"Default Description","初期説明"
"Default Keywords","初期キーワード"
"Default No-route URL","標準の404ページURL"
"Default Pages","標準のページ"
"Default Robots","標準のrobots.txt"
"Default Store","標準の店舗"
"Default Store View","標準のストアビュー"
"Default Title","標準タイトル"
"Default Web URL","標準ウェブURL"
"Delete","削除"
"Delete Store","店舗を削除"
"Delete Store View","ストアビューを削除"
"Delete Website","ウェブサイトの削除"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","%1$s を削除しても %1$s (例えば、カテゴリや製品など) に関連した情報は削除しません。但し %1$s は元に戻すことはできません。 %1$s を削除する前にデータベースのバックアップを取得する事をおすすめします。"
"Design","デザイン"
"Design Change","デザイン変更"
"Developer","開発者向け"
"Developer Client Restrictions","開発者クライアント制限"
"Disable Email Communications","Eメール連絡を無効にする"
"Disable Modules Output","無効なモジュール出力"
"Display Demo Store Notice","デモストア通知の表示"
"Duplicate Of Template Name","テンプレート名の複製"
"Edit Design Change","デザイン変更の編集"
"Edit Store","店舗を編集"
"Edit Store View","ストアビューを編集"
"Edit Website","ウェブサイトの編集"
"Empty identifier field name","空の識別子名"
"Empty main table name","空のメインテーブル名"
"Enable Charts","グラフを有効にする"
"Enabled","有効"
"Enabled for Admin","管理者ページで有効にする"
"Enabled for Frontend","フロントエンドで有効にする"
"Environment Update Time","集計期間"
"Error in file: ""%s"" - %s","ファイル内でエラーが発生しました: ""%s"" -%s"
"European Union Countries","EU加盟国"
"Exceptions Log File Name","例外ログファイル名"
"Favicon Icon","ファビコン"
"File not found","ファイルが見つかりません"
"File system","ファイルシステム"
"File with an extension ""%value%"" is protected and cannot be uploaded","拡張子 ""%value%"" のファイルは保護されているためアップロードできません"
"First Day of Week","週の始まり"
"Flush Cache Storage","キャッシュストレージをリフレッシュする"
"Footer","フッター"
"Forgot Password Email Sender","パスワードリマインダメール送信者"
"Forgot Password Email Template","パスワードリマインダメールテンプレート"
"General","全般"
"General Contact","総合受付"
"General Settings","全般設定"
"Global","グローバル"
"HTML Head","HTML ヘッダ"
"Header","ヘッダー"
"Host","ホスト"
"How many links to display at once.","一度に何件のリンクを表示しますか？"
"Incorrect credit card expiration date.","正しくない有効期限です。"
"Input type ""%value%"" not found in the input types list.","入力形式 ""%value%"" は入力形式リストにありません。"
"Invalid base url type","不正なベースURLタイプ"
"Invalid block type: %s","不正なブロック名です: %s"
"Invalid block: %s","不正なブロック: %s"
"Invalid date","不正な日付"
"Invalid layout update handle","無効なレイアウトを更新しようとしました。"
"Invalid messages storage ""%s"" for layout messages initialization","レイアウトメッセージ初期化で不正なメッセージストレージ ""%s"""
"JavaScript Settings","JavaScript設定"
"Layout","レイアウト"
"Leave empty for access from any location.","どこからでもアクセス可能にする場合は空白にしてください。"
"Locale","ロケール"
"Locale Options","ロケールオプション"
"Log Settings","ログ設定"
"Login is Case Sensitive","ログインIDの大文字小文字を区別する"
"Logo Image","ロゴ画像"
"Logo Image Alt","ロゴイメージAlt"
"Logo Image Src","Src ロゴイメージ"
"Mail Sending Settings","メール送信設定"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","BaseURLは”/”で終了させてください。 例：http://yourdomain/magento/"
"Match expressions in the same order as displayed in the configuration.","画面に表示する順序が同じになるようあわせてください"
"Media Storage","メディアストレージ"
"Merge CSS Files","CSSファイルをマージする"
"Merge JavaScript Files","Javascriptファイルをマージする"
"Miscellaneous HTML","色々な HTML"
"Name","名前"
"New Design Change","新しいデザイン変更"
"New Store","新しい店舗"
"New Store View","新しいストアビュー"
"New Website","新規ウェブサイト"
"No","いいえ"
"Offloader header","オフローダーヘッダー"
"PHP SOAP extension is required.","PHP SOAPエクステンションが必要です。"
"Package","小包"
"Pagination","ページング"
"Pagination Frame","ページング設定"
"Pagination Frame Skip","ページングスキップ間隔"
"Path ""%value%"" is not available and cannot be used.","パス ""%value%"" は利用できません。"
"Path ""%value%"" is protected and cannot be used.","パス ""%value%"" は保護されていて使用できません。"
"Please define flag code.","フラグコードを決めてください。"
"Please enter a number 0 or greater in this field.","0以上の数字を入力してください。"
"Please enter a number 1 or greater in this field.","1またはそれ以上の数字を入力してください。"
"Please enter a number greater than 0 in this field.","0以上の数を入力してください。"
"Please enter a valid $ amount. For example $100.00.","正しい金額表示で入力してください。(例) $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","正しいURLを入力してください。（例：http://www.example.com または www.example.com）"
"Please enter a valid credit card number.","正しいクレジットカード番号を入力してください。"
"Please enter a valid credit card verification number.","正しいカード確認番号を入力してください"
"Please enter a valid date.","正しい日付を入力してください。"
"Please enter a valid email address. For example johndoe@domain.com.","正しいメールアドレスを入力してください。（例：johndoe@domain.com）"
"Please enter a valid month (1-12).","正しい月を入力してください (1-12)."
"Please enter a valid number in this field.","正しい数字で入力してください。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","正しい電話番号の形式で入力してください。（例：(123) 456-7890 or 123-456-7890）"
"Please enter a valid social security number. For example 123-45-6789.","正しい社会保障番号を入力してください。（例：123-45-6789）"
"Please enter a valid zip code.","正しい郵便番号を入力してください。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","正しい郵便番号を入力してください。（例：123-4567）"
"Please enter issue number or start date for switch/solo card type.","switch/soloカード・タイプのイシュー番号あるいは開始日を入力してください"
"Please make sure your passwords match.","パスワードが合っているか確かめてください"
"Please select State/Province.","地域を選択してください"
"Please select an option.","オプションを選択してください。"
"Please select one of the above options.","オプションをひとつ選択してください。"
"Please select one of the options.","1つ以上のオプションを選択してください。"
"Please set available and/or protected paths list(s) before validation.","チェックの前に利用可能か保護されているパスをセットしてください。"
"Please use letters only (a-z or A-Z) in this field.","この入力エリアには (a-z or A-Z) 文字のみが使用できます。"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","コードは半角英数字で先頭は半角英字でなくてはなりません。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","日付の形式は右の通りです: dd/mm/yyyy. （例: 17/03/2006 は 2006年3月17日）。"
"Please wait, loading...","読み込み中です"
"Polls","投票"
"Port (25)","ポート (25)"
"Profiler","プロファイラ"
"Recovery Link Expiration Period (hours)","パスワード再設定リンクの有効期限(時間)"
"Request Path for Specified Store","特定の店舗へのリクエストパス"
"Requested invalid store ""%s""","正しくないストア ""%s""がリクエストされました"
"Return-Path Email","Return-Pathメールアドレス"
"Root Category","ルートカテゴリ"
"Sales Representative","販売担当者"
"Save","保存"
"Save Store","店舗を保存"
"Save Store View","ストアビューを保存"
"Save Website","ウェブサイトを保存"
"Search Engines Optimization","検索エンジン最適化"
"Secure","セキュア"
"Security","セキュリティ"
"Select Date","日付を選択"
"Select Media Database","メディアストレージを選択"
"Sender Email","送信者メールアドレス"
"Sender Name","送信者名"
"Services","サービス"
"Session Validation Settings","セッション設定確認"
"Set Return-Path","Return-Pathを設定する"
"Set as Default","標準にする"
"Skin (Images / CSS)","スキン(画像/CSS)"
"Sort Order","表示順"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","指定された日付/時間の形式 ""%1$s"" が形式 ""%2$s"" と一致しません"
"Startup Page","開始ページ"
"Status","ステータス"
"Storage Configuration for Media","メディアストレージ設定"
"Store","店舗"
"Store Email Addresses","店舗のメールアドレス"
"Store Hours of Operation","営業時間"
"Store Information","ストア情報"
"Store Name","店舗名"
"Store View","ストアビュー"
"Store View Information","ストアビュー情報"
"Store View Name","ストアビュー名"
"Store view doesn't exist","ストアビューが存在しません"
"Store with the same code","同じコードの店舗です"
"System","システム"
"System Log File Name","システムログファイル名"
"Template Path Hints","テンプレートパスヒント"
"Template Settings","テンプレート設定"
"Template Variables","テンプレート変数"
"Templates","テンプレート"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","あなたが入った( %s )は無効です。 ""http://domain.com/"" のフォーマットに沿っているか確認してください。"
"The store does not exist","店舗がありません。"
"The value is not within the specified range.","値が指定された範囲にありません。"
"The website does not exist.","ウェブサイトがありません。"
"Themes","テーマ"
"This category and all its child elements","このカテゴリとその子要素すべて"
"This category and its child categories only","このカテゴリとその子カテゴリのみ"
"This category and its products only","このカテゴリと商品のみ"
"This category only","このカテゴリのみ"
"This is a required field.","必須項目です"
"This store cannot be deleted.","店舗を削除する事はできません。"
"This store view cannot be deleted.","ストアビューを削除する事はできません。"
"This website cannot be deleted.","ウェブサイトを削除する事はできません。"
"This will be included before head closing tag in page HTML.","ページのHTMLのheadタグ終了前に追記されます。"
"Timezone","タイムゾーン"
"Title Prefix","タイトル"
"Title Suffix","タイトルをつける"
"Transactional Emails","取引メール"
"Translate Inline","インライン翻訳"
"Translations","翻訳"
"Unable to delete store view. Please, try again later.","ストアビューを削除する事ができません。後でもう一度ためしてください。"
"Unable to delete store. Please, try again later.","ストアを削除する事ができません。後でもう一度ためしてください。"
"Unable to delete website. Please, try again later.","ウェブサイトを削除する事ができません。後でもう一度ためしてください。"
"Unable to proceed. Please, try again","処理できません。やり直してください。"
"Unsecure","非セキュア"
"Url Options","URLオプション"
"Use Custom Admin Path","カスタム管理者パスを使用する"
"Use Custom Admin URL","カスタム管理者URLを使用する"
"Use HTTP Only","HTTPだけ使用可能"
"None","なし"
"Use Secure URLs in Admin","セキュアURLを管理者ページで使用する"
"Use Secure URLs in Frontend","フロントエンドでセキュアURLを使う"
"Use Web Server Rewrites","ウェブサーバーリライトを使用する"
"VAT Number","VAT番号"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENTを検証する"
"Validate HTTP_VIA","HTTP_VIA を検証する"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR を検証する"
"Validate REMOTE_ADDR","REMOTE_ADDR を検証する"
"Validation has failed.","認証失敗"
"Variable Code must be unique.","変数のコードはユニークである必要があります。"
"Web","ウェブ"
"Website","ウェブサイト"
"Website Information","ウェブサイト情報"
