"* Required Fields","* 必須項目"
"ALL GROUPS","全てのグループ"
"Account Dashboard","アカウントダッシュボード"
"Account Information","アカウント情報"
"Account Sharing Options","アカウント設定オプション"
"Action","アクション"
"Add New Address","アカウント追加"
"Add New Customer","新規顧客の追加"
"Add New Customer Group","新規顧客グループの追加"
"Added From","から追加しました"
"Additional Address Entries","追加住所情報"
"Address","住所"
"Address Book","アドレス帳"
"Address Information","住所情報"
"Address Templates","住所表記テンプレート"
"Addresses","住所"
"Admin","管理者"
"All","Default Category"
"All Store Views","全てのストアビュー"
"All countries","全ての国"
"Always optional.","常に任意"
"Amount","金額"
"Approved","受付済"
"Are you sure that you want to remove this item?","このアイテムを削除してもいいですか？"
"Are you sure you want to cancel adding of this address?","この住所の追加を取りやめてもいいですか？"
"Are you sure you want to delete this address?","この住所を削除してもよろしいですか？"
"Are you sure?","よろしいですか？"
"Assign a Customer Group","顧客グループに割り当てる"
"Average Sale","平均売上"
"Back","戻る"
"Back to Login","ログイン画面に戻る"
"Bad request.","不正なリクエスト。"
"Bill to Name","ビル名"
"Bought From","購入元"
"By Email","メールアドレス"
"By IP","IPアドレス"
"By IP and Email","IPアドレスとメールアドレス"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","アカウントを作成いただくと、お買い物がよりスピーディーに行え、複数のお届け先を登録できます。また、ご注文の追跡などができます。"
"CSV","CSVファイル"
"Cancel","キャンセル"
"Change Account Password","パスワード変更"
"Change Billing Address","ご連絡先住所変更"
"Change Password","パスワード変更"
"Change Shipping Address","配送先住所変更"
"City","市区町村"
"Company","会社名"
"Config","設定"
"Configure","構成"
"Confirm New Password","新パスワード確認"
"Confirm Password","パスワード再確認"
"Confirmation Link Email","確認リンクEメール"
"Confirmed","確認"
"Contact Information","連絡先情報"
"Continue Shopping","お買い物を続ける"
"Country","国"
"Create","作成"
"Create New Account Options","新規アカウント作成オプション"
"Create New Customer Account","新規顧客アカウントを作成"
"Create Order","注文作成"
"Create an Account","アカウント作成"
"Create customer","顧客作成"
"Create customer address","顧客住所を作成"
"Current Password","現在のパスワード"
"Customer","顧客"
"Customer Addresses","顧客住所"
"Customer Configuration","顧客設定"
"Customer Group","顧客グループ"
"Customer Groups","顧客グループ"
"Customer Information","顧客情報"
"Customer Login","顧客ログイン日時"""
"Customer Since","顧客作成日"
"Customer View","フロントエンドを表示"
"Customer will stay on the current page if ""No"" is selected.","もし、""いいえ""が選択された場合、顧客は現在のページから移動しません。"
"Customers","顧客"
"Customers Only","顧客のみ"
"Customers Section","顧客セクション"
"DD","ＤＤ"
"Date","日付"
"Date Added","登録日"
"Date of Birth","誕生日"
"Day","日"
"Days in Wishlist","ほしい物リストの日付"
"Default Addresses","標準住所"
"Default Billing Address","標準ご連絡先住所"
"Default Email Domain","標準のメールアドレスドメイン"
"Default Group","標準のグループ"
"Default Shipping Address","標準配送先住所"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT IDに基づくグループ自動割り当てを無効にする"
"Default Welcome Email","標準のウェルカムメール"
"Delete","削除"
"Delete Address","住所の削除"
"Delete Customer","顧客の削除"
"Delete Customer Group","顧客グループの削除"
"Delete customer","顧客削除"
"Delete customer address","顧客住所削除"
"Deleted Stores","ストアを削除"
"Details","詳細"
"Disabled","無効"
"Edit","編集"
"Edit Account Info","アカウント情報編集"
"Edit Account Information","アカウント情報編集"
"Edit Address","住所を編集"
"Edit Address Entry","住所の編集"
"Edit Customer Group ""%s""","顧客グループ ""%s""を編集"
"Edit Customer Groups","顧客グループを編集"
"Edit Customer's Address","顧客の住所を編集"
"Edit Group","グループの編集"
"Edit Newsletters","メールマガジンの編集"
"Email","Eメール"
"Email Address","メールアドレス"
"Email Sender","メール送信者"
"Email:","メール:"
"Enable Automatic Assignment to Customer Group","自動グループ割当を有効にする"
"Excel XML","Excel形式XML"
"Failed to confirm customer account.","顧客アカウントの認証に失敗しました"
"Fax","FAX"
"First Name","名"
"Forgot Email Template","リマインダーテンプレート"
"Forgot Password","パスワードをお忘れですか"
"Forgot Your Password?","パスワードをお忘れですか？"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","マイアカウントダッシュボードでは最近のアカウントの活動と更新、アカウント情報を見る事ができます。以下のリンクを選択して表示または編集することができます。"
"Gender","性別"
"General Subscription","総合情報"
"Generate Human-Friendly Customer ID","人間にわかりやすい顧客IDを生成する"
"Global","グローバル"
"Group","グループ"
"Group Information","グループ情報"
"Group Name","グループ名"
"Group for Invalid VAT ID","不正なVAT番号です"
"Group for Valid VAT ID - Domestic","正規VAT番号グループ - 国内"
"Group for Valid VAT ID - Intra-Union","正規VAT番号グループ - 国際"
"Guest","ゲスト様"
"Hello, %s!","ようこそ, %s様!"
"IP Address","IPアドレス"
"If you have an account with us, please log in.","アカウントをお持ちの場合は、ログインをお願いします。"
"Invalid current password","不正なパスワードです"
"Invalid customer data","不正な顧客データ"
"Invalid login or password.","ログイン名かパスワードが違います。"
"Last Activity","最近の行動"
"Last Date Subscribed","最終購読日"
"Last Date Unsubscribed","最終購読解除日"
"Last Name","姓"
"Leave empty for default (15 minutes).","空白の場合は、初期値(15分)になります。"
"Leave empty for default (2). Valid range: 1-4","空白の場合は初期値(2)になります。 有効範囲: 1-4"
"Lifetime Sales","セール期間"
"Log In","ログイン"
"Log Out","ログアウト"
"Login","ログイン"
"Login Information","ログイン情報"
"Login Options","ログインオプション"
"Login or Create an Account","ログインまたはアカウント新規作成"
"MM","月"
"Manage Addresses","住所管理"
"Manage Customers","顧客管理"
"Month","月"
"My Account","マイアカウント"
"My Dashboard","マイダッシュボード"
"My Orders","ご注文"
"Name","名前"
"Name and Address Options","名前と住所のオプション"
"Never","まだ"
"New Address","新しい住所"
"New Address Entry","住所新規登録"
"New Customer","新規顧客"
"New Customer Address","新規顧客住所"
"New Customer Group","新規顧客グループ"
"New Customer Groups","新規顧客グループ"
"New Customers","まだご登録いただいていないお客様"
"New Group","新規グループ"
"New Password","新パスワード"
"New account","新しいアカウント"
"New account confirmation key","新しいアカウントの確認キー"
"New account confirmed","新しいアカウント確認"
"Newsletter","ニュースレター"
"Newsletter Finish","メールマガジン終了"
"Newsletter Information","ニュースレター情報"
"Newsletter Received","受信メールマガジン"
"Newsletter Start","メールマガジン評価t"
"Newsletter Subscription","ニュースレター購読"
"Newsletters","ニュースレター"
"No Items Found","商品が見つかりませんでした"
"No Newsletter Found","ニュースレターが見つかりませんでした"
"No item specified.","アイテムが指定されていません。"
"Not Sent","未送信"
"Not confirmed, can login","認証されていないため、ログインできません"
"Not confirmed, cannot login","認証されていないため、ログインできません"
"Offline","オフライン"
"Online","オンライン"
"Online Customers","接続中の顧客"
"Online Customers Options","オンライン顧客オプション"
"Online Minutes Interval","オンライン分間隔"
"Order #","注文 #"
"Order Total","注文合計"
"Orders","注文"
"PDF","ＰＤＦファイル"
"Password","パスワード"
"Password Management","パスワード管理"
"Password Options","パスワードオプション"
"Password forgotten","パスワードを忘れた場合"
"Password:","パスワード:"
"Paused","ポーズ"
"Pending","処理待ち"
"Per Website","ウェブサイトごと"
"Personal Information","個人情報"
"Please enter a number 1 or greater in this field.","1またはそれ以上の数字を入力してください。"
"Please enter the city.","市区町村を入力してください。"
"Please enter the country.","国を入力してください。"
"Please enter the first name.","名を入力してください。"
"Please enter the last name.","姓を入力してください。"
"Please enter the state/province.","都道府県を入力してください。"
"Please enter the street.","住所を入力してください。"
"Please enter the zip/postal code.","郵便番号を入力してください。"
"Please enter your email.","メールアドレスを入力してください。"
"Please make sure your passwords match.","パスワードが合っているか確かめてください"
"Please select region, state or province","都道府県を選択してください"
"Prefix Dropdown Options","称号の候補"
"Price","価格"
"Product","商品"
"Product ID","商品ID"
"Product Name","商品名"
"Product Reviews","商品レビュー"
"Product Tags","商品タグ"
"Purchase On","出荷日時"
"Purchased On","購入先"
"Qty","個数"
"Recent Orders","最近のご注文"
"Recovery Link Expiration Period (hours)","パスワード再設定リンクの有効期限(時間)"
"Redirect Customer to Account Dashboard after Logging in","ログイン後にマイページにリダイレクトする"
"Refunded","返金"
"Register","新規登録"
"Registered Customers","既にご登録いただいているお客様"
"Remind Email Template","リマインダーメールテンプレート"
"Remove","削除"
"Require Emails Confirmation","メールによる確認を行う"
"Reset a Password","パスワードリセット"
"Retrieve address data","アドレスデータの取得"
"Retrieve address info","アドレス情報の取得"
